g.name	raw.score	z.score	p.value	q.value
PNN	5.028804	9.472378	0.000000	0.000000
ID1	4.723580	8.803088	0.000000	0.000000
DHRS2	4.557839	8.439654	0.000000	0.000000
ZMYND8	4.208331	7.673257	0.000000	0.000000
BPIFB2	4.207121	7.670604	0.000000	0.000000
TRAPPC6B	4.078191	7.387888	0.000000	0.000000
IPO4	4.038556	7.300978	0.000000	0.000000
HNMT	3.865595	6.921712	0.000000	0.000000
TINF2	3.806926	6.793063	0.000000	0.000000
NEDD8	3.749098	6.666260	0.000000	0.000000
GMPR2	3.715645	6.592905	0.000000	0.000000
BAG6	3.696869	6.551732	0.000000	0.000000
NEDD8-MDP1	3.672394	6.498064	0.000000	0.000000
SCFD1	3.650624	6.450326	0.000000	0.000001
DCAF11	3.621332	6.386095	0.000000	0.000001
AHSG	3.580114	6.295715	0.000000	0.000001
DUSP6	3.536043	6.199076	0.000000	0.000002
AJUBA	3.530748	6.187465	0.000000	0.000002
RNASE4	3.491457	6.101308	0.000000	0.000003
ANG	3.491309	6.100984	0.000000	0.000003
APOM	3.474817	6.064821	0.000000	0.000004
AL163636.2	3.411677	5.926369	0.000000	0.000009
CTDSP1	3.381780	5.860809	0.000000	0.000012
AL132780.3	3.366234	5.826722	0.000000	0.000014
MLLT6	3.310296	5.704061	0.000000	0.000027
HIST1H1E	3.306885	5.696583	0.000000	0.000027
SRP54	3.286258	5.651352	0.000000	0.000034
APOB	3.282876	5.643935	0.000000	0.000034
FLOT1	3.236823	5.542950	0.000000	0.000057
NRL	3.235995	5.541135	0.000000	0.000057
SNRPB	3.219649	5.505292	0.000000	0.000067
MGME1	3.166265	5.388233	0.000000	0.000123
APOA2	3.151308	5.355434	0.000000	0.000143
HIST1H3B	3.146718	5.345370	0.000000	0.000146
BCL2L1	3.136184	5.322271	0.000000	0.000160
SNX5	3.128689	5.305836	0.000000	0.000170
MRPS18B	3.104258	5.252265	0.000000	0.000220
C6orf47	3.095104	5.232192	0.000000	0.000238
ACIN1	3.092550	5.226592	0.000000	0.000238
HIST1H2BC	3.062072	5.159759	0.000001	0.000321
CEP95	3.061924	5.159435	0.000001	0.000321
PPP2R3C	3.054768	5.143743	0.000001	0.000340
KIAA0391	3.041456	5.114554	0.000001	0.000386
EMC9	3.038412	5.107878	0.000001	0.000387
AL121594.1	3.037224	5.105272	0.000001	0.000387
HIST1H4B	3.032364	5.094615	0.000001	0.000399
ZNFX1	3.027203	5.083300	0.000001	0.000414
RBM39	2.999481	5.022512	0.000001	0.000551
HIST1H2AC	2.971738	4.961676	0.000002	0.000732
HIST1H3D	2.968046	4.953582	0.000002	0.000735
LYZ	2.967692	4.952804	0.000002	0.000735
CLIC1	2.961976	4.940271	0.000002	0.000767
HIST1H2BD	2.935982	4.883272	0.000003	0.000995
AL136295.1	2.929963	4.870074	0.000003	0.001042
RABGGTA	2.920401	4.849105	0.000003	0.001118
MRPS23	2.919912	4.848034	0.000003	0.001118
RNF31	2.918005	4.843852	0.000003	0.001121
DAD1	2.887278	4.776473	0.000004	0.001523
FTL	2.857422	4.711007	0.000006	0.002043
LBX2	2.847873	4.690068	0.000007	0.002217
MRPL52	2.841367	4.675801	0.000007	0.002331
SLC7A7	2.823358	4.636311	0.000009	0.002756
PUS10	2.808504	4.603741	0.000010	0.003153
POLG2	2.804005	4.593875	0.000010	0.003209
DDX39B	2.803249	4.592218	0.000011	0.003209
CHMP4A	2.801346	4.588044	0.000011	0.003209
PLXNB1	2.799635	4.584292	0.000011	0.003209
SERPINE1	2.799171	4.583274	0.000011	0.003209
CSNK2B	2.794153	4.572271	0.000012	0.003326
BCL2L2-PABPN1	2.792474	4.568590	0.000012	0.003334
ROCK2	2.788648	4.560199	0.000012	0.003415
SUN5	2.779685	4.540545	0.000013	0.003683
DHRS1	2.769611	4.518457	0.000015	0.003919
TRIB3	2.769371	4.517930	0.000015	0.003919
PCK2	2.769328	4.517835	0.000015	0.003919
DCTN5	2.757869	4.492709	0.000017	0.004312
MSH5	2.755898	4.488386	0.000017	0.004312
C14orf119	2.755679	4.487906	0.000017	0.004312
NOP9	2.750827	4.477267	0.000018	0.004456
TM9SF1	2.749742	4.474887	0.000018	0.004456
NFKBIA	2.727252	4.425572	0.000022	0.005481
PALB2	2.718425	4.406217	0.000024	0.005898
PSME2	2.703493	4.373472	0.000028	0.006727
MSH5-SAPCD1	2.691047	4.346182	0.000032	0.007487
HIST1H4E	2.678920	4.319590	0.000035	0.008303
HIST1H3C	2.668592	4.296943	0.000039	0.009047
TPD52L2	2.662022	4.282536	0.000042	0.009513
SDR39U1	2.656554	4.270547	0.000044	0.009900
LRP10	2.653674	4.264232	0.000045	0.010056
TTC6	2.643039	4.240912	0.000050	0.010981
CD2BP2	2.639665	4.233513	0.000051	0.011206
