g.name	raw.score	z.score	p.value	q.value
LTB4R2	2.417601	7.614481	0.000000	0.000000
NOP9	2.410712	7.587602	0.000000	0.000000
DHRS1	2.397367	7.535532	0.000000	0.000000
EMC9	2.317641	7.224459	0.000000	0.000000
TGM1	2.209487	6.802467	0.000000	0.000000
CBLN3	2.207626	6.795208	0.000000	0.000000
THTPA	2.203281	6.778254	0.000000	0.000000
ZFHX2	2.202915	6.776828	0.000000	0.000000
AP1G2	2.198699	6.760375	0.000000	0.000000
PSME2	2.110069	6.414564	0.000000	0.000001
LTB4R	2.105291	6.395919	0.000000	0.000001
CIDEB	2.103010	6.387021	0.000000	0.000001
CDH24	2.102915	6.386650	0.000000	0.000001
IPO4	2.085654	6.319300	0.000000	0.000001
RNF31	2.082681	6.307701	0.000000	0.000001
KHNYN	2.032861	6.113314	0.000000	0.000004
RABGGTA	2.015942	6.047300	0.000000	0.000005
AL132780.3	2.006065	6.008765	0.000000	0.000006
BPIFB2	1.998881	5.980735	0.000000	0.000007
AJUBA	1.996288	5.970614	0.000000	0.000007
AL136295.5	1.985628	5.929022	0.000000	0.000009
PCK2	1.928698	5.706893	0.000000	0.000031
AL121845.2	1.892302	5.564886	0.000000	0.000065
LIME1	1.865494	5.460287	0.000000	0.000111
TINF2	1.854740	5.418327	0.000000	0.000134
NRL	1.845080	5.380639	0.000000	0.000158
PSME1	1.840302	5.361996	0.000000	0.000168
AL136295.4	1.833259	5.334516	0.000000	0.000188
IRF9	1.811987	5.251515	0.000000	0.000281
DCAF11	1.807025	5.232157	0.000000	0.000301
AL121753.1	1.791958	5.173367	0.000001	0.000385
MMP24OS	1.791042	5.169794	0.000001	0.000385
SLC2A4RG	1.789509	5.163813	0.000001	0.000385
DHRS2	1.788685	5.160595	0.000001	0.000385
CHMP4A	1.780480	5.128581	0.000001	0.000441
EIF6	1.751488	5.015463	0.000001	0.000762
CPNE6	1.746403	4.995623	0.000002	0.000818
PSMB11	1.742226	4.979327	0.000002	0.000864
C20orf204	1.738183	4.963550	0.000002	0.000911
SLC17A9	1.714628	4.871645	0.000003	0.001396
NEDD8	1.694129	4.791663	0.000004	0.002004
GMPR2	1.690407	4.777137	0.000004	0.002087
NEDD8-MDP1	1.689385	4.773151	0.000005	0.002087
TCEA2	1.676808	4.724080	0.000006	0.002575
SOX18	1.674090	4.713475	0.000006	0.002647
MYH7	1.664156	4.674713	0.000007	0.003061
AL136295.1	1.663777	4.673233	0.000007	0.003061
CARMIL3	1.662632	4.668766	0.000007	0.003061
FITM1	1.644644	4.598582	0.000010	0.004151
MDP1	1.636388	4.566370	0.000012	0.004715
AC040162.1	1.632574	4.551489	0.000013	0.004947
TM9SF1	1.630816	4.544630	0.000013	0.005006
SUN5	1.621072	4.506608	0.000016	0.005833
AL096870.1	1.608041	4.455764	0.000019	0.007190
KHK	1.599573	4.422724	0.000023	0.008175
PPP1R3E	1.595099	4.405269	0.000024	0.008672
PCK1	1.593237	4.398004	0.000025	0.008797
CABLES2	1.591682	4.391936	0.000026	0.008879
FAM83C	1.588253	4.378558	0.000027	0.009256
TRIB3	1.583606	4.360426	0.000030	0.009852
PSMB5	1.575118	4.327308	0.000034	0.011190
SRC	1.568385	4.301040	0.000038	0.012172
TP53INP2	1.568200	4.300316	0.000038	0.012172
AL136295.3	1.555269	4.249864	0.000048	0.014866
C14orf119	1.551996	4.237090	0.000050	0.015453
ACIN1	1.539460	4.188180	0.000062	0.018701
PSMB10	1.533477	4.164835	0.000068	0.020308
SS18L1	1.529969	4.151148	0.000072	0.020980
ADCY4	1.529659	4.149936	0.000073	0.020980
TNFRSF6B	1.523949	4.127660	0.000080	0.022677
CEBPE	1.522852	4.123379	0.000081	0.022756
SLCO4A1	1.509236	4.070253	0.000101	0.027896
BCL2L2	1.507549	4.063671	0.000104	0.028261
C20orf144	1.503955	4.049648	0.000110	0.029384
GNRH2	1.503377	4.047393	0.000111	0.029384
RPS21	1.499444	4.032047	0.000118	0.030852
NFKBIA	1.498469	4.028242	0.000119	0.030922
PSMA7	1.496741	4.021499	0.000123	0.031366
PRPF6	1.492777	4.006034	0.000131	0.032798
HOMEZ	1.492272	4.004062	0.000132	0.032798
MC1R	1.489455	3.993071	0.000138	0.033848
ACTL10	1.486877	3.983012	0.000143	0.034804
MRPS26	1.485006	3.975711	0.000147	0.035398
BPIFB6	1.483744	3.970788	0.000150	0.035668
REC8	1.481978	3.963900	0.000155	0.036225
TTC6	1.476162	3.941204	0.000169	0.039164
BCL2L2-PABPN1	1.471599	3.923401	0.000181	0.041508
LCAT	1.470873	3.920569	0.000183	0.041508
UCKL1	1.467731	3.908310	0.000192	0.043059
TSSK4	1.465949	3.901355	0.000198	0.043753
COL9A3	1.464428	3.895420	0.000202	0.044285
TNP2	1.461664	3.884638	0.000211	0.045680
Z98752.3	1.460355	3.879530	0.000215	0.046093
