g.name	raw.score	z.score	p.value	q.value
GSK3A	12.291439	25.938748	0.000000	0.000000
ZNF140	7.805953	16.073139	0.000000	0.000000
PHF12	7.543628	15.496170	0.000000	0.000000
BHMG1	6.892553	14.064162	0.000000	0.000000
PIPOX	6.593794	13.407056	0.000000	0.000000
NMT1	6.392830	12.965045	0.000000	0.000000
CEP170	6.378356	12.933209	0.000000	0.000000
HDGF	6.335897	12.839824	0.000000	0.000000
FBXO15	6.056356	12.224986	0.000000	0.000000
CDCA3	6.040198	12.189447	0.000000	0.000000
RPS26	6.008688	12.120142	0.000000	0.000000
TARBP2	5.939628	11.968250	0.000000	0.000000
NOS3	5.805296	11.672793	0.000000	0.000000
CSNK2B	5.604087	11.230243	0.000000	0.000000
TNFAIP8L2	5.556277	11.125086	0.000000	0.000000
RTEL1	5.282870	10.523740	0.000000	0.000000
FHL3	5.243415	10.436962	0.000000	0.000000
SCNM1	5.217091	10.379064	0.000000	0.000000
OST4	5.190229	10.319983	0.000000	0.000000
RPL23A	5.159518	10.252434	0.000000	0.000000
PTDSS2	5.116846	10.158579	0.000000	0.000000
RPS27A	5.112119	10.148182	0.000000	0.000000
SLC4A2	5.102245	10.126466	0.000000	0.000000
HTRA2	5.071502	10.058848	0.000000	0.000000
SHKBP1	5.063953	10.042243	0.000000	0.000000
DEXI	5.063731	10.041756	0.000000	0.000000
CNOT1	5.061723	10.037340	0.000000	0.000000
KIF2C	4.982585	9.863279	0.000000	0.000000
AC008878.2	4.977423	9.851925	0.000000	0.000000
THAP11	4.941787	9.773545	0.000000	0.000000
ATG2A	4.906838	9.696677	0.000000	0.000000
ZNF227	4.812751	9.489737	0.000000	0.000000
USP5	4.812498	9.489181	0.000000	0.000000
TMEM115	4.805755	9.474350	0.000000	0.000000
ZFYVE19	4.772735	9.401725	0.000000	0.000000
RPL15	4.742885	9.336071	0.000000	0.000000
AC011499.1	4.720885	9.287684	0.000000	0.000000
NIPAL1	4.716506	9.278051	0.000000	0.000000
RRAS	4.701225	9.244442	0.000000	0.000000
SESN1	4.699723	9.241139	0.000000	0.000000
BANP	4.629344	9.086342	0.000000	0.000000
GABPA	4.606079	9.035173	0.000000	0.000000
WDR87	4.578751	8.975066	0.000000	0.000000
