g.name	raw.score	z.score	p.value	q.value
GTF2IRD1	59.592455	16.364559	0.000000	0.000000
TM4SF19	56.336564	15.428224	0.000000	0.000000
HIST1H2AH	55.651535	15.231221	0.000000	0.000000
AC008878.1	53.078040	14.491130	0.000000	0.000000
HDGFL2	49.267881	13.395397	0.000000	0.000000
NAMPT	48.526267	13.182123	0.000000	0.000000
SLC38A1	48.451762	13.160696	0.000000	0.000000
KLLN	47.834535	12.983193	0.000000	0.000000
FTH1	47.696000	12.943353	0.000000	0.000000
RPP25	46.079891	12.478589	0.000000	0.000000
CREG1	45.539921	12.323303	0.000000	0.000000
TM4SF19-TCTEX1D2	45.036040	12.178396	0.000000	0.000000
ASB7	44.946446	12.152630	0.000000	0.000000
GART	44.158168	11.925936	0.000000	0.000000
ZNF609	42.155931	11.350128	0.000000	0.000000
TOR1AIP1	41.635535	11.200472	0.000000	0.000000
FAM122A	40.871871	10.980856	0.000000	0.000000
PCDH12	40.684941	10.927098	0.000000	0.000000
NUP210	40.675980	10.924521	0.000000	0.000000
MNT	40.125881	10.766322	0.000000	0.000000
SFR1	39.758069	10.660546	0.000000	0.000000
PRSS8	39.246970	10.513564	0.000000	0.000000
GABARAPL2	39.012644	10.446175	0.000000	0.000000
INTS6	38.851267	10.399766	0.000000	0.000000
SCAF11	38.688505	10.352959	0.000000	0.000000
ZNF778	37.951238	10.140934	0.000000	0.000000
DLG1	37.820347	10.103292	0.000000	0.000000
ETFDH	36.147347	9.622167	0.000000	0.000000
CALR	36.120257	9.614377	0.000000	0.000000
C4orf46	35.864287	9.540765	0.000000	0.000000
SLC25A23	35.816941	9.527149	0.000000	0.000000
ENO1	35.408574	9.409710	0.000000	0.000000
SARAF	34.738030	9.216873	0.000000	0.000000
NSL1	34.262703	9.080178	0.000000	0.000000
HNRNPF	34.055030	9.020455	0.000000	0.000000
COX20	34.048337	9.018530	0.000000	0.000000
BBC3	33.682832	8.913417	0.000000	0.000000
TATDN3	33.636465	8.900083	0.000000	0.000000
HAUS3	33.342000	8.815400	0.000000	0.000000
SLC25A44	32.694901	8.629306	0.000000	0.000000
PLAGL1	32.561663	8.590989	0.000000	0.000000
DDIT4	32.428564	8.552713	0.000000	0.000000
RBM18	31.941257	8.412572	0.000000	0.000000
FBXO17	31.782842	8.367014	0.000000	0.000000
ZNF429	31.635554	8.324657	0.000000	0.000000
ABCB8	31.320733	8.234120	0.000000	0.000000
POLN	31.067446	8.161279	0.000000	0.000000
NMI	30.975297	8.134779	0.000000	0.000000
SCAMP5	30.615000	8.031164	0.000000	0.000000
PCGF2	30.415515	7.973796	0.000000	0.000000
CTDSPL2	30.401406	7.969738	0.000000	0.000000
ABHD8	30.373366	7.961675	0.000000	0.000000
RABGGTB	30.298149	7.940043	0.000000	0.000000
MAT2A	30.279713	7.934742	0.000000	0.000000
EPS15	30.201119	7.912139	0.000000	0.000000
HIST1H4I	30.191228	7.909295	0.000000	0.000000
H3F3B	29.286495	7.649110	0.000000	0.000000
GSKIP	29.253931	7.639745	0.000000	0.000000
CPEB1	29.212792	7.627914	0.000000	0.000000
DDA1	29.192644	7.622120	0.000000	0.000000
AC005779.2	29.189871	7.621323	0.000000	0.000000
