g.name	raw.score	z.score	p.value	q.value
RAF1	25.371032	13.000691	0.000000	0.000000
HOXA5	24.882141	12.722253	0.000000	0.000000
HOXB5	23.277285	11.808239	0.000000	0.000000
CADPS2	22.635619	11.442790	0.000000	0.000000
CDC37	22.129322	11.154439	0.000000	0.000000
PKM	21.393205	10.735198	0.000000	0.000000
IRF2BP2	21.205797	10.628464	0.000000	0.000000
KDM6B	21.191087	10.620086	0.000000	0.000000
BBC3	21.125381	10.582664	0.000000	0.000000
RAD1	20.941985	10.478215	0.000000	0.000000
ZFP36	20.088262	9.991994	0.000000	0.000000
PPP1R14C	19.690126	9.765243	0.000000	0.000000
GPA33	18.906092	9.318711	0.000000	0.000000
DMKN	18.441656	9.054201	0.000000	0.000000
CACNB4	18.404379	9.032971	0.000000	0.000000
HNRNPL	18.228604	8.932862	0.000000	0.000000
LRFN3	18.093678	8.856017	0.000000	0.000000
ASPDH	17.597941	8.573680	0.000000	0.000000
ASGR1	17.350156	8.432559	0.000000	0.000000
TMCC2	17.206485	8.350734	0.000000	0.000000
SHOC2	17.182282	8.336950	0.000000	0.000000
ANGPT2	17.117230	8.299901	0.000000	0.000000
HES7	17.101740	8.291079	0.000000	0.000000
COQ8B	16.831532	8.137187	0.000000	0.000000
PRRT2	16.754725	8.093443	0.000000	0.000000
LIMK1	16.707446	8.066516	0.000000	0.000000
HOXB2	16.669203	8.044736	0.000000	0.000000
TUBB3	16.667371	8.043692	0.000000	0.000000
MLF2	16.443458	7.916167	0.000000	0.000000
GAS1	16.360275	7.868792	0.000000	0.000000
AAAS	16.339980	7.857233	0.000000	0.000000
DPF1	15.848361	7.577241	0.000000	0.000000
ARID5B	15.708812	7.497764	0.000000	0.000000
GALNT6	15.698916	7.492128	0.000000	0.000000
TMEM107	15.233213	7.226896	0.000000	0.000000
FXYD1	15.218010	7.218237	0.000000	0.000000
CDKN2D	15.154262	7.181931	0.000000	0.000000
ERICH4	15.126537	7.166141	0.000000	0.000000
DSC3	15.056418	7.126206	0.000000	0.000000
KLC1	15.044215	7.119256	0.000000	0.000000
UBE2H	15.022210	7.106723	0.000000	0.000000
HCFC1R1	15.007470	7.098328	0.000000	0.000000
TCHH	14.749465	6.951387	0.000000	0.000000
CYGB	14.574153	6.851541	0.000000	0.000000
CDK4	14.537381	6.830598	0.000000	0.000000
COX6B1	14.475644	6.795437	0.000000	0.000000
ATP6V1FNB	14.467255	6.790659	0.000000	0.000000
UBC	14.458057	6.785421	0.000000	0.000000
PLEKHG2	14.293302	6.691588	0.000000	0.000000
GSTO1	14.009032	6.529688	0.000000	0.000000
ZNF536	13.874176	6.452883	0.000000	0.000000
NBPF1	13.863475	6.446788	0.000000	0.000000
ARHGDIA	13.857485	6.443377	0.000000	0.000000
KCNK6	13.554755	6.270963	0.000000	0.000000
MARCH9	13.465502	6.220131	0.000000	0.000001
HLA-DQA1	13.429495	6.199624	0.000000	0.000001
MPP2	13.394653	6.179780	0.000000	0.000001
AJM1	13.336493	6.146656	0.000000	0.000001
IKBKB	13.317998	6.136122	0.000000	0.000001
