g.name	raw.score	z.score	p.value	q.value
PSMB8	5.587139	16.511306	0.000000	0.000000
RNF224	5.492250	16.222906	0.000000	0.000000
GNG8	5.323972	15.711453	0.000000	0.000000
TPD52	5.287028	15.599166	0.000000	0.000000
TSC22D4	5.106139	15.049383	0.000000	0.000000
SYT8	5.061944	14.915061	0.000000	0.000000
SIGLEC1	4.969861	14.635189	0.000000	0.000000
SNAI2	4.851222	14.274605	0.000000	0.000000
DUOXA2	4.759611	13.996168	0.000000	0.000000
DUOX2	4.637472	13.624946	0.000000	0.000000
TNFRSF25	4.357278	12.773340	0.000000	0.000000
CATSPERZ	4.322917	12.668905	0.000000	0.000000
C17orf50	4.199972	12.295235	0.000000	0.000000
HPN	4.187500	12.257328	0.000000	0.000000
CREB3	3.935028	11.489979	0.000000	0.000000
UBALD1	3.855806	11.249196	0.000000	0.000000
OR7E47P	3.851000	11.234590	0.000000	0.000000
CDKN1A	3.814444	11.123485	0.000000	0.000000
BAK1	3.767778	10.981649	0.000000	0.000000
TLN1	3.765306	10.974135	0.000000	0.000000
JSRP1	3.763639	10.969070	0.000000	0.000000
OR10P1	3.699667	10.774637	0.000000	0.000000
ZNF396	3.699111	10.772948	0.000000	0.000000
CD24	3.690194	10.745847	0.000000	0.000000
C6orf222	3.686917	10.735885	0.000000	0.000000
RABEP2	3.679444	10.713174	0.000000	0.000000
RPP38	3.672889	10.693250	0.000000	0.000000
CRYBG2	3.659694	10.653147	0.000000	0.000000
INTS8	3.656778	10.644283	0.000000	0.000000
SLC25A51	3.566944	10.371249	0.000000	0.000000
ATXN1	3.527361	10.250941	0.000000	0.000000
AJUBA	3.483444	10.117464	0.000000	0.000000
PCDHB8	3.460278	10.047052	0.000000	0.000000
APOC4-APOC2	3.449972	10.015730	0.000000	0.000000
APOC4	3.449972	10.015730	0.000000	0.000000
MXRA7	3.437667	9.978330	0.000000	0.000000
PRPH2	3.424972	9.939747	0.000000	0.000000
PDE2A	3.416778	9.914841	0.000000	0.000000
DEFB132	3.317306	9.612511	0.000000	0.000000
INHBE	3.262389	9.445601	0.000000	0.000000
TRIM10	3.251639	9.412928	0.000000	0.000000
BAIAP2L2	3.230278	9.348004	0.000000	0.000000
SAAL1	3.172583	9.172651	0.000000	0.000000
CAMP	3.156444	9.123600	0.000000	0.000000
ORM2	3.150722	9.106208	0.000000	0.000000
PTPRF	3.135417	9.059689	0.000000	0.000000
ZNF792	3.112333	8.989531	0.000000	0.000000
SLC7A10	3.106306	8.971211	0.000000	0.000000
ZNF512B	3.097222	8.943603	0.000000	0.000000
SPATA20	3.096472	8.941324	0.000000	0.000000
SST	3.073639	8.871926	0.000000	0.000000
AC009133.6	3.066417	8.849975	0.000000	0.000000
ZFAND2A	3.061806	8.835960	0.000000	0.000000
UNC13D	3.036417	8.758795	0.000000	0.000000
PDE11A	3.022333	8.715991	0.000000	0.000000
MPND	3.018889	8.705522	0.000000	0.000000
RANBP3	3.008000	8.672427	0.000000	0.000000
GCSAM	2.951611	8.501042	0.000000	0.000000
SERPINB8	2.938278	8.460517	0.000000	0.000000
APOA2	2.927750	8.428520	0.000000	0.000000
NUB1	2.908556	8.370181	0.000000	0.000000
DNASE2	2.907556	8.367142	0.000000	0.000000
GABRR3	2.904278	8.357180	0.000000	0.000000
HIST1H1C	2.871528	8.257641	0.000000	0.000000
RPAP3	2.867333	8.244893	0.000000	0.000000
AC010132.3	2.866056	8.241009	0.000000	0.000000
DDX39B	2.848528	8.187736	0.000000	0.000000
UBL4B	2.829694	8.130496	0.000000	0.000000
TAF7	2.828472	8.126781	0.000000	0.000000
ADORA2A	2.801250	8.044043	0.000000	0.000000
CD7	2.792889	8.018631	0.000000	0.000000
AC006538.2	2.785333	7.995667	0.000000	0.000000
PDE4C	2.772444	7.956493	0.000000	0.000000
C19orf70	2.772444	7.956493	0.000000	0.000000
RINL	2.726139	7.815755	0.000000	0.000000
HSD11B1L	2.718889	7.793720	0.000000	0.000000
ALKBH3	2.709889	7.766366	0.000000	0.000000
NOC4L	2.690722	7.708112	0.000000	0.000000
LTBP4	2.686139	7.694181	0.000000	0.000000
TMEM250	2.678083	7.669698	0.000000	0.000000
RLN3	2.674306	7.658216	0.000000	0.000000
FAM53A	2.665278	7.630777	0.000000	0.000000
GPX4	2.661278	7.618620	0.000000	0.000000
GPR162	2.652278	7.591266	0.000000	0.000000
LYZ	2.633972	7.535629	0.000000	0.000000
RNASEK-C17orf49	2.632194	7.530226	0.000000	0.000000
FAAP24	2.622028	7.499326	0.000000	0.000000
B3GALNT2	2.613194	7.472478	0.000000	0.000000
EBI3	2.603667	7.443520	0.000000	0.000000
FAM205C	2.599611	7.431194	0.000000	0.000000
CCDC155	2.578444	7.366861	0.000000	0.000000
MCEMP1	2.574194	7.353944	0.000000	0.000000
MRPL32	2.568833	7.337650	0.000000	0.000000
AMH	2.565333	7.327012	0.000000	0.000000
HAPLN3	2.553000	7.289527	0.000000	0.000000
CACNB1	2.546722	7.270447	0.000000	0.000000
CIB3	2.497833	7.121857	0.000000	0.000000
TNPO2	2.491222	7.101763	0.000000	0.000000
CLEC16A	2.484639	7.081754	0.000000	0.000000
SEMA6C	2.483056	7.076942	0.000000	0.000000
KMT2D	2.473722	7.048575	0.000000	0.000000
RNF26	2.472972	7.046296	0.000000	0.000000
GALNT15	2.471861	7.042918	0.000000	0.000000
HCFC1R1	2.466000	7.025105	0.000000	0.000000
AC025165.3	2.465556	7.023754	0.000000	0.000000
PCYOX1L	2.464806	7.021474	0.000000	0.000000
RSAD1	2.461889	7.012610	0.000000	0.000000
AL162231.1	2.445944	6.964149	0.000000	0.000000
VPS18	2.408083	6.849076	0.000000	0.000000
HIRIP3	2.402194	6.831178	0.000000	0.000000
CSAD	2.397222	6.816066	0.000000	0.000000
FKBP5	2.387861	6.787614	0.000000	0.000000
UBTD2	2.386111	6.782295	0.000000	0.000000
PSMA2	2.373639	6.744388	0.000000	0.000000
CCDC82	2.371250	6.737127	0.000000	0.000000
GIPC1	2.358667	6.698882	0.000000	0.000000
TRIM6-TRIM34	2.358611	6.698713	0.000000	0.000000
TMEM98	2.351361	6.676678	0.000000	0.000000
SHF	2.346833	6.662917	0.000000	0.000000
ITGA4	2.344667	6.656331	0.000000	0.000000
WDR73	2.335306	6.627880	0.000000	0.000000
HOXB8	2.317389	6.573425	0.000000	0.000000
C1RL	2.305944	6.538641	0.000000	0.000000
PRSS16	2.290806	6.492629	0.000000	0.000000
TRADD	2.280944	6.462658	0.000000	0.000000
TRNP1	2.277972	6.453624	0.000000	0.000000
ASTL	2.277611	6.452527	0.000000	0.000000
DHX37	2.270111	6.429732	0.000000	0.000000
ABHD13	2.266472	6.418672	0.000000	0.000000
LIG4	2.263417	6.409385	0.000000	0.000000
AMBP	2.261944	6.404910	0.000000	0.000000
RTN2	2.257861	6.392500	0.000000	0.000000
UBXN10	2.254417	6.382031	0.000000	0.000000
ATF4	2.250083	6.368860	0.000000	0.000000
WDR83	2.245694	6.355521	0.000000	0.000000
PROK1	2.232500	6.315419	0.000000	0.000000
ATP8B2	2.224000	6.289584	0.000000	0.000000
IL3	2.222694	6.285616	0.000000	0.000000
APRT	2.222083	6.283759	0.000000	0.000000
JRKL	2.221500	6.281986	0.000000	0.000000
MESP1	2.220500	6.278947	0.000000	0.000000
CENPM	2.206722	6.237071	0.000000	0.000000
LIF	2.206583	6.236649	0.000000	0.000000
GDF6	2.202944	6.225589	0.000000	0.000000
GPR17	2.187361	6.178226	0.000000	0.000000
C15orf39	2.185611	6.172907	0.000000	0.000000
MMP28	2.173111	6.134916	0.000000	0.000000
TMEM163	2.172917	6.134325	0.000000	0.000000
DDX51	2.160611	6.096924	0.000000	0.000000
SMARCD1	2.154111	6.077168	0.000000	0.000001
SIRT6	2.153889	6.076493	0.000000	0.000001
TRMT11	2.148306	6.059523	0.000000	0.000001
MZB1	2.134583	6.017817	0.000000	0.000001
DBP	2.126472	5.993164	0.000000	0.000001
NDUFAF6	2.122139	5.979994	0.000000	0.000001
MOK	2.121917	5.979318	0.000000	0.000001
TRIM56	2.117083	5.964628	0.000000	0.000001
UPB1	2.113917	5.955004	0.000000	0.000001
TP53BP1	2.108667	5.939047	0.000000	0.000001
EXOC3	2.107778	5.936346	0.000000	0.000001
KCNN4	2.103000	5.921824	0.000000	0.000001
KCNJ15	2.099056	5.909836	0.000000	0.000001
RCE1	2.095500	5.899029	0.000000	0.000001
PTPRU	2.094722	5.896665	0.000000	0.000001
ATG5	2.081306	5.855887	0.000000	0.000002
KHDC4	2.074167	5.834190	0.000000	0.000002
FKRP	2.069639	5.820429	0.000000	0.000002
AP3S2	2.067278	5.813252	0.000000	0.000002
SDHAF1	2.067250	5.813168	0.000000	0.000002
GUCY2F	2.066750	5.811648	0.000000	0.000002
SFT2D2	2.066028	5.809453	0.000000	0.000002
DPF1	2.034889	5.714811	0.000000	0.000004
ACADVL	2.023694	5.680788	0.000000	0.000005
GNAQ	2.012417	5.646511	0.000000	0.000005
KCNJ9	2.011972	5.645160	0.000000	0.000005
LBX2	2.011667	5.644231	0.000000	0.000005
NCR3	2.010278	5.640010	0.000000	0.000006
NKX3-2	2.005972	5.626924	0.000000	0.000006
UNC45A	2.000944	5.611643	0.000000	0.000006
C1orf122	1.995306	5.594504	0.000000	0.000007
BIN3	1.994889	5.593238	0.000000	0.000007
JAK2	1.994500	5.592056	0.000000	0.000007
NPAS4	1.991806	5.583867	0.000000	0.000007
SPHK1	1.972083	5.523924	0.000000	0.000010
DHX58	1.964083	5.499609	0.000000	0.000012
KIF3A	1.950472	5.458241	0.000000	0.000015
SPAG4	1.949167	5.454273	0.000000	0.000015
ZNF580	1.919417	5.363852	0.000000	0.000024
C9orf152	1.917361	5.357605	0.000000	0.000025
SLC39A3	1.914222	5.348064	0.000000	0.000026
NPHP3-ACAD11	1.905083	5.320288	0.000000	0.000030
NPHP3	1.889389	5.272588	0.000000	0.000038
LPA	1.876639	5.233836	0.000000	0.000046
PSMB7	1.852917	5.161736	0.000001	0.000067
CRTC2	1.845278	5.138519	0.000001	0.000075
CES1	1.837167	5.113866	0.000001	0.000085
IKBKE	1.821639	5.066672	0.000001	0.000108
DNAJB12	1.818361	5.056710	0.000001	0.000113
AL136373.1	1.815917	5.049281	0.000001	0.000116
TMEM100	1.808417	5.026485	0.000001	0.000130
IGSF10	1.795250	4.986467	0.000002	0.000158
SSSCA1	1.788111	4.964770	0.000002	0.000175
HGH1	1.786861	4.960971	0.000002	0.000177
PPP2R5C	1.785333	4.956327	0.000002	0.000180
TLR6	1.781500	4.944677	0.000002	0.000189
TLR1	1.781500	4.944677	0.000002	0.000189
MAN2B1	1.780417	4.941384	0.000002	0.000192
LMNB1	1.779417	4.938345	0.000002	0.000193
CISH	1.763333	4.889462	0.000003	0.000245
ZNF740	1.762083	4.885663	0.000003	0.000248
GAPDH	1.761833	4.884903	0.000003	0.000248
CCDC9B	1.743694	4.829773	0.000003	0.000323
CPEB2	1.737750	4.811705	0.000004	0.000350
AQP10	1.735056	4.803516	0.000004	0.000363
RRP8	1.734111	4.800646	0.000004	0.000366
KRTAP13-4	1.732833	4.796762	0.000004	0.000371
NHLH1	1.716389	4.746782	0.000005	0.000469
PLPP2	1.697944	4.690723	0.000007	0.000608
PARP16	1.679222	4.633820	0.000009	0.000788
FBP2	1.679028	4.633229	0.000009	0.000788
TMEM147	1.672194	4.612460	0.000010	0.000863
PFN3	1.670361	4.606888	0.000010	0.000881
RBMXL2	1.670111	4.606128	0.000010	0.000881
DLL3	1.668444	4.601062	0.000010	0.000898
SIGMAR1	1.667083	4.596925	0.000010	0.000911
Z83844.3	1.664750	4.589834	0.000011	0.000934
HUS1	1.664639	4.589496	0.000011	0.000934
DNAH7	1.663250	4.585275	0.000011	0.000948
ZNF511-PRAP1	1.662694	4.583586	0.000011	0.000952
ARMC7	1.660278	4.576241	0.000011	0.000980
LILRB4	1.657250	4.567039	0.000012	0.001017
MAK	1.656222	4.563915	0.000012	0.001028
SLC23A1	1.649639	4.543906	0.000013	0.001116
RPL7A	1.649639	4.543906	0.000013	0.001116
URAD	1.649000	4.541964	0.000013	0.001121
OCEL1	1.642250	4.521449	0.000015	0.001225
OCLM	1.634889	4.499076	0.000016	0.001350
ALDOB	1.631778	4.489620	0.000017	0.001402
TRIM69	1.623611	4.464799	0.000019	0.001560
C3orf58	1.619444	4.452135	0.000020	0.001644
C10orf120	1.601222	4.396751	0.000025	0.002092
ILK	1.593889	4.374463	0.000028	0.002297
AHSG	1.592806	4.371170	0.000028	0.002316
RPS6KA1	1.592667	4.370748	0.000028	0.002316
HOXC10	1.587611	4.355382	0.000030	0.002466
CDC37	1.583361	4.342465	0.000032	0.002598
ATP8A2	1.582000	4.338328	0.000033	0.002635
