g.name	raw.score	z.score	p.value	q.value
RPS16	25.151468	15.530109	0.000000	0.000000
SUPT5H	18.438184	10.937882	0.000000	0.000000
NXPH3	16.771931	9.798081	0.000000	0.000000
AC025165.3	16.149265	9.372146	0.000000	0.000000
RAB3D	15.522644	8.943505	0.000000	0.000000
VAMP2	14.257865	8.078332	0.000000	0.000000
DPF1	14.091365	7.964438	0.000000	0.000000
BBC3	13.805392	7.768817	0.000000	0.000000
AC012531.2	13.797234	7.763237	0.000000	0.000000
LIN37	12.991262	7.211911	0.000000	0.000000
HNRNPL	12.853616	7.117755	0.000000	0.000000
LTBP4	12.493420	6.871362	0.000000	0.000000
AGAP2	12.452912	6.843653	0.000000	0.000000
HSD11B1L	12.371372	6.787875	0.000000	0.000000
CTRL	12.114067	6.611866	0.000000	0.000000
LYPD3	12.049854	6.567941	0.000000	0.000000
JUNB	11.933441	6.488308	0.000000	0.000000
TMEM231	11.611389	6.268008	0.000000	0.000001
TMEM107	11.564147	6.235692	0.000000	0.000002
FABP7	11.507893	6.197212	0.000000	0.000002
AC008982.1	11.467185	6.169365	0.000000	0.000002
METTL1	11.416520	6.134708	0.000000	0.000002
C19orf70	11.389295	6.116085	0.000000	0.000003
B9D2	11.060668	5.891287	0.000000	0.000010
VMO1	11.040830	5.877717	0.000000	0.000010
ATP5F1D	11.029566	5.870012	0.000000	0.000010
HLA-B	10.936983	5.806681	0.000000	0.000014
SLC39A1	10.902061	5.782792	0.000000	0.000016
NBPF1	10.826012	5.730771	0.000000	0.000020
KMT2D	10.793707	5.708672	0.000000	0.000022
ATP6V1E1	10.660984	5.617883	0.000000	0.000036
PRRT2	10.424699	5.456252	0.000000	0.000085
BCL2L13	10.393111	5.434644	0.000000	0.000093
ATL3	10.324270	5.387553	0.000000	0.000116
SMG9	10.294023	5.366863	0.000000	0.000126
MIA-RAB4B	10.208385	5.308283	0.000000	0.000160
MIA	10.208385	5.308283	0.000000	0.000160
PPP1R14A	10.207230	5.307492	0.000000	0.000160
ARRB2	9.928249	5.116655	0.000001	0.000415
FAF1	9.925135	5.114525	0.000001	0.000415
HOXB5	9.903914	5.100009	0.000001	0.000436
MRPL10	9.780185	5.015372	0.000001	0.000643
LTN1	9.777742	5.013700	0.000001	0.000643
SRRM5	9.749613	4.994459	0.000002	0.000692
SHMT2	9.728938	4.980316	0.000002	0.000726
DYRK1B	9.696275	4.957973	0.000002	0.000794
FAM174B	9.683498	4.949233	0.000002	0.000811
GABARAP	9.634389	4.915640	0.000002	0.000938
RPLP1	9.570979	4.872264	0.000003	0.001136
PLD3	9.546252	4.855350	0.000003	0.001191
MRPL2	9.544677	4.854272	0.000003	0.001191
AD000671.2	9.499066	4.823072	0.000004	0.001359
RTL8B	9.490449	4.817178	0.000004	0.001371
HOXA9	9.480699	4.810508	0.000004	0.001390
PSMB8	9.459961	4.796323	0.000004	0.001441
IRGQ	9.458695	4.795457	0.000004	0.001441
GPRC5A	9.437113	4.780693	0.000004	0.001519
ZNF384	9.404967	4.758704	0.000005	0.001656
GLP1R	9.399996	4.755303	0.000005	0.001656
U2AF1L4	9.380882	4.742228	0.000005	0.001733
COMMD3-BMI1	9.366178	4.732170	0.000005	0.001788
WDR41	9.344607	4.717415	0.000006	0.001886
KLHL21	9.307909	4.692311	0.000007	0.002089
VPS53	9.293806	4.682664	0.000007	0.002131
CYB5R4	9.292001	4.681429	0.000007	0.002131
AL358472.7	9.074025	4.532323	0.000014	0.004087
EHD2	9.071219	4.530403	0.000014	0.004087
NMT1	9.070922	4.530200	0.000014	0.004087
PUS7	9.036258	4.506488	0.000016	0.004483
MRPS7	8.998627	4.480747	0.000017	0.004961
ZNF233	8.953634	4.449969	0.000020	0.005612
MYL2	8.943641	4.443133	0.000021	0.005705
OSBPL7	8.917357	4.425153	0.000022	0.006093
PDXK	8.895790	4.410400	0.000024	0.006416
MRI1	8.884926	4.402969	0.000025	0.006541
PRRG2	8.836427	4.369793	0.000028	0.007391
NAA10	8.831766	4.366605	0.000029	0.007391
ADSS	8.829413	4.364995	0.000029	0.007391
WNT1	8.825301	4.362183	0.000029	0.007391
NFKBID	8.822634	4.360358	0.000030	0.007391
HIST1H3C	8.808260	4.350525	0.000031	0.007619
PRSS22	8.717745	4.288609	0.000040	0.009834
CDKN2A	8.657026	4.247074	0.000048	0.011600
PTP4A2	8.647916	4.240843	0.000050	0.011769
MMEL1	8.627662	4.226987	0.000053	0.012333
ZNF227	8.563913	4.183380	0.000063	0.014429
RAB34	8.563015	4.182766	0.000063	0.014429
CCDC116	8.561013	4.181396	0.000064	0.014429
SPINT2	8.541367	4.167957	0.000067	0.015007
ZNF567	8.536038	4.164312	0.000068	0.015007
AC011455.2	8.535523	4.163960	0.000069	0.015007
RPL19	8.524154	4.156183	0.000071	0.015332
HOXC10	8.510467	4.146821	0.000074	0.015768
RPS24	8.503806	4.142264	0.000075	0.015786
TEDC2	8.502371	4.141282	0.000075	0.015786
PSMB9	8.498875	4.138890	0.000076	0.015786
COPZ2	8.485458	4.129713	0.000079	0.016227
MED1	8.467051	4.117121	0.000083	0.016779
SNAPC4	8.466354	4.116645	0.000083	0.016779
SLC34A3	8.461936	4.113623	0.000084	0.016819
IRF2BP2	8.436189	4.096010	0.000091	0.017901
CYTH1	8.423912	4.087613	0.000094	0.018318
AP2B1	8.420960	4.085593	0.000095	0.018318
DHRS11	8.391005	4.065102	0.000103	0.019722
ZNF750	8.381978	4.058927	0.000106	0.019933
MR1	8.380308	4.057785	0.000106	0.019933
SGIP1	8.354681	4.040255	0.000114	0.021200
HIST1H2AH	8.347986	4.035675	0.000116	0.021396
PLEKHG2	8.339069	4.029575	0.000119	0.021727
TIMM50	8.327491	4.021655	0.000123	0.022227
AQP2	8.319252	4.016020	0.000126	0.022345
SLC9A5	8.319011	4.015855	0.000126	0.022345
AC106886.5	8.307779	4.008171	0.000130	0.022841
TYROBP	8.291316	3.996910	0.000135	0.023684
TMEM8A	8.285050	3.992624	0.000138	0.023868
ZNF511-PRAP1	8.282114	3.990615	0.000139	0.023868
DNAJC18	8.251827	3.969898	0.000151	0.025698
SENP3-EIF4A1	8.227165	3.953027	0.000161	0.027242
RASSF1	8.210298	3.941489	0.000169	0.028272
AC092073.1	8.205194	3.937998	0.000171	0.028424
OCLN	8.185990	3.924862	0.000180	0.029683
NECTIN4	8.180526	3.921124	0.000183	0.029875
LRRC46	8.176793	3.918570	0.000185	0.029930
FABP3	8.172091	3.915354	0.000187	0.030065
SCNN1D	8.141984	3.894759	0.000203	0.032051
HIST1H4I	8.140976	3.894070	0.000203	0.032051
GATA6	8.139194	3.892851	0.000204	0.032051
SYCN	8.131749	3.887758	0.000208	0.032437
AKT1	8.114312	3.875830	0.000218	0.033710
SERTAD1	8.100834	3.866611	0.000226	0.034667
PUSL1	8.080741	3.852866	0.000238	0.036276
NT5C	8.074645	3.848696	0.000242	0.036584
HDAC10	8.049415	3.831437	0.000259	0.038797
TNFAIP8L2	8.021291	3.812199	0.000279	0.041011
ZNF576	8.019745	3.811142	0.000280	0.041011
SRSF2	8.019653	3.811079	0.000280	0.041011
WDR88	7.999975	3.797618	0.000295	0.042796
B9D1	7.997667	3.796039	0.000296	0.042796
RNF167	7.993858	3.793434	0.000299	0.042910
AC020922.1	7.952768	3.765326	0.000333	0.047378
ZNF764	7.947464	3.761698	0.000337	0.047689
C19orf47	7.934630	3.752919	0.000349	0.048603
UAP1L1	7.934599	3.752897	0.000349	0.048603
