g.name	raw.score	z.score	p.value	q.value
SPRY4	53.646158	12.931343	0.000000	0.000000
COX20	50.988347	12.228729	0.000000	0.000000
MORF4L2	48.635218	11.606659	0.000000	0.000000
YBX3	48.198248	11.491143	0.000000	0.000000
MRPL36	45.949842	10.896758	0.000000	0.000000
NDUFS6	43.073624	10.136405	0.000000	0.000000
KLHL12	42.574386	10.004428	0.000000	0.000000
ITPKC	41.168356	9.632732	0.000000	0.000000
THAP8	37.919287	8.773813	0.000000	0.000000
HJV	36.934535	8.513486	0.000000	0.000000
HIRIP3	35.854673	8.228015	0.000000	0.000000
CKS1B	35.831208	8.221812	0.000000	0.000000
ATF6	35.477069	8.128193	0.000000	0.000000
AC013394.1	35.135267	8.037834	0.000000	0.000000
USP48	34.428851	7.851087	0.000000	0.000000
CDC42BPA	33.651703	7.645642	0.000000	0.000000
SH3GL1	33.240990	7.537066	0.000000	0.000000
HIST1H1C	32.836614	7.430166	0.000000	0.000000
OTULINL	32.816673	7.424895	0.000000	0.000000
FGFR2	32.457545	7.329956	0.000000	0.000000
PHTF1	32.109545	7.237959	0.000000	0.000000
MROH8	32.009624	7.211544	0.000000	0.000000
WDR62	31.967406	7.200384	0.000000	0.000000
ZFP91-CNTF	31.476277	7.070550	0.000000	0.000000
FBXO27	31.021020	6.950199	0.000000	0.000000
NCOA7	30.396960	6.785223	0.000000	0.000000
AC120114.4	30.102594	6.707405	0.000000	0.000000
RELCH	30.009832	6.682883	0.000000	0.000000
EXTL2	29.829594	6.635235	0.000000	0.000000
HNRNPF	29.440436	6.532358	0.000000	0.000000
C19orf54	29.118158	6.447161	0.000000	0.000000
TPTEP2-CSNK1E	28.802663	6.363758	0.000000	0.000000
AL163636.2	27.779921	6.093387	0.000000	0.000002
HIST1H2AG	27.671109	6.064622	0.000000	0.000002
EPC1	27.555663	6.034103	0.000000	0.000003
ZNF536	27.549624	6.032506	0.000000	0.000003
HOXC6	27.470198	6.011509	0.000000	0.000003
NBPF1	26.953594	5.874941	0.000000	0.000007
SLC30A7	26.921396	5.866429	0.000000	0.000007
GABARAPL2	26.861386	5.850565	0.000000	0.000007
PIGN	26.751990	5.821645	0.000000	0.000008
BTF3	26.444050	5.740238	0.000000	0.000013
SHC1	26.413703	5.732216	0.000000	0.000014
UQCRFS1	26.297525	5.701503	0.000000	0.000016
PPP4R3B	26.178871	5.670136	0.000000	0.000018
EID2	26.069465	5.641214	0.000000	0.000021
PLAUR	25.971406	5.615291	0.000000	0.000024
PPEF1	25.720257	5.548898	0.000000	0.000034
GPANK1	25.633653	5.526003	0.000000	0.000038
VEZF1	25.451267	5.477788	0.000000	0.000048
GGA1	25.394337	5.462738	0.000000	0.000051
ZFP91	25.386733	5.460728	0.000000	0.000051
SEC63	25.348040	5.450499	0.000000	0.000053
LSM14A	25.332673	5.446437	0.000000	0.000053
ZC3H10	25.231000	5.419558	0.000000	0.000061
SCN1B	25.166921	5.402619	0.000000	0.000065
EIF4E	25.106079	5.386535	0.000000	0.000070
HADHA	24.820663	5.311082	0.000000	0.000103
CEP170	24.809515	5.308135	0.000000	0.000103
NOXA1	24.795347	5.304390	0.000000	0.000103
DIAPH1	24.682564	5.274575	0.000000	0.000119
TRIM23	24.642208	5.263906	0.000000	0.000123
MAD2L1BP	24.568594	5.244446	0.000000	0.000134
NR2C1	24.420535	5.205305	0.000001	0.000162
TNPO2	24.142228	5.131732	0.000001	0.000233
USP6NL	24.135050	5.129835	0.000001	0.000233
PCOLCE2	24.109594	5.123105	0.000001	0.000237
SP2	24.003089	5.094950	0.000001	0.000266
STK32C	24.002158	5.094704	0.000001	0.000266
PPIL3	23.992436	5.092134	0.000001	0.000266
RGS9BP	23.950485	5.081044	0.000001	0.000277
TMED5	23.931812	5.076107	0.000001	0.000280
SMURF1	23.901752	5.068161	0.000001	0.000288
NIF3L1	23.765683	5.032190	0.000001	0.000341
HIST1H2BJ	23.742317	5.026013	0.000001	0.000347
SKA2	23.658941	5.003971	0.000001	0.000382
ALDH7A1	23.496673	4.961075	0.000002	0.000467
RHOQ	23.467109	4.953259	0.000002	0.000478
PSMB3	23.459733	4.951309	0.000002	0.000478
NLGN1	23.443119	4.946917	0.000002	0.000482
BLVRB	23.367257	4.926862	0.000002	0.000526
PLXDC1	23.304733	4.910333	0.000002	0.000563
EXD3	23.201059	4.882927	0.000003	0.000637
ASCC1	23.127337	4.863437	0.000003	0.000692
DDX56	23.079158	4.850701	0.000003	0.000727
LHFPL6	22.861802	4.793241	0.000004	0.000948
CBX1	22.753762	4.764680	0.000005	0.001074
MAP3K10	22.456673	4.686142	0.000007	0.001539
ANKH	22.439119	4.681501	0.000007	0.001546
PIGS	22.434812	4.680363	0.000007	0.001546
PKM	22.343149	4.656131	0.000008	0.001696
PEAR1	22.342277	4.655900	0.000008	0.001696
DNAJC14	22.226693	4.625345	0.000009	0.001916
AGPAT4	22.225040	4.624908	0.000009	0.001916
DDX39A	22.157564	4.607070	0.000010	0.002059
AFF4	21.989624	4.562673	0.000012	0.002493
KLF6	21.982446	4.560776	0.000012	0.002493
PHLDB3	21.944277	4.550686	0.000013	0.002559
PBLD	21.943871	4.550578	0.000013	0.002559
PHC3	21.864564	4.529613	0.000014	0.002786
ANKRD27	21.788465	4.509496	0.000015	0.003021
STAG1	21.690228	4.483526	0.000017	0.003362
PTRH2	21.630683	4.467784	0.000018	0.003573
ARV1	21.556287	4.448117	0.000020	0.003847
YIF1B	21.551693	4.446903	0.000020	0.003847
TMEM69	21.536842	4.442977	0.000021	0.003859
ARHGAP9	21.533010	4.441964	0.000021	0.003859
ATP6V1G2	21.447624	4.419391	0.000023	0.004214
EXOSC3	21.436802	4.416530	0.000023	0.004214
HMGN4	21.434069	4.415808	0.000023	0.004214
AL662899.2	21.409465	4.409304	0.000024	0.004281
BAHCC1	21.405089	4.408147	0.000024	0.004281
YME1L1	21.288010	4.377196	0.000028	0.004826
WNK1	21.286723	4.376856	0.000028	0.004826
RXFP4	21.202059	4.354474	0.000030	0.005275
ARHGAP33	21.189663	4.351197	0.000031	0.005305
ENAH	21.117970	4.332245	0.000034	0.005710
SCAF11	21.037337	4.310928	0.000037	0.006208
ZNF233	21.012347	4.304322	0.000038	0.006334
GOLPH3	20.982792	4.296509	0.000039	0.006496
LTBP4	20.963386	4.291379	0.000040	0.006580
SARAF	20.956941	4.289675	0.000040	0.006580
BPNT1	20.847743	4.260808	0.000046	0.007383
PRC1	20.840604	4.258920	0.000046	0.007383
SLC38A1	20.683465	4.217380	0.000055	0.008734
ADSS	20.582832	4.190776	0.000061	0.009690
