g.name	raw.score	z.score	p.value	q.value
SLC50A1	10.499047	29.133246	0.000000	0.000000
KLF6	9.221458	25.540555	0.000000	0.000000
IL24	8.685570	24.033592	0.000000	0.000000
LINS1	8.299355	22.947521	0.000000	0.000000
DUSP12	6.392103	17.584162	0.000000	0.000000
BCL6	6.331215	17.412940	0.000000	0.000000
GNPDA1	6.270439	17.242033	0.000000	0.000000
SOCS3	6.143028	16.883742	0.000000	0.000000
AL355916.2	5.998776	16.478092	0.000000	0.000000
MTHFD1L	5.998748	16.478013	0.000000	0.000000
PRDX2	5.843757	16.042166	0.000000	0.000000
DAW1	5.703944	15.648999	0.000000	0.000000
B4GALT6	5.643439	15.478855	0.000000	0.000000
RRP1	5.535047	15.174046	0.000000	0.000000
SLC12A4	5.525710	15.147791	0.000000	0.000000
H3F3B	5.353888	14.664611	0.000000	0.000000
YBX3	5.261794	14.405636	0.000000	0.000000
FST	5.232093	14.322115	0.000000	0.000000
GPAA1	5.139972	14.063061	0.000000	0.000000
OTUD1	5.084159	13.906110	0.000000	0.000000
TBPL2	4.982019	13.618883	0.000000	0.000000
TMEM247	4.935364	13.487687	0.000000	0.000000
RAD23B	4.922215	13.450709	0.000000	0.000000
CLLU1OS	4.874467	13.316439	0.000000	0.000000
CENPA	4.864869	13.289448	0.000000	0.000000
SLC35F6	4.824925	13.177122	0.000000	0.000000
BTG1	4.703000	12.834258	0.000000	0.000000
TET3	4.697776	12.819567	0.000000	0.000000
SERPINA1	4.639645	12.656098	0.000000	0.000000
KLHDC7B	4.423318	12.047767	0.000000	0.000000
PITPNM2	4.422439	12.045296	0.000000	0.000000
CTNNBL1	4.361832	11.874863	0.000000	0.000000
ATF3	4.308346	11.724456	0.000000	0.000000
JUNB	4.196523	11.410001	0.000000	0.000000
TXN	4.130243	11.223615	0.000000	0.000000
IL4R	4.115785	11.182958	0.000000	0.000000
SDR16C5	4.001645	10.861986	0.000000	0.000000
ZGPAT	3.929439	10.658938	0.000000	0.000000
ZC3H12C	3.892215	10.554260	0.000000	0.000000
ITGA5	3.874626	10.504798	0.000000	0.000000
AC007240.1	3.843589	10.417519	0.000000	0.000000
ZFP36	3.643916	9.856021	0.000000	0.000000
OAZ3	3.593720	9.714865	0.000000	0.000000
LIN37	3.577626	9.669609	0.000000	0.000000
WNK4	3.574000	9.659411	0.000000	0.000000
PSMC6	3.528729	9.532105	0.000000	0.000000
FAM240B	3.501028	9.454208	0.000000	0.000000
WNT7B	3.495794	9.439490	0.000000	0.000000
TNFSF10	3.466757	9.357835	0.000000	0.000000
SERPINB11	3.445561	9.298229	0.000000	0.000000
Z84488.2	3.441009	9.285430	0.000000	0.000000
NEK6	3.420963	9.229057	0.000000	0.000000
MMP12	3.361327	9.061357	0.000000	0.000000
RHOV	3.344589	9.014287	0.000000	0.000000
NR3C1	3.316514	8.935338	0.000000	0.000000
SDCBP2	3.279308	8.830713	0.000000	0.000000
TMPRSS11D	3.262953	8.784721	0.000000	0.000000
OR1I1	3.220757	8.666061	0.000000	0.000000
TSKS	3.202907	8.615864	0.000000	0.000000
NECTIN4	3.194019	8.590871	0.000000	0.000000
DIRC1	3.186692	8.570266	0.000000	0.000000
NSFL1C	3.172159	8.529399	0.000000	0.000000
ACSS1	3.163551	8.505194	0.000000	0.000000
PKD1L1	3.129346	8.409005	0.000000	0.000000
FAM186A	3.102187	8.332632	0.000000	0.000000
DHRS13	3.030150	8.130057	0.000000	0.000000
FAM174B	3.019196	8.099255	0.000000	0.000000
S100A5	2.970065	7.961095	0.000000	0.000000
IL13RA2	2.924150	7.831975	0.000000	0.000000
C7orf25	2.914860	7.805852	0.000000	0.000000
ATAD1	2.914150	7.803854	0.000000	0.000000
TM4SF20	2.900673	7.765957	0.000000	0.000000
KYNU	2.842570	7.602567	0.000000	0.000000
SLC11A2	2.828131	7.561962	0.000000	0.000000
TCTEX1D4	2.822822	7.547035	0.000000	0.000000
ANTXR2	2.800393	7.483960	0.000000	0.000000
YTHDC1	2.779318	7.424696	0.000000	0.000000
SLK	2.719804	7.257337	0.000000	0.000000
ORM1	2.707131	7.221700	0.000000	0.000000
TRAF3IP3	2.702318	7.208165	0.000000	0.000000
JDP2	2.676364	7.135182	0.000000	0.000000
FAM193B	2.676346	7.135130	0.000000	0.000000
ARL13B	2.662449	7.096050	0.000000	0.000000
ENAH	2.661364	7.093001	0.000000	0.000000
ARMC12	2.626589	6.995209	0.000000	0.000000
LEKR1	2.587196	6.884433	0.000000	0.000000
STK17A	2.576514	6.854394	0.000000	0.000000
MSRB1	2.562047	6.813711	0.000000	0.000000
SLC5A5	2.553393	6.789374	0.000000	0.000000
TRIB1	2.518813	6.692134	0.000000	0.000000
LDHAL6B	2.518449	6.691109	0.000000	0.000000
DMGDH	2.511112	6.670478	0.000000	0.000000
CDC42EP4	2.502047	6.644986	0.000000	0.000000
SPATA31E1	2.500402	6.640360	0.000000	0.000000
NQO2	2.500318	6.640124	0.000000	0.000000
LDLR	2.470280	6.555656	0.000000	0.000000
ROR2	2.470215	6.555472	0.000000	0.000000
FCN3	2.429187	6.440097	0.000000	0.000000
ODC1	2.363710	6.255971	0.000000	0.000000
EGR2	2.341430	6.193317	0.000000	0.000000
TNFRSF1A	2.333748	6.171714	0.000000	0.000000
TBC1D22A	2.323981	6.144250	0.000000	0.000000
TBC1D17	2.317430	6.125827	0.000000	0.000001
NUAK2	2.316907	6.124355	0.000000	0.000001
OSER1	2.291150	6.051924	0.000000	0.000001
CFAP97	2.291000	6.051504	0.000000	0.000001
AC093827.5	2.263103	5.973054	0.000000	0.000001
ARHGEF18	2.259935	5.964145	0.000000	0.000001
NWD2	2.250729	5.938258	0.000000	0.000002
GLDC	2.239206	5.905853	0.000000	0.000002
ZNFX1	2.228159	5.874789	0.000000	0.000002
PSMG3	2.228103	5.874631	0.000000	0.000002
KBTBD8	2.208972	5.820834	0.000000	0.000003
LCE5A	2.208953	5.820781	0.000000	0.000003
NOM1	2.205421	5.810847	0.000000	0.000003
GFOD1	2.198430	5.791189	0.000000	0.000004
ALDH7A1	2.193393	5.777023	0.000000	0.000004
RGS8	2.178131	5.734106	0.000000	0.000005
JMY	2.170729	5.713291	0.000000	0.000005
GADD45B	2.152065	5.660808	0.000000	0.000007
RGS16	2.131056	5.601728	0.000000	0.000010
TLR4	2.123542	5.580597	0.000000	0.000011
HSPA1L	2.118047	5.565144	0.000000	0.000012
AL160272.2	2.099168	5.512056	0.000000	0.000016
CXorf58	2.097888	5.508456	0.000000	0.000016
WTIP	2.087860	5.480256	0.000000	0.000019
HSD17B1	2.066757	5.420913	0.000000	0.000026
ITGAM	2.062729	5.409586	0.000000	0.000027
RANGAP1	2.058093	5.396550	0.000000	0.000029
SLC6A3	2.041121	5.348824	0.000000	0.000037
CIITA	2.027327	5.310033	0.000000	0.000046
IRF6	2.021374	5.293292	0.000000	0.000050
RAB25	2.017953	5.283673	0.000000	0.000052
PRKCH	2.004093	5.244698	0.000000	0.000063
COA6	1.999495	5.231767	0.000000	0.000067
FXYD3	1.985523	5.192477	0.000001	0.000082
ZBTB25	1.976822	5.168009	0.000001	0.000092
MPZL1	1.972430	5.155657	0.000001	0.000097
ARGLU1	1.970785	5.151031	0.000001	0.000099
AL662884.4	1.963533	5.130637	0.000001	0.000109
AHNAK2	1.963336	5.130085	0.000001	0.000109
VPS37B	1.962879	5.128798	0.000001	0.000109
JAG1	1.955112	5.106958	0.000001	0.000121
NUP88	1.918187	5.003121	0.000001	0.000203
KISS1R	1.917533	5.001281	0.000001	0.000203
TUBB6	1.916860	4.999389	0.000001	0.000204
TRAF4	1.910449	4.981360	0.000002	0.000221
REV1	1.897150	4.943962	0.000002	0.000264
IRF2BP2	1.894458	4.936393	0.000002	0.000273
SULT6B1	1.890458	4.925145	0.000002	0.000286
SERPINB1	1.869364	4.865828	0.000003	0.000380
SLC22A5	1.851224	4.814816	0.000004	0.000484
KPNA7	1.850243	4.812057	0.000004	0.000487
S100A11	1.846346	4.801097	0.000004	0.000510
LRRC42	1.836411	4.773161	0.000005	0.000579
EIF5	1.828402	4.750638	0.000005	0.000641
MT2A	1.814206	4.710716	0.000006	0.000769
C20orf96	1.812972	4.707247	0.000006	0.000775
AL355312.5	1.812589	4.706170	0.000006	0.000775
TIPARP	1.804009	4.682044	0.000007	0.000863
ASB5	1.794907	4.656446	0.000008	0.000967
FCHO1	1.793168	4.651557	0.000008	0.000983
S100A14	1.789252	4.640546	0.000008	0.001028
ZBP1	1.779916	4.614291	0.000009	0.001154
IL20	1.773785	4.597050	0.000010	0.001239
TGFBI	1.773047	4.594974	0.000010	0.001239
FBXO31	1.773000	4.594843	0.000010	0.001239
PGS1	1.771935	4.591847	0.000011	0.001249
BTBD19	1.757757	4.551978	0.000013	0.001490
CUEDC2	1.750093	4.530427	0.000014	0.001633
TM4SF1	1.744318	4.514186	0.000015	0.001747
RACK1	1.736252	4.491505	0.000017	0.001924
CD46	1.734093	4.485434	0.000017	0.001966
SERTM2	1.731561	4.478312	0.000018	0.002018
PRNP	1.723336	4.455184	0.000020	0.002224
MSANTD3	1.715523	4.433213	0.000022	0.002439
TPMT	1.714972	4.431663	0.000022	0.002442
PANX1	1.711748	4.422596	0.000023	0.002527
SFN	1.698178	4.384435	0.000027	0.002973
FBXL20	1.693486	4.371242	0.000028	0.003132
TNS4	1.684168	4.345040	0.000032	0.003492
EXOSC4	1.683121	4.342096	0.000032	0.003517
PLCB1	1.681785	4.338338	0.000033	0.003556
SMS	1.668869	4.302018	0.000038	0.004137
ROBO4	1.667607	4.298470	0.000039	0.004178
SLC16A11	1.658327	4.272373	0.000043	0.004647
THSD8	1.656243	4.266512	0.000044	0.004740
SLC2A3	1.655785	4.265224	0.000045	0.004740
TMEM165	1.654794	4.262438	0.000045	0.004772
ANKRD46	1.649841	4.248509	0.000048	0.005036
PCDHA2	1.644523	4.233555	0.000051	0.005323
TNC	1.644318	4.232977	0.000051	0.005323
CMPK1	1.635944	4.209429	0.000057	0.005849
AZI2	1.632748	4.200441	0.000059	0.006039
ARF4	1.632374	4.199390	0.000059	0.006039
CD9	1.625065	4.178838	0.000064	0.006548
GCNT3	1.612822	4.144409	0.000074	0.007519
TRIM40	1.609056	4.133818	0.000078	0.007816
SENP3	1.598056	4.102885	0.000088	0.008833
ANXA5	1.596972	4.099837	0.000089	0.008900
CCDC51	1.593897	4.091190	0.000093	0.009174
