g.name	raw.score	z.score	p.value	q.value
ZNF227	23.360364	9.190321	0.000000	0.000000
AC008982.1	20.582864	7.822357	0.000000	0.000000
DYRK1B	20.407674	7.736073	0.000000	0.000000
LTBP4	19.072339	7.078399	0.000000	0.000000
SUPT5H	18.703703	6.896839	0.000000	0.000000
ACP7	18.675935	6.883163	0.000000	0.000000
RPS16	18.004809	6.552622	0.000000	0.000001
ZNF233	17.849677	6.476217	0.000000	0.000001
LYPD3	17.829252	6.466157	0.000000	0.000001
PRX	17.179263	6.146027	0.000000	0.000005
OR7E47P	16.456033	5.789825	0.000000	0.000038
SNRPA	16.281230	5.703731	0.000000	0.000057
L34079.1	16.236103	5.681505	0.000000	0.000060
DLL3	16.079359	5.604306	0.000000	0.000086
CEBPG	15.883891	5.508035	0.000000	0.000137
IRF2BP2	15.645660	5.390702	0.000000	0.000243
NBPF1	15.501818	5.319858	0.000000	0.000335
RBAK-RBAKDN	15.454994	5.296796	0.000000	0.000357
GGPS1	15.301931	5.221410	0.000000	0.000503
HSPB6	15.242350	5.192066	0.000001	0.000557
LIN37	15.147873	5.145534	0.000001	0.000674
PROSER3	14.931971	5.039199	0.000001	0.001106
CEBPA	14.789761	4.969158	0.000002	0.001502
OVOL3	14.562638	4.857296	0.000003	0.002494
KCNN4	14.517181	4.834908	0.000003	0.002619
COX20	14.508544	4.830654	0.000003	0.002619
VMO1	14.208100	4.682680	0.000007	0.005001
SLC39A1	14.200786	4.679078	0.000007	0.005001
LSM14A	14.011215	4.585711	0.000011	0.007441
SMG9	13.987878	4.574217	0.000011	0.007582
SPINT2	13.925217	4.543356	0.000013	0.008445
ETV2	13.833315	4.498093	0.000016	0.009575
SCRN2	13.828889	4.495913	0.000016	0.009575
SRRM5	13.814292	4.488724	0.000017	0.009575
TTC9B	13.814221	4.488689	0.000017	0.009575
ZNF226	13.774131	4.468943	0.000018	0.010170
PLEKHG2	13.737404	4.450855	0.000020	0.010539
CAPN2	13.733270	4.448819	0.000020	0.010539
TRIO	13.594204	4.380326	0.000027	0.013894
SDE2	13.537329	4.352315	0.000031	0.015309
GSK3A	13.494671	4.331305	0.000034	0.016001
PSG5	13.493850	4.330900	0.000034	0.016001
ZNF507	13.335485	4.252903	0.000047	0.021842
SENP8	13.312744	4.241703	0.000049	0.022316
ZNF302	13.303474	4.237137	0.000050	0.022316
EID2B	13.269038	4.220177	0.000054	0.023454
ZNF404	13.257694	4.214590	0.000055	0.023503
VAMP2	13.236882	4.204340	0.000058	0.024028
ZNF234	13.168533	4.170677	0.000067	0.027101
LBR	13.136403	4.154852	0.000071	0.028193
LGALS13	13.129730	4.151566	0.000072	0.028193
PSG4	13.103498	4.138646	0.000076	0.029172
LAMC1	13.047813	4.111220	0.000085	0.032050
MRPS12	13.025178	4.100072	0.000089	0.032930
PARP16	12.994681	4.085052	0.000095	0.034381
PTP4A2	12.977986	4.076829	0.000098	0.034919
MDC1	12.964360	4.070118	0.000101	0.035257
TMEM147	12.889754	4.033373	0.000117	0.040212
HOXC5	12.877114	4.027148	0.000120	0.040534
DESI2	12.839344	4.008545	0.000129	0.042952
SBSN	12.823968	4.000973	0.000133	0.043549
GALNT2	12.810908	3.994540	0.000137	0.043962
