g.name	raw.score	z.score	p.value	q.value
PABPN1	8.535614	9.316588	0.000000	0.000000
HECTD1	7.645392	8.198592	0.000000	0.000000
CYB5B	7.603412	8.145871	0.000000	0.000000
DCAF11	7.577926	8.113864	0.000000	0.000000
TTC6	7.562063	8.093942	0.000000	0.000000
FOXA1	7.206181	7.647004	0.000000	0.000000
STRN3	7.193837	7.631501	0.000000	0.000000
KDM3A	7.074230	7.481292	0.000000	0.000000
SRP54	6.902955	7.266194	0.000000	0.000000
PNN	6.759286	7.085765	0.000000	0.000000
NRL	6.717257	7.032982	0.000000	0.000000
HEATR5A	6.614981	6.904538	0.000000	0.000000
AP4S1	6.547497	6.819788	0.000000	0.000000
NGDN	6.544067	6.815480	0.000000	0.000000
EMC9	6.467669	6.719534	0.000000	0.000000
MBIP	6.449635	6.696887	0.000000	0.000000
AJUBA	6.422495	6.662803	0.000000	0.000000
AL132780.3	6.367200	6.593360	0.000000	0.000000
BRMS1L	6.297815	6.506221	0.000000	0.000000
PCK2	6.287889	6.493756	0.000000	0.000000
RBM39	6.276645	6.479635	0.000000	0.000000
TRAPPC6B	6.228062	6.418622	0.000000	0.000000
PRMT5	6.007189	6.141236	0.000000	0.000002
SCFD1	5.989889	6.119509	0.000000	0.000002
AC138811.2	5.965304	6.088634	0.000000	0.000003
G2E3	5.874216	5.974240	0.000000	0.000005
DTD2	5.836819	5.927275	0.000000	0.000007
AL139353.1	5.803125	5.884960	0.000000	0.000008
ARL6IP1	5.798074	5.878617	0.000000	0.000008
C14orf119	5.797368	5.877730	0.000000	0.000008
ARHGAP5	5.786390	5.863942	0.000000	0.000009
ZMYND8	5.704917	5.761624	0.000000	0.000015
RALGAPA1	5.662482	5.708332	0.000000	0.000020
NFKBIA	5.532443	5.545020	0.000000	0.000049
FBXO33	5.482509	5.482311	0.000000	0.000068
TINF2	5.310235	5.265959	0.000000	0.000210
IRS1	5.295320	5.247227	0.000000	0.000226
BCL2L2-PABPN1	5.264754	5.208840	0.000001	0.000268
AC073283.3	5.190466	5.115544	0.000001	0.000423
PSME1	5.163798	5.082053	0.000001	0.000490
HNMT	5.104076	5.007050	0.000001	0.000698
RNF31	5.072013	4.966785	0.000002	0.000832
ACIN1	5.064964	4.957932	0.000002	0.000850
KIAA0391	5.052182	4.941879	0.000002	0.000899
CALM2	5.019131	4.900372	0.000002	0.001078
PPP1R3E	5.007588	4.885875	0.000003	0.001132
SDR39U1	4.966229	4.833934	0.000003	0.001426
AL136295.1	4.956604	4.821847	0.000004	0.001480
NEDD8	4.908175	4.761026	0.000005	0.001929
GMPR2	4.905806	4.758051	0.000005	0.001929
NEDD8-MDP1	4.871178	4.714563	0.000006	0.002324
MDP1	4.787194	4.609091	0.000010	0.003727
ESF1	4.777139	4.596463	0.000010	0.003875
MKKS	4.769466	4.586827	0.000011	0.003976
NDUFAF5	4.731317	4.538917	0.000013	0.004857
DHRS2	4.675338	4.468615	0.000018	0.006547
TM9SF1	4.585718	4.356065	0.000030	0.010569
C14orf93	4.550104	4.311338	0.000037	0.012609
RABGGTA	4.544932	4.304843	0.000038	0.012747
CTGF	4.529585	4.285570	0.000041	0.013616
PPP2R3C	4.523988	4.278540	0.000042	0.013802
CHMP4A	4.520445	4.274091	0.000043	0.013840
HOMEZ	4.513400	4.265244	0.000045	0.013985
DAD1	4.512581	4.264215	0.000045	0.013985
AL121594.1	4.495665	4.242970	0.000049	0.014960
ZFHX2	4.494202	4.241133	0.000050	0.014960
AURKA	4.477763	4.220488	0.000054	0.016082
DHRS1	4.459503	4.197556	0.000060	0.017227
CSTF1	4.459183	4.197154	0.000060	0.017227
OXA1L	4.454686	4.191506	0.000061	0.017375
CUL3	4.448305	4.183493	0.000063	0.017375
NOP9	4.447444	4.182411	0.000063	0.017375
KHNYN	4.446451	4.181165	0.000064	0.017375
PSME2	4.442565	4.176285	0.000065	0.017375
ZNF821	4.441699	4.175198	0.000065	0.017375
THTPA	4.433371	4.164738	0.000068	0.017861
NBPF1	4.431401	4.162264	0.000069	0.017861
MGME1	4.424802	4.153977	0.000071	0.018250
GEMIN2	4.420448	4.148509	0.000073	0.018433
TFB1M	4.402698	4.126218	0.000080	0.019961
AL135905.2	4.392957	4.113984	0.000084	0.020734
SNX5	4.384912	4.103881	0.000088	0.021349
GMNN	4.363111	4.076501	0.000098	0.023591
ASXL1	4.356973	4.068792	0.000101	0.024054
FOXN2	4.345082	4.053860	0.000108	0.025257
ID1	4.330802	4.035926	0.000116	0.026842
CBLN3	4.320998	4.023613	0.000122	0.027883
IL1R1	4.301975	3.999723	0.000134	0.030339
ELL2	4.298177	3.994954	0.000137	0.030575
BCL2L2	4.286611	3.980429	0.000145	0.032038
MIPOL1	4.281340	3.973809	0.000149	0.032182
LRP10	4.281318	3.973781	0.000149	0.032182
PTP4A1	4.272107	3.962213	0.000156	0.033331
SLX4IP	4.268228	3.957342	0.000159	0.033618
PIP4P1	4.260196	3.947254	0.000165	0.034578
ADGRG6	4.258316	3.944893	0.000167	0.034578
IRF9	4.237416	3.918645	0.000185	0.037828
KPNB1	4.235940	3.916792	0.000186	0.037828
PCK1	4.232268	3.912181	0.000189	0.038128
ROMO1	4.219520	3.896171	0.000202	0.040181
NFS1	4.192257	3.861932	0.000230	0.045434
SEC23A	4.177156	3.842968	0.000248	0.048399
