g.name	raw.score	z.score	p.value	q.value
SNAP29	63.666089	15.128919	0.000000	0.000000
UPF2	56.888891	13.449482	0.000000	0.000000
MARVELD3	56.757168	13.416840	0.000000	0.000000
AL049557.1	49.917386	11.721895	0.000000	0.000000
CXorf40A	47.225921	11.054931	0.000000	0.000000
SYNCRIP	47.077683	11.018196	0.000000	0.000000
ARF3	46.933317	10.982421	0.000000	0.000000
MNT	46.713990	10.928071	0.000000	0.000000
DYRK1B	46.268455	10.817664	0.000000	0.000000
DLK2	46.188139	10.797761	0.000000	0.000000
PPFIA3	45.126792	10.534752	0.000000	0.000000
PLD1	44.545396	10.390678	0.000000	0.000000
LGI4	44.455356	10.368366	0.000000	0.000000
KMT2B	43.677376	10.175577	0.000000	0.000000
TMEM18	42.390950	9.856791	0.000000	0.000000
ERG	42.294426	9.832872	0.000000	0.000000
ENC1	41.760455	9.700550	0.000000	0.000000
PALD1	41.571485	9.653722	0.000000	0.000000
TNFRSF1A	41.558198	9.650429	0.000000	0.000000
EFNA1	41.475931	9.630043	0.000000	0.000000
RASA3	40.691762	9.435721	0.000000	0.000000
CUL1	40.470931	9.380997	0.000000	0.000000
CYP4F22	39.696535	9.189096	0.000000	0.000000
TSC22D4	38.318653	8.847648	0.000000	0.000000
ZNF146	37.967109	8.760533	0.000000	0.000000
PI4KA	37.806099	8.720633	0.000000	0.000000
PPP1R18	37.707267	8.696142	0.000000	0.000000
AC073610.3	37.665099	8.685692	0.000000	0.000000
CDK17	35.863000	8.239120	0.000000	0.000000
SSBP2	35.697069	8.198001	0.000000	0.000000
SAE1	35.602228	8.174498	0.000000	0.000000
HSPA8	35.458208	8.138809	0.000000	0.000000
SCO2	34.910455	8.003073	0.000000	0.000000
C19orf38	34.876564	7.994674	0.000000	0.000000
CSRNP2	34.698178	7.950469	0.000000	0.000000
GADD45B	34.380772	7.871813	0.000000	0.000000
SLC22A4	34.292802	7.850014	0.000000	0.000000
ORC4	34.045188	7.788653	0.000000	0.000000
HARS	33.980257	7.772563	0.000000	0.000000
TDRKH	33.780980	7.723181	0.000000	0.000000
HDAC6	33.613921	7.681782	0.000000	0.000000
SETD5	33.560752	7.668607	0.000000	0.000000
RNF24	33.385386	7.625150	0.000000	0.000000
SDC3	32.601822	7.430977	0.000000	0.000000
CD2BP2	32.371426	7.373883	0.000000	0.000000
PDZD4	32.208446	7.333496	0.000000	0.000000
ZC3H4	32.156317	7.320578	0.000000	0.000000
FBXO17	32.123040	7.312331	0.000000	0.000000
MCRIP1	32.028188	7.288827	0.000000	0.000000
TUBA1A	31.831426	7.240067	0.000000	0.000000
CRTAC1	31.640624	7.192785	0.000000	0.000000
DENND4A	31.396436	7.132274	0.000000	0.000000
PAFAH1B3	31.319376	7.113178	0.000000	0.000000
DHCR24	31.003465	7.034893	0.000000	0.000000
SRSF10	30.932327	7.017264	0.000000	0.000000
SH3PXD2A	30.854178	6.997899	0.000000	0.000000
AMOTL2	30.698347	6.959283	0.000000	0.000000
CRELD1	30.625416	6.941210	0.000000	0.000000
ESPN	30.470188	6.902743	0.000000	0.000000
SPPL3	30.359554	6.875327	0.000000	0.000000
PIM1	30.331624	6.868406	0.000000	0.000000
EGR1	30.236614	6.844862	0.000000	0.000000
TRADD	30.168921	6.828087	0.000000	0.000000
HNRNPL	30.097238	6.810324	0.000000	0.000000
EXOC3L4	29.871277	6.754329	0.000000	0.000000
FKBP5	29.743901	6.722764	0.000000	0.000000
SUSD4	29.592703	6.685296	0.000000	0.000000
KCNA1	29.558614	6.676849	0.000000	0.000000
HES2	29.450921	6.650162	0.000000	0.000000
AC009133.6	29.436406	6.646565	0.000000	0.000000
ATP5PF	29.343099	6.623443	0.000000	0.000000
PGBD5	29.267881	6.604803	0.000000	0.000000
Z82190.2	29.225960	6.594415	0.000000	0.000000
SPG21	29.081802	6.558692	0.000000	0.000000
INKA2	29.008901	6.540626	0.000000	0.000000
DPCD	28.981376	6.533805	0.000000	0.000000
DHX15	28.576881	6.433569	0.000000	0.000000
ATP2B4	28.499822	6.414473	0.000000	0.000000
BSPH1	28.217485	6.344508	0.000000	0.000000
ARPC4-TTLL3	28.079752	6.310377	0.000000	0.000000
TMEM69	28.052693	6.303671	0.000000	0.000000
NUCKS1	27.938267	6.275316	0.000000	0.000000
DNAJC14	27.933337	6.274094	0.000000	0.000000
CDK19	27.835396	6.249823	0.000000	0.000000
GADD45A	27.803564	6.241935	0.000000	0.000000
CACNB4	27.800772	6.241243	0.000000	0.000000
GNAQ	27.668663	6.208506	0.000000	0.000000
MSL2	27.629743	6.198861	0.000000	0.000000
DSC3	27.295446	6.116020	0.000000	0.000001
CDNF	27.251564	6.105146	0.000000	0.000001
