g.name	raw.score	z.score	p.value	q.value
DUSP22	21.538268	8.861013	0.000000	0.000000
RFTN1	20.844445	8.531578	0.000000	0.000000
ZFP36	20.333523	8.288986	0.000000	0.000000
CSK	19.109125	7.707628	0.000000	0.000000
LAPTM5	18.192358	7.272337	0.000000	0.000000
FGR	17.869096	7.118848	0.000000	0.000000
DENND2D	17.675626	7.026986	0.000000	0.000000
RHOH	17.563630	6.973810	0.000000	0.000000
MOB3A	17.417224	6.904295	0.000000	0.000000
TNFRSF13B	17.015561	6.713580	0.000000	0.000000
UBC	16.842351	6.631338	0.000000	0.000000
IL21R	16.803056	6.612681	0.000000	0.000000
IRF2BP2	16.466441	6.452852	0.000000	0.000001
SCIMP	16.259437	6.354564	0.000000	0.000001
BCL2A1	16.077810	6.268325	0.000000	0.000002
PLEKHG2	16.044884	6.252692	0.000000	0.000002
CCR7	15.924806	6.195677	0.000000	0.000002
MSC	15.709456	6.093427	0.000000	0.000004
JUNB	15.514011	6.000627	0.000000	0.000006
DUSP2	15.384238	5.939010	0.000000	0.000009
IZUMO4	15.211710	5.857091	0.000000	0.000013
CHI3L2	15.183060	5.843488	0.000000	0.000014
CDC37	15.074336	5.791864	0.000000	0.000018
TNFSF9	15.050578	5.780584	0.000000	0.000018
FCMR	15.044409	5.777655	0.000000	0.000018
USP3	15.019876	5.766006	0.000000	0.000018
C15orf53	14.857787	5.689045	0.000000	0.000028
SLC15A4	14.797720	5.660524	0.000000	0.000031
BMF	14.739421	5.632843	0.000000	0.000035
TRAF1	14.600942	5.567092	0.000000	0.000049
PPAN	14.432663	5.487191	0.000000	0.000074
BHLHE40	14.424425	5.483279	0.000000	0.000074
LTA	14.408965	5.475939	0.000000	0.000074
NFKBIE	14.399816	5.471595	0.000000	0.000074
FCER2	14.259532	5.404986	0.000000	0.000103
PPAN-P2RY11	14.196983	5.375287	0.000000	0.000117
ANGPTL6	14.098584	5.328566	0.000000	0.000147
TAPBPL	14.087379	5.323246	0.000000	0.000147
ASB2	14.045651	5.303433	0.000000	0.000159
ZC3H12D	13.986004	5.275112	0.000000	0.000180
PCBP1	13.806103	5.189693	0.000001	0.000275
ITGAL	13.670156	5.125144	0.000001	0.000371
