g.name	raw.score	z.score	p.value	q.value
MYBPC2	6.564278	34.768423	0.000000	0.000000
AKT1S1	6.355173	33.619298	0.000000	0.000000
MKNK2	5.139265	26.937343	0.000000	0.000000
PNKP	5.007488	26.213165	0.000000	0.000000
PTMS	4.684259	24.436880	0.000000	0.000000
RAB4B-EGLN2	4.593846	23.940017	0.000000	0.000000
CD74	4.104167	21.249012	0.000000	0.000000
RAB4B	3.925611	20.267769	0.000000	0.000000
MXI1	2.894586	14.601828	0.000000	0.000000
C19orf54	2.823802	14.212838	0.000000	0.000000
CDNF	2.587309	12.913199	0.000000	0.000000
HLA-DPA1	2.548895	12.702099	0.000000	0.000000
BTBD2	2.471728	12.278034	0.000000	0.000000
TMEM150B	2.296049	11.312599	0.000000	0.000000
PINLYP	2.214321	10.863465	0.000000	0.000000
BCR	2.166833	10.602499	0.000000	0.000000
GPD1	2.112160	10.302047	0.000000	0.000000
BRD2	1.985685	9.607009	0.000000	0.000000
HLA-DPB1	1.879031	9.020896	0.000000	0.000000
HLA-DRA	1.744290	8.280435	0.000000	0.000000
SDF2L1	1.656994	7.800703	0.000000	0.000000
PSMD3	1.615938	7.575084	0.000000	0.000000
SESN3	1.559907	7.267170	0.000000	0.000000
MAPK1	1.505802	6.969839	0.000000	0.000000
ZNF280B	1.499340	6.934322	0.000000	0.000000
ZNF574	1.470154	6.773936	0.000000	0.000000
YDJC	1.454253	6.686552	0.000000	0.000000
AC005779.2	1.441235	6.615009	0.000000	0.000000
ZMYND8	1.317414	5.934558	0.000000	0.000006
YPEL1	1.312167	5.905723	0.000000	0.000007
RAB36	1.303870	5.860132	0.000000	0.000009
RSPH14	1.290000	5.783908	0.000000	0.000013
FIBCD1	1.256660	5.600692	0.000000	0.000036
CCND1	1.253907	5.585563	0.000000	0.000038
QRFP	1.211377	5.351837	0.000000	0.000133
AIF1L	1.200086	5.289792	0.000000	0.000180
BTN2A2	1.160463	5.072044	0.000001	0.000542
GPC6	1.154432	5.038901	0.000001	0.000613
NUP214	1.154185	5.037545	0.000001	0.000613
GNAZ	1.145475	4.989680	0.000002	0.000761
PPIL2	1.137895	4.948023	0.000002	0.000913
IGLL5	1.134346	4.928518	0.000002	0.000982
PI4KA	1.133130	4.921835	0.000002	0.000992
CCDC116	1.125352	4.879092	0.000003	0.001196
GPC5	1.111457	4.802733	0.000004	0.001679
AC074143.1	1.110963	4.800019	0.000004	0.001679
PRAME	1.103370	4.758294	0.000005	0.002007
CCDC106	1.100574	4.742927	0.000005	0.002115
NXPH4	1.091506	4.693095	0.000007	0.002599
PPM1F	1.091080	4.690755	0.000007	0.002599
TTC9B	1.042438	4.423445	0.000022	0.008619
