g.name	raw.score	z.score	p.value	q.value
CCDC116	25.055737	25.090290	0.000000	0.000000
TUBB	23.421152	23.385039	0.000000	0.000000
HIST1H4I	21.675030	21.563432	0.000000	0.000000
PRRT2	17.795677	17.516370	0.000000	0.000000
MRPS16	15.501535	15.123051	0.000000	0.000000
HIST1H4B	15.221737	14.831157	0.000000	0.000000
GCDH	15.092889	14.696739	0.000000	0.000000
C19orf24	13.541515	13.078297	0.000000	0.000000
RAB36	12.984404	12.497102	0.000000	0.000000
RSPH14	12.607333	12.103730	0.000000	0.000000
MLLT6	12.572040	12.066911	0.000000	0.000000
FSCN3	12.249414	11.730338	0.000000	0.000000
FAM78A	11.747475	11.206699	0.000000	0.000000
GSC2	11.359697	10.802157	0.000000	0.000000
RPS5	11.194101	10.629403	0.000000	0.000000
ZNF865	11.188162	10.623206	0.000000	0.000000
HNRNPL	10.899475	10.322039	0.000000	0.000000
LYRM7	10.390545	9.791109	0.000000	0.000000
ADAMTS14	10.367535	9.767104	0.000000	0.000000
OPLAH	10.088404	9.475905	0.000000	0.000000
ANKRD33	9.835677	9.212252	0.000000	0.000000
C14orf93	9.834667	9.211199	0.000000	0.000000
MRPL55	9.500646	8.862738	0.000000	0.000000
AC106886.5	9.448040	8.807858	0.000000	0.000000
YDJC	9.151919	8.498935	0.000000	0.000000
ZSCAN9	9.079253	8.423127	0.000000	0.000000
CDKN2D	9.015010	8.356108	0.000000	0.000000
ARRDC3	8.849778	8.183732	0.000000	0.000000
TMEM262	8.843697	8.177388	0.000000	0.000000
BBC3	8.720566	8.048934	0.000000	0.000000
PTCH1	8.581576	7.903935	0.000000	0.000000
MARCH9	8.558465	7.879825	0.000000	0.000000
HSPA1B	8.430525	7.746355	0.000000	0.000000
SYNGR3	8.378566	7.692149	0.000000	0.000000
CCDC78	8.303596	7.613938	0.000000	0.000000
CENPT	8.287313	7.596952	0.000000	0.000000
GPANK1	8.285212	7.594760	0.000000	0.000000
HAGHL	8.252343	7.560470	0.000000	0.000000
EPB41	8.250949	7.559016	0.000000	0.000000
SETD1B	8.234141	7.541481	0.000000	0.000000
MSH5-SAPCD1	8.117414	7.419708	0.000000	0.000000
RAD1	8.028465	7.326913	0.000000	0.000000
LETM2	7.808020	7.096938	0.000000	0.000000
CFAP97	7.805879	7.094704	0.000000	0.000000
PSMB3	7.747919	7.034239	0.000000	0.000000
ARHGEF19	7.698707	6.982900	0.000000	0.000000
CNTNAP1	7.560768	6.838997	0.000000	0.000000
NEK8	7.526061	6.802789	0.000000	0.000000
VPS51	7.510121	6.786161	0.000000	0.000000
MSH5	7.468222	6.742451	0.000000	0.000000
SELPLG	7.456040	6.729742	0.000000	0.000000
LY6G5B	7.419717	6.691849	0.000000	0.000000
ATP6V1FNB	7.402626	6.674019	0.000000	0.000000
TMUB1	7.392667	6.663629	0.000000	0.000000
SYTL3	7.373838	6.643986	0.000000	0.000000
MEA1	7.357899	6.627358	0.000000	0.000000
CARD6	7.333071	6.601456	0.000000	0.000000
CFAP161	7.323253	6.591214	0.000000	0.000000
CLIC1	7.262909	6.528262	0.000000	0.000000
AC009133.6	7.226465	6.490242	0.000000	0.000000
SLC25A17	7.178970	6.440693	0.000000	0.000000
OLFML2A	7.175495	6.437068	0.000000	0.000000
CPNE3	7.104323	6.362820	0.000000	0.000000
CLDN25	7.095030	6.353125	0.000000	0.000000
ELOVL6	7.060364	6.316960	0.000000	0.000000
CCR10	7.049838	6.305980	0.000000	0.000000
SSBP4	6.992364	6.246020	0.000000	0.000000
KLF1	6.920101	6.170634	0.000000	0.000001
RMDN1	6.919273	6.169770	0.000000	0.000001
ARVCF	6.848909	6.096364	0.000000	0.000001
VCL	6.837758	6.084730	0.000000	0.000001
CALML6	6.771253	6.015350	0.000000	0.000002
SH2D2A	6.731556	5.973937	0.000000	0.000002
HIST1H3B	6.718970	5.960807	0.000000	0.000002
AL662899.2	6.703273	5.944432	0.000000	0.000002
PPM1F	6.609838	5.846958	0.000000	0.000004
AGAP3	6.585556	5.821625	0.000000	0.000005
COPZ1	6.530424	5.764111	0.000000	0.000006
TMEM17	6.519434	5.752646	0.000000	0.000007
ACTR3C	6.490121	5.722065	0.000000	0.000008
RHOF	6.453778	5.684151	0.000000	0.000009
ADAMTSL5	6.433232	5.662717	0.000000	0.000011
PLXNA1	6.413838	5.642485	0.000000	0.000012
KCNH2	6.409677	5.638143	0.000000	0.000012
KCNMB3	6.378101	5.605202	0.000000	0.000014
ASAP3	6.337818	5.563178	0.000000	0.000018
GET4	6.316626	5.541070	0.000000	0.000020
HDDC3	6.251596	5.473229	0.000000	0.000028
HSDL1	6.242343	5.463576	0.000000	0.000029
EHBP1L1	6.223152	5.443554	0.000000	0.000032
SMCO1	6.214707	5.434745	0.000000	0.000033
MGAT1	6.213818	5.433818	0.000000	0.000033
NUP214	6.182848	5.401509	0.000000	0.000039
RNF213	6.162121	5.379886	0.000000	0.000044
KCNK4	6.159172	5.376809	0.000000	0.000044
CHRM4	6.152525	5.369875	0.000000	0.000045
JAK3	6.150808	5.368083	0.000000	0.000045
SLC39A5	6.133818	5.350359	0.000000	0.000049
LYL1	6.119758	5.335691	0.000000	0.000053
MTHFR	6.109939	5.325448	0.000000	0.000055
EVA1B	6.085212	5.299652	0.000000	0.000063
GSDMD	6.062727	5.276195	0.000000	0.000070
ANXA2R	6.035293	5.247575	0.000000	0.000081
WDR97	6.019192	5.230777	0.000000	0.000087
DNAAF1	5.999535	5.210271	0.000001	0.000096
CCDC12	5.936465	5.144474	0.000001	0.000134
GPR182	5.909414	5.116254	0.000001	0.000154
KCNN1	5.902687	5.109236	0.000001	0.000158
NOL3	5.873475	5.078761	0.000001	0.000183
DDA1	5.861030	5.065778	0.000001	0.000193
UBC	5.834929	5.038549	0.000001	0.000220
QRFP	5.827030	5.030309	0.000001	0.000227
PHETA2	5.805131	5.007463	0.000001	0.000253
ERMN	5.785717	4.987209	0.000002	0.000276
PTPRU	5.784586	4.986029	0.000002	0.000276
UBTF	5.782727	4.984090	0.000002	0.000277
DHRS13	5.754242	4.954374	0.000002	0.000318
BHLHE40	5.731232	4.930369	0.000002	0.000355
TMC6	5.718384	4.916965	0.000002	0.000376
GP1BB	5.660404	4.856479	0.000003	0.000500
BCOR	5.659152	4.855172	0.000003	0.000500
MYL6	5.632828	4.827711	0.000003	0.000566
USP16	5.623576	4.818058	0.000004	0.000588
FIBCD1	5.616202	4.810366	0.000004	0.000606
CDR2L	5.613899	4.807963	0.000004	0.000608
TNFAIP3	5.611475	4.805434	0.000004	0.000610
VAT1	5.597919	4.791293	0.000004	0.000648
CLCN6	5.557051	4.748657	0.000005	0.000784
ROCK2	5.556545	4.748130	0.000005	0.000784
PCGF1	5.545192	4.736286	0.000005	0.000823
SAE1	5.520727	4.710764	0.000006	0.000921
CFL1	5.483010	4.671416	0.000007	0.001099
RNPEPL1	5.469899	4.657738	0.000008	0.001160
B3GALT4	5.468828	4.656621	0.000008	0.001160
BCR	5.430566	4.616704	0.000009	0.001386
DBP	5.425172	4.611077	0.000010	0.001412
AC005837.2	5.422848	4.608654	0.000010	0.001417
PPP1R10	5.420667	4.606377	0.000010	0.001422
TMEM209	5.384970	4.569137	0.000012	0.001675
DDX43	5.371980	4.555586	0.000012	0.001769
ID3	5.369758	4.553267	0.000013	0.001775
FZR1	5.362990	4.546207	0.000013	0.001820
HKDC1	5.359030	4.542076	0.000013	0.001841
ATP5IF1	5.340222	4.522455	0.000014	0.001999
PLEKHG2	5.335333	4.517355	0.000015	0.002031
AC008878.1	5.332020	4.513899	0.000015	0.002044
SLC25A21	5.329879	4.511665	0.000015	0.002044
MAPK1	5.329616	4.511391	0.000015	0.002044
F12	5.314424	4.495542	0.000016	0.002181
R3HDM4	5.305010	4.485721	0.000017	0.002264
AAAS	5.303616	4.484267	0.000017	0.002264
ASPDH	5.293838	4.474066	0.000018	0.002354
NFE2	5.276667	4.456152	0.000019	0.002533
HIST1H2BO	5.271192	4.450441	0.000020	0.002582
RNF207	5.265616	4.444624	0.000020	0.002632
C17orf58	5.258768	4.437479	0.000021	0.002700
RPS2	5.251091	4.429471	0.000022	0.002780
SNAP29	5.243212	4.421251	0.000023	0.002864
EEF1A1	5.224788	4.402031	0.000025	0.003098
BCL2L2-PABPN1	5.219152	4.396151	0.000025	0.003159
NFKBIL1	5.214061	4.390840	0.000026	0.003214
