g.name	raw.score	z.score	p.value	q.value
AC009133.6	17.060234	9.927637	0.000000	0.000000
KDM6B	15.421832	8.784946	0.000000	0.000000
ZFP36	14.329031	8.022780	0.000000	0.000000
PRRT2	13.641841	7.543505	0.000000	0.000000
ATAD1	13.558034	7.485055	0.000000	0.000000
PKM	13.139780	7.193347	0.000000	0.000000
SLC11A2	13.125641	7.183485	0.000000	0.000000
ATXN1	13.087737	7.157050	0.000000	0.000000
VAMP2	12.857317	6.996345	0.000000	0.000000
ACTN4	12.827061	6.975243	0.000000	0.000000
TMEM107	12.564312	6.791990	0.000000	0.000000
IRF2BP2	12.554570	6.785196	0.000000	0.000000
RPS16	12.486858	6.737971	0.000000	0.000000
HOXB5	12.481876	6.734497	0.000000	0.000000
UBC	12.368094	6.655140	0.000000	0.000000
ZNF227	12.208300	6.543693	0.000000	0.000000
BBC3	12.164819	6.513367	0.000000	0.000000
HOXC5	12.139685	6.495838	0.000000	0.000000
MINDY3	11.638269	6.146129	0.000000	0.000003
BORCS6	11.596401	6.116929	0.000000	0.000003
CKB	11.496602	6.047324	0.000000	0.000004
AC008982.1	11.467887	6.027297	0.000000	0.000004
CYGB	11.467687	6.027158	0.000000	0.000004
ASGR1	11.245966	5.872521	0.000000	0.000011
LTBP4	11.117610	5.783000	0.000000	0.000017
HNRNPL	11.075528	5.753650	0.000000	0.000020
DPF1	10.941866	5.660428	0.000000	0.000032
NBPF1	10.929085	5.651514	0.000000	0.000033
ZNF764	10.894732	5.627555	0.000000	0.000036
PLEKHG2	10.882114	5.618754	0.000000	0.000037
LIN37	10.792138	5.556002	0.000000	0.000051
GABARAP	10.685332	5.481511	0.000000	0.000074
HOXA6	10.673961	5.473580	0.000000	0.000075
MAP1LC3B	10.657821	5.462323	0.000000	0.000078
EGLN1	10.452720	5.319278	0.000000	0.000163
PAK4	10.383447	5.270963	0.000000	0.000205
COX6B1	10.208839	5.149185	0.000001	0.000376
HKDC1	10.188682	5.135126	0.000001	0.000393
LBR	10.126314	5.091628	0.000001	0.000478
C17orf53	10.084906	5.062748	0.000001	0.000540
VAT1	9.975399	4.986374	0.000002	0.000758
THOC6	9.973740	4.985216	0.000002	0.000758
SLC34A3	9.967628	4.980954	0.000002	0.000758
LYPD3	9.900997	4.934482	0.000002	0.000932
SHKBP1	9.876897	4.917674	0.000002	0.000990
DMKN	9.768012	4.841733	0.000003	0.001403
HCFC1R1	9.736138	4.819503	0.000004	0.001517
CNTD2	9.732186	4.816746	0.000004	0.001517
THAP8	9.647733	4.757845	0.000005	0.001970
GLT8D2	9.637038	4.750386	0.000005	0.001971
WDR62	9.635653	4.749420	0.000005	0.001971
HES7	9.623159	4.740706	0.000005	0.002014
RBM20	9.589908	4.717516	0.000006	0.002205
SLC1A5	9.574093	4.706486	0.000006	0.002280
SUPT5H	9.554009	4.692478	0.000007	0.002391
LRIG3	9.500467	4.655136	0.000008	0.002796
IGFBP5	9.488891	4.647062	0.000008	0.002852
RND2	9.403806	4.587720	0.000011	0.003686
ARHGDIA	9.396046	4.582308	0.000011	0.003715
KLC1	9.378871	4.570329	0.000012	0.003859
TOR1AIP2	9.340874	4.543829	0.000013	0.004256
PLAUR	9.337718	4.541628	0.000013	0.004256
C1orf35	9.332289	4.537841	0.000013	0.004261
DDX39B	9.280253	4.501550	0.000016	0.004942
RPLP1	9.239738	4.473292	0.000018	0.005524
WDR26	9.205980	4.449748	0.000020	0.005976
SH3RF2	9.204742	4.448885	0.000020	0.005976
AC012531.2	9.148369	4.409568	0.000024	0.007008
