g.name	raw.score	z.score	p.value	q.value
BCR	36.699612	7.733891	0.000000	0.000000
MAPK1	34.902385	7.274284	0.000000	0.000000
SLC25A1	34.094058	7.067569	0.000000	0.000000
GP1BB	33.056062	6.802120	0.000000	0.000000
YDJC	32.603032	6.686266	0.000000	0.000000
AIF1L	32.150350	6.570501	0.000000	0.000000
FAM78A	31.718477	6.460058	0.000000	0.000001
ARVCF	31.644041	6.441022	0.000000	0.000001
ZNF280B	30.455163	6.136988	0.000000	0.000005
ZNF280A	30.330130	6.105013	0.000000	0.000006
TANGO2	30.109694	6.048641	0.000000	0.000008
RCC1	29.765835	5.960705	0.000000	0.000012
MSH5-SAPCD1	29.699874	5.943837	0.000000	0.000012
DDAH2	29.625086	5.924711	0.000000	0.000013
SDF2L1	29.453631	5.880865	0.000000	0.000015
SNAP29	29.118612	5.795190	0.000000	0.000024
MSH5	28.608989	5.664863	0.000000	0.000047
CLIC1	28.411016	5.614235	0.000000	0.000060
NUP214	28.033746	5.517755	0.000000	0.000097
HSPA1B	27.989858	5.506532	0.000000	0.000099
PI4KA	27.916559	5.487787	0.000000	0.000104
FIBCD1	27.822231	5.463664	0.000000	0.000114
C6orf48	27.558756	5.396285	0.000000	0.000157
PRAME	27.155958	5.293277	0.000000	0.000259
COMT	27.096390	5.278044	0.000000	0.000259
SEPT5-GP1BB	27.095545	5.277827	0.000000	0.000259
TXNRD2	27.081791	5.274310	0.000000	0.000259
C6orf47	27.050263	5.266247	0.000000	0.000260
HIST1H2BF	26.979995	5.248278	0.000000	0.000277
DGCR8	26.535283	5.134551	0.000001	0.000483
CDC45	26.202522	5.049453	0.000001	0.000722
RANBP1	25.790345	4.944046	0.000002	0.001186
LAMC3	25.732611	4.929282	0.000002	0.001238
HIST1H4K	25.700817	4.921151	0.000002	0.001252
ZDHHC8	25.524374	4.876029	0.000003	0.001518
HIST1H4I	25.349114	4.831210	0.000003	0.001836
TSPOAP1	25.194095	4.791566	0.000004	0.002128
RAB36	25.186350	4.789586	0.000004	0.002128
HIST1H2BK	25.159183	4.782638	0.000004	0.002145
NEK8	24.904628	4.717540	0.000006	0.002850
HIST1H2AK	24.742394	4.676052	0.000007	0.003381
FTH1	24.630464	4.647428	0.000008	0.003774
HIST1H2AH	24.512671	4.617305	0.000009	0.004241
AL031777.3	24.367791	4.580254	0.000011	0.004917
BHLHE40	24.257395	4.552023	0.000013	0.005471
NBPF1	24.153061	4.525341	0.000014	0.006044
UFD1	24.115280	4.515679	0.000015	0.006183
HIST1H2AD	24.049315	4.498810	0.000016	0.006535
HIST1H1C	23.985700	4.482541	0.000017	0.006890
HIST1H2AC	23.813587	4.438527	0.000021	0.008220
HIST1H4B	23.743274	4.420545	0.000023	0.008453
PPIL2	23.741203	4.420016	0.000023	0.008453
MIDN	23.738416	4.419303	0.000023	0.008453
PPM1F	23.717776	4.414025	0.000023	0.008477
HIST1H2BC	23.703763	4.410441	0.000024	0.008477
HIST1H2AG	23.667945	4.401282	0.000025	0.008671
