g.name	raw.score	z.score	p.value	q.value
LY6G6F-LY6G6D	34.627772	21.158885	0.000000	0.000000
USP18	28.267158	17.068542	0.000000	0.000000
SFXN5	27.511406	16.582537	0.000000	0.000000
CDK4	27.388564	16.503541	0.000000	0.000000
RPS24	27.278238	16.432593	0.000000	0.000000
ACAP1	26.245040	15.768170	0.000000	0.000000
RAD1	26.145198	15.703965	0.000000	0.000000
APLNR	25.317277	15.171551	0.000000	0.000000
PRKACA	24.077901	14.374541	0.000000	0.000000
STIP1	23.575475	14.051444	0.000000	0.000000
ATP6V1FNB	23.096129	13.743189	0.000000	0.000000
BSDC1	22.010495	13.045046	0.000000	0.000000
CLN3	19.295871	11.299344	0.000000	0.000000
RNF10	18.865485	11.022574	0.000000	0.000000
IGLL5	18.025347	10.482303	0.000000	0.000000
ANXA2R	14.570911	8.260846	0.000000	0.000000
SDF2L1	14.547545	8.245820	0.000000	0.000000
RAB36	14.205554	8.025895	0.000000	0.000000
VHLL	13.940990	7.855761	0.000000	0.000000
CCDC116	13.783921	7.754754	0.000000	0.000000
MAPK1	13.270366	7.424500	0.000000	0.000000
CAMK1	13.210842	7.386221	0.000000	0.000000
HIST1H2BF	12.819644	7.134652	0.000000	0.000000
CDC42	12.795000	7.118805	0.000000	0.000000
PRAME	12.629990	7.012691	0.000000	0.000000
CLIC1	12.589327	6.986542	0.000000	0.000000
FAM78A	12.454713	6.899975	0.000000	0.000000
ABCC11	12.124020	6.687315	0.000000	0.000000
TUBGCP2	11.884119	6.533041	0.000000	0.000000
TNFAIP3	11.744881	6.443501	0.000000	0.000000
MSH5	11.729416	6.433556	0.000000	0.000000
YDJC	11.719743	6.427335	0.000000	0.000000
NUP43	11.459455	6.259951	0.000000	0.000001
MSH5-SAPCD1	11.353287	6.191677	0.000000	0.000001
HIST1H1T	11.283812	6.146999	0.000000	0.000001
RPL14	11.246980	6.123314	0.000000	0.000002
HYPK	11.086683	6.020231	0.000000	0.000003
LY6G5B	11.030010	5.983786	0.000000	0.000003
HIST1H4I	10.995693	5.961718	0.000000	0.000004
HOXB8	10.851871	5.869230	0.000000	0.000006
ITPRIPL1	10.683980	5.761264	0.000000	0.000012
LAMC3	10.682535	5.760334	0.000000	0.000012
SGK3	10.491198	5.637290	0.000000	0.000022
ZBTB12	10.487812	5.635113	0.000000	0.000022
MTHFR	10.465158	5.620545	0.000000	0.000024
MRPS18B	10.242713	5.477496	0.000000	0.000052
C8orf44	10.236485	5.473491	0.000000	0.000052
ZC3H4	9.966327	5.299760	0.000000	0.000128
MAP3K7CL	9.963535	5.297964	0.000000	0.000128
C4BPB	9.921059	5.270649	0.000000	0.000145
HIST1H1C	9.892406	5.252223	0.000000	0.000156
AL031777.3	9.875198	5.241157	0.000000	0.000163
RPUSD2	9.809436	5.198867	0.000001	0.000199
CCR4	9.723782	5.143786	0.000001	0.000260
PIEZO1	9.626683	5.081344	0.000001	0.000351
GPR84	9.545218	5.028956	0.000001	0.000450
USP48	9.524109	5.015381	0.000001	0.000473
HIST1H2AD	9.454228	4.970442	0.000002	0.000582
CD55	9.435842	4.958619	0.000002	0.000607
SELPLG	9.430376	4.955104	0.000002	0.000607
TRIM41	9.377238	4.920932	0.000002	0.000707
NUP214	9.363842	4.912317	0.000002	0.000726
ERICH4	9.305851	4.875025	0.000003	0.000858
PPP1R15B	9.233366	4.828412	0.000003	0.001059
GZF1	9.195554	4.804096	0.000004	0.001173
IRF2BP2	9.139446	4.768014	0.000005	0.001373
DGCR8	9.116663	4.753363	0.000005	0.001432
FUZ	9.116040	4.752962	0.000005	0.001432
HIP1	9.064564	4.719860	0.000006	0.001651
FIBCD1	9.043010	4.705999	0.000006	0.001738
WBP1	9.005109	4.681626	0.000007	0.001914
HIST1H2AL	9.001812	4.679505	0.000007	0.001914
TEDDM1	8.929733	4.633153	0.000009	0.002315
AAAS	8.929238	4.632835	0.000009	0.002315
DLX2	8.878931	4.600484	0.000010	0.002653
KBTBD2	8.838802	4.574678	0.000011	0.002948
HCN3	8.831208	4.569795	0.000012	0.002976
G6PC3	8.824267	4.565331	0.000012	0.002980
B4GALT2	8.822030	4.563892	0.000012	0.002980
QRFP	8.790446	4.543581	0.000013	0.003229
PSMD5	8.760871	4.524563	0.000014	0.003477
PDGFB	8.720594	4.498662	0.000016	0.003861
HBP1	8.698327	4.484342	0.000017	0.004068
BMF	8.692040	4.480299	0.000017	0.004094
SDCCAG8	8.634832	4.443510	0.000021	0.004768
ATP6V1G2-DDX39B	8.558050	4.394134	0.000026	0.005862
CD46	8.482208	4.345362	0.000032	0.007172
C6orf48	8.473119	4.339517	0.000032	0.007274
TST	8.354752	4.263399	0.000045	0.009980
