g.name	raw.score	z.score	p.value	q.value
AL929554.1	73.942020	24.052890	0.000000	0.000000
TSR3	64.953485	21.060434	0.000000	0.000000
GNPTG	63.947455	20.725508	0.000000	0.000000
RPL35	60.403109	19.545527	0.000000	0.000000
SMDT1	57.762129	18.666294	0.000000	0.000000
AC009119.2	57.689099	18.641981	0.000000	0.000000
CA11	57.138713	18.458747	0.000000	0.000000
MFSD11	56.627950	18.288705	0.000000	0.000000
SLC25A41	53.456812	17.232972	0.000000	0.000000
NAT14	52.845644	17.029502	0.000000	0.000000
MRPL38	52.092881	16.778893	0.000000	0.000000
LRRC14	50.010574	16.085654	0.000000	0.000000
PPP1R18	49.195980	15.814460	0.000000	0.000000
ARMC12	47.743960	15.331054	0.000000	0.000000
SP1	47.012327	15.087480	0.000000	0.000000
ARPC5L	44.235475	14.163013	0.000000	0.000000
RECQL4	43.567663	13.940685	0.000000	0.000000
AL358472.7	43.150634	13.801848	0.000000	0.000000
MKNK2	41.868772	13.375092	0.000000	0.000000
BAMBI	41.850208	13.368911	0.000000	0.000000
SYCE1L	41.459525	13.238846	0.000000	0.000000
SEPT4	41.256782	13.171349	0.000000	0.000000
COPZ1	41.172149	13.143173	0.000000	0.000000
CLEC17A	40.897297	13.051669	0.000000	0.000000
SLC5A3	40.452733	12.903665	0.000000	0.000000
NFE2	40.276376	12.844953	0.000000	0.000000
BTBD19	40.184495	12.814364	0.000000	0.000000
TNFRSF14	38.913950	12.391375	0.000000	0.000000
ARHGAP27	38.723743	12.328051	0.000000	0.000000
UBL5	37.510297	11.924072	0.000000	0.000000
FBXL12	36.961337	11.741313	0.000000	0.000000
MAP1LC3C	36.440970	11.568073	0.000000	0.000000
GPR15	36.437178	11.566810	0.000000	0.000000
FBXL8	36.046109	11.436616	0.000000	0.000000
SLC22A18	35.952455	11.405437	0.000000	0.000000
MAP2K3	35.602277	11.288856	0.000000	0.000000
MDM4	35.409634	11.224721	0.000000	0.000000
ZNF48	35.335436	11.200019	0.000000	0.000000
IMP3	34.786693	11.017332	0.000000	0.000000
AC008982.1	33.849762	10.705410	0.000000	0.000000
MNT	33.700317	10.655657	0.000000	0.000000
GABARAP	33.631802	10.632847	0.000000	0.000000
C9orf43	33.569168	10.611995	0.000000	0.000000
ANKMY1	33.348158	10.538417	0.000000	0.000000
WT1	30.924099	9.731401	0.000000	0.000000
ARHGAP4	30.864248	9.711475	0.000000	0.000000
TACC3	30.752703	9.674340	0.000000	0.000000
CDC42EP5	30.196446	9.489151	0.000000	0.000000
LHX1	30.060822	9.443999	0.000000	0.000000
MT1B	29.935733	9.402355	0.000000	0.000000
ASIC3	29.827832	9.366432	0.000000	0.000000
LLGL2	29.320030	9.197375	0.000000	0.000000
UBAC1	29.242030	9.171408	0.000000	0.000000
PNKP	28.857921	9.043531	0.000000	0.000000
SYP	28.429713	8.900972	0.000000	0.000000
TDG	28.393574	8.888941	0.000000	0.000000
BAK1	27.681356	8.651830	0.000000	0.000000
UBE2D2	27.365604	8.546710	0.000000	0.000000
IFI35	27.259683	8.511447	0.000000	0.000000
PLEKHA4	26.864663	8.379937	0.000000	0.000000
