g.name	raw.score	z.score	p.value	q.value
SGIP1	33.540465	23.736726	0.000000	0.000000
STX5	22.459465	15.464861	0.000000	0.000000
LTBP4	20.147782	13.739211	0.000000	0.000000
SUPT5H	19.267436	13.082041	0.000000	0.000000
AP2S1	18.532545	12.533451	0.000000	0.000000
TNFAIP8L2	15.858960	10.537645	0.000000	0.000000
SCNM1	15.730634	10.441850	0.000000	0.000000
MEOX1	14.847139	9.782329	0.000000	0.000000
OCRL	14.302832	9.376009	0.000000	0.000000
LIN37	14.056574	9.192180	0.000000	0.000000
HOXC12	13.475307	8.758270	0.000000	0.000000
RABEP2	13.197475	8.550871	0.000000	0.000000
AP2B1	13.069832	8.455586	0.000000	0.000000
SLFN14	13.037356	8.431344	0.000000	0.000000
PAFAH1B1	12.910337	8.336524	0.000000	0.000000
BBC3	12.884752	8.317426	0.000000	0.000000
RPS16	12.653584	8.144861	0.000000	0.000000
NMT1	12.105168	7.735474	0.000000	0.000000
PDXK	11.996119	7.654069	0.000000	0.000000
AL020996.2	11.824495	7.525954	0.000000	0.000000
P4HB	11.796386	7.504971	0.000000	0.000000
CDC20	11.747891	7.468769	0.000000	0.000000
CALM1	11.678594	7.417040	0.000000	0.000000
TMEM205	11.677446	7.416182	0.000000	0.000000
TMEM190	11.635644	7.384978	0.000000	0.000000
RAB34	11.572822	7.338082	0.000000	0.000000
HIST1H1A	11.565188	7.332383	0.000000	0.000000
LSM14A	11.357911	7.177653	0.000000	0.000000
C19orf70	11.336812	7.161903	0.000000	0.000000
HOXC6	11.061386	6.956300	0.000000	0.000000
HOXA4	11.056772	6.952856	0.000000	0.000000
PPP1R14A	11.049624	6.947519	0.000000	0.000000
PDE9A	10.928772	6.857305	0.000000	0.000000
SNCA	10.765337	6.735302	0.000000	0.000000
NBPF1	10.757990	6.729817	0.000000	0.000000
B3GNT9	10.743792	6.719219	0.000000	0.000000
ZNF792	10.726287	6.706151	0.000000	0.000000
HRH3	10.517406	6.550224	0.000000	0.000000
AC092073.1	10.362297	6.434436	0.000000	0.000000
DDAH2	10.319426	6.402433	0.000000	0.000000
BAZ2A	10.109515	6.245737	0.000000	0.000001
LRRC46	10.090218	6.231332	0.000000	0.000001
ALAD	10.035634	6.190585	0.000000	0.000001
RINL	10.004059	6.167015	0.000000	0.000001
HSD11B1L	9.910772	6.097377	0.000000	0.000001
B3GALNT2	9.874723	6.070466	0.000000	0.000002
C19orf81	9.817881	6.028035	0.000000	0.000002
RUFY1	9.798040	6.013223	0.000000	0.000002
DDR1	9.718881	5.954132	0.000000	0.000003
SYNGAP1	9.718267	5.953674	0.000000	0.000003
SLC17A7	9.709545	5.947162	0.000000	0.000003
PRR7	9.593465	5.860510	0.000000	0.000005
AC008982.1	9.585178	5.854324	0.000000	0.000005
AC012531.2	9.525703	5.809926	0.000000	0.000007
BCL2L13	9.503099	5.793053	0.000000	0.000007
MRPL10	9.497267	5.788699	0.000000	0.000008
ATP6V1E1	9.377554	5.699335	0.000000	0.000012
A1BG	9.332614	5.665787	0.000000	0.000015
MAGIX	9.327723	5.662136	0.000000	0.000015
ACP7	9.240851	5.597287	0.000000	0.000021
SLC27A3	9.196079	5.563865	0.000000	0.000025
ADSS	9.192594	5.561264	0.000000	0.000025
LYPD3	9.174416	5.547694	0.000000	0.000026
SLC9A5	9.107693	5.497886	0.000000	0.000034
TESK2	8.982446	5.404390	0.000000	0.000056
TOR4A	8.790673	5.261233	0.000000	0.000118
MORN3	8.665624	5.167885	0.000001	0.000188
PEX11G	8.659822	5.163554	0.000001	0.000190
GSTT2B	8.582931	5.106156	0.000001	0.000251
IFT74	8.414287	4.980265	0.000002	0.000467
HIST1H2BO	8.394574	4.965549	0.000002	0.000495
CLDN9	8.374475	4.950545	0.000002	0.000526
SPOCK2	8.337238	4.922748	0.000002	0.000595
MEGF8	8.231832	4.844063	0.000003	0.000854
FXYD7	8.231020	4.843457	0.000003	0.000854
MDN1	8.209317	4.827256	0.000003	0.000911
PSME3	8.195119	4.816658	0.000004	0.000946
DNAJC18	8.143644	4.778232	0.000004	0.001123
HOXC8	8.122861	4.762718	0.000005	0.001194
SPEN	8.108099	4.751698	0.000005	0.001243
VMO1	8.071891	4.724669	0.000006	0.001395
CDC42EP1	8.059010	4.715053	0.000006	0.001442
AIPL1	8.046030	4.705364	0.000006	0.001491
SERTAD1	7.983970	4.659037	0.000008	0.001830
PRELID1	7.971505	4.649732	0.000008	0.001889
OR10P1	7.961267	4.642090	0.000008	0.001934
RAB24	7.919168	4.610663	0.000010	0.002211
CGAS	7.898228	4.595031	0.000010	0.002349
DHRS11	7.889812	4.588749	0.000011	0.002391
IFNL1	7.867139	4.571823	0.000012	0.002555
PAX2	7.839881	4.551476	0.000013	0.002773
CCNB1IP1	7.813287	4.531624	0.000014	0.003001
DMP1	7.787139	4.512104	0.000015	0.003222
PPP2R5C	7.783515	4.509399	0.000015	0.003222
SPHK1	7.782772	4.508845	0.000015	0.003222
SIL1	7.769406	4.498867	0.000016	0.003311
NSD1	7.768475	4.498172	0.000016	0.003311
C15orf39	7.736505	4.474306	0.000018	0.003647
DLL3	7.685644	4.436339	0.000021	0.004276
ZBTB11	7.677386	4.430175	0.000022	0.004350
METTL23	7.647960	4.408209	0.000024	0.004746
ACIN1	7.640366	4.402540	0.000025	0.004784
MRPS18B	7.637079	4.400086	0.000025	0.004784
CASKIN2	7.636624	4.399746	0.000025	0.004784
AC037459.1	7.628673	4.393811	0.000026	0.004864
ZNF227	7.616624	4.384816	0.000027	0.005012
