g.name	raw.score	z.score	p.value	q.value
HDLBP	12.806889	26.347461	0.000000	0.000000
SNU13	10.998944	22.535795	0.000000	0.000000
AICDA	9.666500	19.726620	0.000000	0.000000
PEX10	9.445833	19.261391	0.000000	0.000000
PKM	8.467000	17.197729	0.000000	0.000000
GDPGP1	8.115167	16.455964	0.000000	0.000000
KMT2E	7.613389	15.398072	0.000000	0.000000
LTB	7.034167	14.176906	0.000000	0.000000
TRAPPC5	6.931278	13.959986	0.000000	0.000000
GDI2	6.746056	13.569485	0.000000	0.000000
MGRN1	6.709444	13.492298	0.000000	0.000000
HIST1H1D	6.550333	13.156846	0.000000	0.000000
BHLHE40	6.161556	12.337191	0.000000	0.000000
HIST1H2AE	6.047333	12.096378	0.000000	0.000000
EPM2A	5.894056	11.773224	0.000000	0.000000
CCDC88C	5.707667	11.380263	0.000000	0.000000
UCHL5	5.540333	11.027476	0.000000	0.000000
PPM1M	5.506389	10.955911	0.000000	0.000000
WDR59	5.306722	10.534957	0.000000	0.000000
SPIRE2	5.181000	10.269898	0.000000	0.000000
ZNF200	5.125889	10.153708	0.000000	0.000000
AL451007.3	5.060722	10.016318	0.000000	0.000000
AC093827.5	5.035278	9.962674	0.000000	0.000000
UQCRC1	5.012556	9.914769	0.000000	0.000000
HIST1H2BD	4.950556	9.784055	0.000000	0.000000
KLHDC7B	4.845444	9.562451	0.000000	0.000000
NEXMIF	4.642111	9.133766	0.000000	0.000000
FGD2	4.606833	9.059390	0.000000	0.000000
ZFP91-CNTF	4.412722	8.650148	0.000000	0.000000
RAB12	4.401222	8.625903	0.000000	0.000000
CTDSP1	4.398000	8.619110	0.000000	0.000000
MLLT6	4.288500	8.388252	0.000000	0.000000
ATP6V0E2	4.288056	8.387315	0.000000	0.000000
PARP15	4.263889	8.336365	0.000000	0.000000
MYL12A	4.219778	8.243366	0.000000	0.000000
ODF3B	4.109278	8.010400	0.000000	0.000000
ZFP91	4.102667	7.996462	0.000000	0.000000
AL136295.4	4.074833	7.937782	0.000000	0.000000
NADK	4.037778	7.859658	0.000000	0.000000
ATP5MC2	4.028167	7.839395	0.000000	0.000000
RFTN1	4.009000	7.798986	0.000000	0.000000
PRDX1	3.920056	7.611466	0.000000	0.000000
HIST1H1C	3.916667	7.604321	0.000000	0.000000
PLEKHJ1	3.824000	7.408953	0.000000	0.000000
ST3GAL1	3.805778	7.370535	0.000000	0.000000
DIABLO	3.804056	7.366904	0.000000	0.000000
MYH9	3.789222	7.335631	0.000000	0.000000
SCAF11	3.764667	7.283861	0.000000	0.000000
BCLAF1	3.752444	7.258093	0.000000	0.000000
PLXNB2	3.729611	7.209954	0.000000	0.000000
RABAC1	3.703611	7.155139	0.000000	0.000000
DNAJC22	3.698333	7.144011	0.000000	0.000000
C1orf194	3.683000	7.111684	0.000000	0.000000
PPAN	3.660278	7.063779	0.000000	0.000000
DDX5	3.631778	7.003693	0.000000	0.000000
SNX16	3.605000	6.947238	0.000000	0.000000
TAF6L	3.589889	6.915379	0.000000	0.000000
CASC10	3.576500	6.887152	0.000000	0.000000
KLLN	3.568222	6.869700	0.000000	0.000000
SH3YL1	3.533944	6.797433	0.000000	0.000000
CD74	3.510944	6.748942	0.000000	0.000000
CYBC1	3.510167	6.747302	0.000000	0.000000
TSPAN12	3.429944	6.578171	0.000000	0.000000
TMEM234	3.424833	6.567395	0.000000	0.000000
NAMPT	3.389000	6.491848	0.000000	0.000000
PTPRCAP	3.356667	6.423680	0.000000	0.000000
SLC38A2	3.348444	6.406345	0.000000	0.000000
PPAN-P2RY11	3.303222	6.311004	0.000000	0.000000
ELL3	3.298056	6.300111	0.000000	0.000000
ANKRD33B	3.292500	6.288398	0.000000	0.000000
ZNF395	3.262222	6.224564	0.000000	0.000000
ITGB7	3.237944	6.173380	0.000000	0.000001
PPP4R3B	3.230944	6.158622	0.000000	0.000001
JAG1	3.201944	6.097481	0.000000	0.000001
WNK1	3.184222	6.060118	0.000000	0.000001
SERTAD3	3.174722	6.040089	0.000000	0.000001
IRF2BP2	3.168556	6.027088	0.000000	0.000001
FOXO3	3.131389	5.948730	0.000000	0.000002
FOXA3	3.121944	5.928818	0.000000	0.000002
NCOA2	3.110444	5.904573	0.000000	0.000003
EGR1	3.079500	5.839333	0.000000	0.000004
CRYM	3.070167	5.819656	0.000000	0.000004
ZC3HAV1	3.063222	5.805015	0.000000	0.000005
MTFP1	3.058222	5.794474	0.000000	0.000005
PSMB10	3.055889	5.789554	0.000000	0.000005
CSRNP1	3.038667	5.753245	0.000000	0.000006
ZFP90	3.029778	5.734504	0.000000	0.000007
EPOR	3.010944	5.694798	0.000000	0.000008
AC120114.4	2.995000	5.661183	0.000000	0.000010
DHX58	2.994667	5.660480	0.000000	0.000010
VOPP1	2.989167	5.648885	0.000000	0.000010
SCN2A	2.985944	5.642091	0.000000	0.000010
LYRM9	2.981889	5.633541	0.000000	0.000011
ZFPM2	2.979556	5.628622	0.000000	0.000011
SMG9	2.962000	5.591609	0.000000	0.000013
WDR83	2.954667	5.576149	0.000000	0.000015
TMEM243	2.936389	5.537614	0.000000	0.000018
AP4E1	2.933333	5.531172	0.000000	0.000018
CCDC110	2.917167	5.497088	0.000000	0.000022
JUND	2.913444	5.489240	0.000000	0.000023
MAN2B1	2.904389	5.470149	0.000000	0.000025
HSF4	2.900667	5.462301	0.000000	0.000026
AL360181.3	2.897333	5.455274	0.000000	0.000026
DDX56	2.897111	5.454805	0.000000	0.000026
ZBTB25	2.894167	5.448597	0.000000	0.000027
ZC3H10	2.885833	5.431028	0.000000	0.000029
JUNB	2.839278	5.332876	0.000000	0.000049
NCR2	2.835889	5.325731	0.000000	0.000051
RBM38	2.833444	5.320577	0.000000	0.000052
