g.name	raw.score	z.score	p.value	q.value
EMILIN1	1.459418	8.582862	0.000000	0.000000
F2RL3	1.437091	8.431679	0.000000	0.000000
ARID1A	1.353964	7.868806	0.000000	0.000000
MISP3	1.282073	7.382016	0.000000	0.000000
GIT2	1.279418	7.364041	0.000000	0.000000
STK16	1.279273	7.363057	0.000000	0.000000
GLB1L	1.246327	7.139975	0.000000	0.000000
MZB1	1.226000	7.002335	0.000000	0.000000
PEX12	1.208836	6.886116	0.000000	0.000000
ICAM5	1.195382	6.795012	0.000000	0.000000
STOML2	1.178945	6.683718	0.000000	0.000000
AL031847.2	1.172836	6.642352	0.000000	0.000000
RNASEH2B	1.167309	6.604926	0.000000	0.000000
LENEP	1.163527	6.579318	0.000000	0.000000
WDR38	1.160000	6.555434	0.000000	0.000000
ABHD14A	1.155382	6.524163	0.000000	0.000000
TRIM8	1.145200	6.455220	0.000000	0.000000
EIF5A	1.140400	6.422718	0.000000	0.000000
RNF41	1.124945	6.318072	0.000000	0.000001
GM2A	1.119382	6.280399	0.000000	0.000001
ZMIZ2	1.113745	6.242234	0.000000	0.000001
ZNF292	1.111782	6.228938	0.000000	0.000001
TMC6	1.096764	6.127246	0.000000	0.000002
NAGS	1.088436	6.070861	0.000000	0.000003
AGBL5	1.087964	6.067660	0.000000	0.000003
HIST1H1A	1.084509	6.044268	0.000000	0.000003
MACC1	1.084073	6.041313	0.000000	0.000003
PYY	1.081673	6.025062	0.000000	0.000004
STX10	1.081018	6.020630	0.000000	0.000004
ORAI3	1.067127	5.926572	0.000000	0.000006
ANO9	1.066291	5.920909	0.000000	0.000006
DVL2	1.065745	5.917215	0.000000	0.000006
RPL13A	1.058182	5.866000	0.000000	0.000008
TYMP	1.053709	5.835714	0.000000	0.000009
TEX54	1.034400	5.704968	0.000000	0.000019
CDT1	1.028509	5.665079	0.000000	0.000023
IER2	1.027964	5.661386	0.000000	0.000023
KCTD2	1.021782	5.619528	0.000000	0.000028
CTSW	1.020000	5.607463	0.000000	0.000030
PCGF2	1.018691	5.598598	0.000000	0.000030
NECTIN4	1.016655	5.584810	0.000000	0.000032
ANO8	1.015418	5.576438	0.000000	0.000032
AD000671.1	1.015236	5.575207	0.000000	0.000032
ICAM4	1.011309	5.548614	0.000000	0.000036
PTMA	1.011273	5.548368	0.000000	0.000036
WDR83	1.003964	5.498877	0.000000	0.000046
ZNF444	0.998618	5.462681	0.000000	0.000055
NDUFV1	0.994509	5.434858	0.000000	0.000063
COX6A1	0.987745	5.389060	0.000000	0.000079
FBXO24	0.985564	5.374286	0.000000	0.000083
ZNRD1	0.982655	5.354588	0.000000	0.000091
VASP	0.981600	5.347447	0.000000	0.000093
ITGA10	0.979855	5.335629	0.000000	0.000097
HLA-DMA	0.976327	5.311745	0.000000	0.000108
TMEM88	0.970036	5.269147	0.000000	0.000133
RBM38	0.965927	5.241324	0.000000	0.000151
ING1	0.963636	5.225812	0.000000	0.000161
ACBD7	0.962400	5.217440	0.000000	0.000165
LY6E	0.961818	5.213500	0.000000	0.000166
SH3GLB2	0.960691	5.205867	0.000001	0.000170
NABP2	0.956691	5.178782	0.000001	0.000192
BID	0.952109	5.147758	0.000001	0.000222
CCDC106	0.946618	5.110578	0.000001	0.000265
GTPBP3	0.943600	5.090141	0.000001	0.000289
TMEM268	0.940436	5.068719	0.000001	0.000318
DTX4	0.939455	5.062071	0.000001	0.000323
RHOH	0.939055	5.059363	0.000001	0.000323
LARP4	0.938436	5.055177	0.000001	0.000325
GADD45B	0.936582	5.042619	0.000001	0.000342
TRIR	0.934436	5.028092	0.000001	0.000362
ZNF580	0.932836	5.017258	0.000001	0.000370
RASSF7	0.932509	5.015042	0.000001	0.000370
PRR7	0.932509	5.015042	0.000001	0.000370
CDC14A	0.932182	5.012826	0.000001	0.000370
GPD1	0.931273	5.006670	0.000001	0.000377
ZFP36	0.926727	4.975892	0.000002	0.000434
MFSD10	0.917491	4.913350	0.000002	0.000584
EGR3	0.916000	4.903255	0.000002	0.000605
NPRL2	0.913455	4.886019	0.000003	0.000651
NEK8	0.908727	4.854010	0.000003	0.000751
SLC25A11	0.905055	4.829141	0.000003	0.000837
CDC42BPG	0.901127	4.802548	0.000004	0.000939
COL11A2	0.895418	4.763891	0.000005	0.001117
CIITA	0.894364	4.756750	0.000005	0.001142
SLC35B2	0.893491	4.750841	0.000005	0.001161
MAN2B1	0.892582	4.744685	0.000005	0.001181
NAA38	0.887273	4.708736	0.000006	0.001384
ETV6	0.886800	4.705535	0.000006	0.001390
MAT2B	0.881127	4.667124	0.000007	0.001645
FCHO1	0.880036	4.659737	0.000008	0.001684
S100A13	0.877927	4.645456	0.000008	0.001780
TBX21	0.872764	4.610492	0.000010	0.002062
MYB	0.872545	4.609015	0.000010	0.002062
MYC	0.866182	4.565925	0.000012	0.002487
SLC22A18	0.864618	4.555337	0.000012	0.002582
GRK2	0.863527	4.547950	0.000013	0.002643
CACNB1	0.862545	4.541302	0.000013	0.002697
FBXL22	0.861782	4.536132	0.000014	0.002733
AL136295.1	0.858800	4.515941	0.000015	0.002964
SLC35G6	0.857855	4.509539	0.000015	0.003021
ZNF296	0.856327	4.499198	0.000016	0.003134
CASQ1	0.855491	4.493534	0.000016	0.003184
TEX264	0.854982	4.490087	0.000017	0.003202
PPM1N	0.854255	4.485163	0.000017	0.003243
PSMB8	0.853273	4.478515	0.000018	0.003309
P2RY11	0.851745	4.468173	0.000018	0.003433
EFNA1	0.850000	4.456354	0.000019	0.003586
CLP1	0.849236	4.451183	0.000020	0.003636
MUS81	0.844109	4.416466	0.000023	0.004202
SLC16A11	0.842036	4.402431	0.000025	0.004430
RAPGEF3	0.839927	4.388150	0.000026	0.004675
STK3	0.835709	4.359587	0.000030	0.005250
SIPA1L1	0.834982	4.354663	0.000030	0.005276
SDC3	0.834945	4.354416	0.000030	0.005276
PHF1	0.833927	4.347522	0.000031	0.005390
POLR2E	0.832836	4.340135	0.000032	0.005472
CYC1	0.832836	4.340135	0.000032	0.005472
ATP5MGL	0.830509	4.324377	0.000035	0.005809
SMIM4	0.829673	4.318714	0.000036	0.005861
PITPNM1	0.829636	4.318467	0.000036	0.005861
RAB34	0.823455	4.276609	0.000043	0.006958
GSDMB	0.822909	4.272916	0.000043	0.007012
CCR6	0.821855	4.265775	0.000045	0.007170
KCNH4	0.820218	4.254695	0.000047	0.007457
PRDM2	0.819636	4.250755	0.000048	0.007523
IBA57	0.818218	4.241152	0.000050	0.007774
TAPBP	0.817527	4.236474	0.000051	0.007868
JADE1	0.817127	4.233766	0.000051	0.007897
AL021546.1	0.815891	4.225394	0.000053	0.008118
MYMX	0.814509	4.216037	0.000055	0.008381
MAPKAPK3	0.813745	4.210867	0.000056	0.008501
CFLAR	0.812945	4.205450	0.000058	0.008631
RNF215	0.810073	4.185998	0.000063	0.009295
SLBP	0.807745	4.170239	0.000067	0.009851
NAGA	0.807455	4.168269	0.000067	0.009851
WRB	0.807236	4.166792	0.000068	0.009851
