g.name	raw.score	z.score	p.value	q.value
POLR3G	28.675218	15.023088	0.000000	0.000000
IRF2BP2	25.454455	13.209762	0.000000	0.000000
U2AF1L4	25.303040	13.124513	0.000000	0.000000
AD000671.2	25.089644	13.004369	0.000000	0.000000
CYP27B1	22.470277	11.529635	0.000000	0.000000
PNRC2	22.388525	11.483608	0.000000	0.000000
AD000671.1	22.171040	11.361161	0.000000	0.000000
L34079.1	21.324307	10.884441	0.000000	0.000000
SLC35G6	21.201743	10.815436	0.000000	0.000000
IGFLR1	20.460327	10.398010	0.000000	0.000000
CHMP7	20.419238	10.374876	0.000000	0.000000
C6orf89	20.335723	10.327857	0.000000	0.000000
HLA-DMA	20.294921	10.304885	0.000000	0.000000
PHF23	19.855703	10.057600	0.000000	0.000000
SDE2	19.614772	9.921953	0.000000	0.000000
MAN2B1	19.134455	9.651529	0.000000	0.000000
RIPOR1	19.085901	9.624193	0.000000	0.000000
BRD2	18.896812	9.517733	0.000000	0.000000
AGAP2	17.952950	8.986328	0.000000	0.000000
ADAMTS4	17.917208	8.966205	0.000000	0.000000
ZNF451	17.842703	8.924258	0.000000	0.000000
PFN3	17.333990	8.637847	0.000000	0.000000
DNAJC2	17.265911	8.599517	0.000000	0.000000
ETV2	17.178614	8.550368	0.000000	0.000000
SLC35A1	17.158604	8.539102	0.000000	0.000000
WDR83	16.770307	8.320487	0.000000	0.000000
HJV	16.689327	8.274894	0.000000	0.000000
ERBB3	16.507257	8.172387	0.000000	0.000000
ZNF292	16.227347	8.014794	0.000000	0.000000
NR4A1	16.007842	7.891210	0.000000	0.000000
SLC26A8	15.961050	7.864865	0.000000	0.000000
LARP6	15.944248	7.855406	0.000000	0.000000
H3F3A	15.930525	7.847680	0.000000	0.000000
RGMB	15.907436	7.834680	0.000000	0.000000
NVL	15.800574	7.774516	0.000000	0.000000
PCGF2	15.730891	7.735284	0.000000	0.000000
LAMC1	15.595020	7.658786	0.000000	0.000000
CDK5RAP3	15.063386	7.359471	0.000000	0.000000
TMEM88	15.003911	7.325985	0.000000	0.000000
PSENEN	14.973871	7.309073	0.000000	0.000000
FOXO3	14.915248	7.276067	0.000000	0.000000
GIT2	14.770366	7.194497	0.000000	0.000000
ANO8	14.685188	7.146541	0.000000	0.000000
ENAH	14.432495	7.004272	0.000000	0.000000
ICK	14.428931	7.002265	0.000000	0.000000
TMEM219	14.394485	6.982872	0.000000	0.000000
COX20	14.378653	6.973958	0.000000	0.000000
GEMIN5	14.287822	6.922819	0.000000	0.000000
CDKN1A	14.194832	6.870464	0.000000	0.000000
ACTRT3	14.179416	6.861785	0.000000	0.000000
LSM14A	14.156545	6.848908	0.000000	0.000000
DDIT4	14.076891	6.804063	0.000000	0.000000
LSM12	14.065347	6.797563	0.000000	0.000000
NID1	14.052871	6.790539	0.000000	0.000000
SPATA21	13.958158	6.737215	0.000000	0.000000
TLX1	13.749792	6.619902	0.000000	0.000000
BRMS1	13.654208	6.566087	0.000000	0.000000
ZBTB22	13.561050	6.513638	0.000000	0.000000
CEBPG	13.539287	6.501385	0.000000	0.000000
CHD3	13.444762	6.448167	0.000000	0.000000
VCAN	13.245000	6.335698	0.000000	0.000000
HOXA1	13.237861	6.331679	0.000000	0.000000
UBA1	13.189683	6.304554	0.000000	0.000000
S100A13	13.147663	6.280897	0.000000	0.000000
KCTD2	13.128356	6.270027	0.000000	0.000000
HACD3	13.080861	6.243286	0.000000	0.000000
AC034102.2	12.979327	6.186121	0.000000	0.000001
AL034430.1	12.841554	6.108554	0.000000	0.000001
KAAG1	12.753950	6.059232	0.000000	0.000001
ABHD16B	12.589079	5.966407	0.000000	0.000002
RPL3L	12.517139	5.925904	0.000000	0.000003
C17orf50	12.493198	5.912425	0.000000	0.000003
GAL3ST3	12.419653	5.871019	0.000000	0.000004
MUS81	12.381812	5.849714	0.000000	0.000004
INHBE	12.379733	5.848543	0.000000	0.000004
ACADVL	12.367733	5.841787	0.000000	0.000004
HES1	12.322911	5.816552	0.000000	0.000005
DNAJC8	12.270188	5.786868	0.000000	0.000005
AC023055.1	12.268050	5.785664	0.000000	0.000005
TRIM8	12.197921	5.746181	0.000000	0.000007
CDC42EP1	12.061970	5.669639	0.000000	0.000010
SRF	12.048416	5.662008	0.000000	0.000011
TNFSF13	12.030832	5.652108	0.000000	0.000011
PDE4A	12.012297	5.641672	0.000000	0.000012
RFC5	12.008941	5.639783	0.000000	0.000012
RBM20	12.001356	5.635513	0.000000	0.000012
DDAH1	11.959386	5.611883	0.000000	0.000013
AMIGO2	11.930743	5.595756	0.000000	0.000014
CC2D1B	11.720168	5.477201	0.000000	0.000027
FSD2	11.698188	5.464826	0.000000	0.000029
HOXC9	11.653327	5.439568	0.000000	0.000033
PRRT3	11.503505	5.355217	0.000000	0.000051
INO80B-WBP1	11.442644	5.320951	0.000000	0.000061
NAPSA	11.431436	5.314641	0.000000	0.000062
MLLT11	11.282089	5.230557	0.000000	0.000096
GAS2L3	11.221267	5.196314	0.000001	0.000113
GTPBP3	11.190455	5.178966	0.000001	0.000123
PRIM2	11.180644	5.173442	0.000001	0.000125
BTBD11	11.153564	5.158196	0.000001	0.000134
ID3	11.003099	5.073482	0.000001	0.000205
STX10	10.995505	5.069207	0.000001	0.000207
MXI1	10.992733	5.067646	0.000001	0.000207
INO80B	10.955931	5.046926	0.000001	0.000227
MATR3	10.929287	5.031925	0.000001	0.000243
EFNA5	10.922386	5.028040	0.000001	0.000245
ACBD4	10.891673	5.010748	0.000001	0.000265
AL358075.4	10.880614	5.004522	0.000001	0.000271
PPM1A	10.852149	4.988496	0.000002	0.000291
UPK2	10.830545	4.976332	0.000002	0.000306
GRHL3	10.704139	4.905164	0.000002	0.000431
AL672043.1	10.554901	4.821142	0.000004	0.000642
CALM1	10.518000	4.800366	0.000004	0.000704
TNK2	10.474525	4.775889	0.000004	0.000784
TNFRSF12A	10.448792	4.761401	0.000005	0.000833
PPP1R15A	10.424257	4.747588	0.000005	0.000882
STRIP1	10.325515	4.691995	0.000007	0.001136
ZNF226	10.224723	4.635248	0.000009	0.001468
FGF8	10.197040	4.619662	0.000009	0.001564
HEY2	10.160604	4.599148	0.000010	0.001705
PMAIP1	10.126030	4.579682	0.000011	0.001849
IER2	10.081851	4.554809	0.000012	0.002054
RBM15	10.066030	4.545902	0.000013	0.002121
SIL1	9.980119	4.497533	0.000016	0.002618
ITPKC	9.972505	4.493246	0.000016	0.002648
ZFP36	9.879446	4.440853	0.000021	0.003319
SMAD1	9.870812	4.435992	0.000021	0.003365
DNAJB11	9.802525	4.397545	0.000025	0.003951
