g.name	raw.score	z.score	p.value	q.value
AL163636.2	4.827011	18.923009	0.000000	0.000000
HIST1H2BO	4.758964	18.642193	0.000000	0.000000
ALOXE3	4.043299	15.688797	0.000000	0.000000
HIST1H4A	4.020056	15.592877	0.000000	0.000000
SIT1	3.981634	15.434322	0.000000	0.000000
ZC3H10	3.719565	14.352816	0.000000	0.000000
HIST1H3J	3.673924	14.164469	0.000000	0.000000
HIST1H2AM	3.655580	14.088766	0.000000	0.000000
RHOH	3.606420	13.885894	0.000000	0.000000
HIST1H2AB	3.519338	13.526524	0.000000	0.000000
HIST1H4K	3.409245	13.072193	0.000000	0.000000
PPP1R10	3.253256	12.428462	0.000000	0.000000
PTPN6	3.235945	12.357023	0.000000	0.000000
ODF3B	3.220408	12.292903	0.000000	0.000000
ESYT1	3.197803	12.199617	0.000000	0.000000
TEX54	3.082389	11.723328	0.000000	0.000000
HIST1H4I	2.941286	11.141027	0.000000	0.000000
RFTN1	2.887016	10.917067	0.000000	0.000000
TSPOAP1	2.853251	10.777725	0.000000	0.000000
HIST2H2AB	2.776590	10.461363	0.000000	0.000000
RPS26	2.580143	9.650666	0.000000	0.000000
ZFP91-CNTF	2.560010	9.567582	0.000000	0.000000
BORCS6	2.551727	9.533401	0.000000	0.000000
HIST1H2BI	2.550053	9.526494	0.000000	0.000000
HIST1H2AD	2.543295	9.498603	0.000000	0.000000
BOLA1	2.529259	9.440680	0.000000	0.000000
TMEM107	2.519591	9.400783	0.000000	0.000000
ZFP36	2.510739	9.364252	0.000000	0.000000
C12orf57	2.507495	9.350865	0.000000	0.000000
ZNF184	2.466328	9.180977	0.000000	0.000000
HIST1H2BL	2.426909	9.018301	0.000000	0.000000
TAF12	2.412429	8.958549	0.000000	0.000000
ZFP91	2.354668	8.720181	0.000000	0.000000
HIST1H3D	2.348725	8.695655	0.000000	0.000000
HIST1H2AI	2.337870	8.650858	0.000000	0.000000
BHLHE40	2.336036	8.643289	0.000000	0.000000
HIST1H2BN	2.296892	8.481749	0.000000	0.000000
UBC	2.288761	8.448198	0.000000	0.000000
IRF2BP2	2.268054	8.362744	0.000000	0.000000
C8orf37	2.260031	8.329634	0.000000	0.000000
ANG	2.173660	7.973197	0.000000	0.000000
ISCU	2.144685	7.853626	0.000000	0.000000
AL031777.3	2.107345	7.699532	0.000000	0.000000
HES7	2.086044	7.611625	0.000000	0.000000
STX5	2.062892	7.516081	0.000000	0.000000
HIST1H3E	2.049771	7.461935	0.000000	0.000000
HIST1H4E	2.026977	7.367871	0.000000	0.000000
HIST1H1E	2.006687	7.284135	0.000000	0.000000
RPL23A	2.004224	7.273972	0.000000	0.000000
INTS6	2.003446	7.270762	0.000000	0.000000
HSPA1B	1.968865	7.128053	0.000000	0.000000
HIST1H2AL	1.964196	7.108787	0.000000	0.000000
KMT2E	1.964115	7.108450	0.000000	0.000000
RPL3L	1.963504	7.105930	0.000000	0.000000
DDIT3	1.930755	6.970784	0.000000	0.000000
POLG2	1.927679	6.958088	0.000000	0.000000
HIST1H3A	1.924975	6.946930	0.000000	0.000000
MPZL1	1.919378	6.923830	0.000000	0.000000
HJV	1.879314	6.758497	0.000000	0.000000
SLC35A2	1.874692	6.739423	0.000000	0.000000
ATF4	1.854057	6.654268	0.000000	0.000000
SETD1B	1.829512	6.552974	0.000000	0.000000
DDX5	1.826961	6.542444	0.000000	0.000000
HNRNPH3	1.815998	6.497206	0.000000	0.000000
SNAPC5	1.807953	6.464005	0.000000	0.000000
RPL37A	1.792460	6.400069	0.000000	0.000000
HIST1H4H	1.772002	6.315642	0.000000	0.000000
H3F3B	1.762026	6.274474	0.000000	0.000000
PTMA	1.761336	6.271626	0.000000	0.000000
CD79A	1.745962	6.208179	0.000000	0.000000
RNASE4	1.739192	6.180241	0.000000	0.000001
PSMB9	1.737912	6.174962	0.000000	0.000001
G3BP1	1.735110	6.163396	0.000000	0.000001
HLA-DQA1	1.723892	6.117103	0.000000	0.000001
HMGN4	1.723017	6.113491	0.000000	0.000001
CARS2	1.716689	6.087377	0.000000	0.000001
UQCRC2	1.712402	6.069685	0.000000	0.000001
FCMR	1.700147	6.019111	0.000000	0.000001
ASTL	1.700092	6.018885	0.000000	0.000001
TYMP	1.695708	6.000795	0.000000	0.000001
TOB1	1.692598	5.987957	0.000000	0.000002
IQCN	1.679900	5.935557	0.000000	0.000002
USP48	1.673198	5.907900	0.000000	0.000002
BAZ2A	1.663165	5.866495	0.000000	0.000003
CSK	1.653153	5.825177	0.000000	0.000004
SLC15A4	1.651725	5.819284	0.000000	0.000004
HIST1H4F	1.650218	5.813065	0.000000	0.000004
SENP3-EIF4A1	1.648973	5.807928	0.000000	0.000004
HIST1H2BB	1.638159	5.763301	0.000000	0.000005
DDX3X	1.636614	5.756926	0.000000	0.000006
PANK1	1.631989	5.737837	0.000000	0.000006
RPS5	1.623000	5.700744	0.000000	0.000007
EBF1	1.616066	5.672129	0.000000	0.000009
MAP3K5	1.607915	5.638491	0.000000	0.000010
NEMF	1.591554	5.570973	0.000000	0.000015
HDLBP	1.589814	5.563793	0.000000	0.000016
CHD1	1.588195	5.557108	0.000000	0.000016
ZBTB11	1.577649	5.513591	0.000000	0.000020
HIST1H2BD	1.576107	5.507225	0.000000	0.000021
AGBL5	1.569910	5.481652	0.000000	0.000024
ALDH16A1	1.565408	5.463073	0.000000	0.000026
ZBTB32	1.563760	5.456272	0.000000	0.000026
RPL28	1.548103	5.391660	0.000000	0.000037
TNFRSF13B	1.546636	5.385607	0.000000	0.000038
HIST2H2BE	1.543918	5.374390	0.000000	0.000040
AGBL3	1.539525	5.356258	0.000000	0.000044
EEF1A1	1.537737	5.348881	0.000000	0.000045
DUSP16	1.537287	5.347024	0.000000	0.000045
MSC	1.529606	5.315327	0.000000	0.000053
BLK	1.528553	5.310980	0.000000	0.000054
TMEM190	1.518723	5.270414	0.000000	0.000066
ANP32E	1.515603	5.257537	0.000000	0.000070
LUC7L2	1.508840	5.229629	0.000000	0.000080
HSP90AB1	1.508420	5.227897	0.000000	0.000080
EIF4E	1.504776	5.212859	0.000001	0.000086
RPL31	1.487519	5.141640	0.000001	0.000123
METTL26	1.480633	5.113226	0.000001	0.000142
DUSP22	1.479623	5.109059	0.000001	0.000143
B4GALT1	1.470345	5.070770	0.000001	0.000173
HIST1H3B	1.463120	5.040950	0.000001	0.000199
HIST1H1A	1.456309	5.012845	0.000001	0.000228
NPM1	1.454733	5.006340	0.000001	0.000233
ING1	1.444677	4.964841	0.000002	0.000285
UPF2	1.433959	4.920611	0.000002	0.000351
LY86	1.428035	4.896165	0.000002	0.000393
C3orf18	1.420791	4.866268	0.000003	0.000451
TRIM69	1.408523	4.815644	0.000004	0.000572
FANCM	1.406157	4.805877	0.000004	0.000595
TRIM41	1.405075	4.801415	0.000004	0.000603
BCAR3	1.400279	4.781621	0.000004	0.000658
SMARCC2	1.383110	4.710767	0.000006	0.000914
YWHAZ	1.380275	4.699070	0.000006	0.000955
SORL1	1.380074	4.698237	0.000006	0.000955
PRMT1	1.374180	4.673916	0.000007	0.001059
ATP13A1	1.373964	4.673026	0.000007	0.001059
HIST1H4L	1.361480	4.621505	0.000009	0.001336
B4GAT1	1.361028	4.619642	0.000009	0.001338
HIST1H2BJ	1.359553	4.613552	0.000010	0.001366
TP53	1.359153	4.611902	0.000010	0.001366
TMSB4X	1.348182	4.566629	0.000012	0.001670
ARRDC3	1.344966	4.553355	0.000013	0.001762
CYBC1	1.342111	4.541575	0.000013	0.001846
PPAN	1.335993	4.516328	0.000015	0.002055
SLC35B2	1.332698	4.502728	0.000016	0.002170
HLA-DPA1	1.319167	4.446889	0.000020	0.002767
TMEM230	1.315432	4.431477	0.000022	0.002942
CFL1	1.314327	4.426915	0.000022	0.002982
MTFP1	1.313791	4.424702	0.000022	0.002991
CCDC88C	1.310427	4.410819	0.000024	0.003159
C2orf42	1.309619	4.407486	0.000024	0.003185
DDAH2	1.305214	4.389310	0.000026	0.003427
GAPDH	1.299220	4.364570	0.000029	0.003794
PRDX1	1.298113	4.360005	0.000030	0.003845
BCL2	1.296997	4.355400	0.000030	0.003898
NFKBIE	1.292764	4.337928	0.000033	0.004179
PPAN-P2RY11	1.281816	4.292751	0.000040	0.005046
HLA-DQB1	1.281183	4.290138	0.000040	0.005059
CBX5	1.280953	4.289190	0.000040	0.005059
RPL15	1.276352	4.270199	0.000044	0.005426
TRAF1	1.276283	4.269916	0.000044	0.005426
SELPLG	1.275685	4.267447	0.000044	0.005449
PLEKHG2	1.259382	4.200168	0.000059	0.007201
MKLN1	1.257041	4.190507	0.000061	0.007453
HIST1H1D	1.255646	4.184753	0.000063	0.007588
GIPC2	1.254971	4.181965	0.000064	0.007631
ST8SIA4	1.252789	4.172962	0.000066	0.007876
PARK7	1.250582	4.163855	0.000069	0.008132
CD74	1.242705	4.131347	0.000078	0.009251
