g.name	raw.score	z.score	p.value	q.value
HIST1H3D	14.672261	9.470373	0.000000	0.000000
RHOH	12.093530	7.521298	0.000000	0.000000
HIST1H2BO	11.645892	7.182961	0.000000	0.000000
GCSAM	11.152860	6.810314	0.000000	0.000000
RGS1	10.948810	6.656088	0.000000	0.000000
HIST1H2AM	10.922344	6.636083	0.000000	0.000000
HIST1H3J	10.788280	6.534755	0.000000	0.000001
RFTN1	10.619238	6.406988	0.000000	0.000001
TSPOAP1	10.424001	6.259423	0.000000	0.000002
HIST1H4E	10.421424	6.257475	0.000000	0.000002
HIST1H2AD	10.412565	6.250779	0.000000	0.000002
BCL2A1	10.391152	6.234595	0.000000	0.000002
UBC	10.331765	6.189708	0.000000	0.000003
DUSP22	10.167140	6.065280	0.000000	0.000006
AL031777.3	10.123142	6.032025	0.000000	0.000007
IRF2BP2	10.006827	5.944111	0.000000	0.000011
ZFP36	9.973184	5.918683	0.000000	0.000012
ST8SIA4	9.740649	5.742927	0.000000	0.000029
HIST1H2BF	9.732918	5.737083	0.000000	0.000029
SLC35B2	9.728365	5.733642	0.000000	0.000029
SLC15A4	9.715797	5.724143	0.000000	0.000029
GPR15	9.643904	5.669804	0.000000	0.000038
TNFRSF13B	9.588402	5.627854	0.000000	0.000046
HIST1H4B	9.551140	5.599690	0.000000	0.000051
HIST1H2BC	9.519956	5.576121	0.000000	0.000056
BTG1	9.510929	5.569298	0.000000	0.000056
HIST1H4I	9.467671	5.536602	0.000000	0.000065
HIST1H4K	9.448115	5.521821	0.000000	0.000068
IL21R	9.311370	5.418466	0.000000	0.000115
IKZF3	9.304457	5.413241	0.000000	0.000115
HIST1H2AB	9.279615	5.394465	0.000000	0.000123
HIST1H2BM	9.189068	5.326026	0.000000	0.000172
PATL2	9.143960	5.291933	0.000000	0.000195
HIST1H4D	9.142600	5.290905	0.000000	0.000195
SLAMF1	9.086618	5.248592	0.000000	0.000237
BHLHE40	9.065982	5.232995	0.000000	0.000250
MACC1	9.047626	5.219121	0.000000	0.000261
HIST1H4F	8.872349	5.086642	0.000001	0.000504
AGBL3	8.850524	5.070146	0.000001	0.000534
HIST1H2AK	8.800243	5.032142	0.000001	0.000630
CCR7	8.727745	4.977346	0.000002	0.000781
HIST1H2AC	8.725612	4.975734	0.000002	0.000781
CD274	8.724526	4.974913	0.000002	0.000781
B2M	8.670555	4.934120	0.000002	0.000914
STK17B	8.670425	4.934022	0.000002	0.000914
TRIM69	8.606236	4.885507	0.000003	0.001134
FCMR	8.577765	4.863987	0.000003	0.001233
HIST1H3B	8.565742	4.854900	0.000003	0.001262
HIST1H2BJ	8.493417	4.800235	0.000004	0.001609
HIST1H2AJ	8.484310	4.793351	0.000004	0.001621
PLD1	8.480400	4.790396	0.000004	0.001621
GPR183	8.466960	4.780238	0.000004	0.001669
CD74	8.390062	4.722116	0.000006	0.002143
HIST1H2BN	8.386770	4.719628	0.000006	0.002143
HIST1H1E	8.377641	4.712728	0.000006	0.002174
CD69	8.292400	4.648301	0.000008	0.002886
BCL2	8.270736	4.631927	0.000009	0.003059
KMT2E	8.251197	4.617158	0.000009	0.003219
HIST1H2AG	8.239900	4.608620	0.000010	0.003292
CCL3	8.217573	4.591744	0.000011	0.003498
ALPK1	8.164870	4.551910	0.000013	0.004128
MSC	8.145975	4.537629	0.000013	0.004334
HERPUD1	8.125217	4.521939	0.000014	0.004579
HLA-DMB	8.045546	4.461721	0.000019	0.005908
TIFA	7.988223	4.418396	0.000023	0.007051
HIST1H3A	7.977761	4.410488	0.000024	0.007191
CBX3	7.968748	4.403676	0.000025	0.007299
HIST1H3H	7.962224	4.398745	0.000025	0.007350
PTPN6	7.939810	4.381803	0.000027	0.007802
TNFSF9	7.928202	4.373030	0.000028	0.007904
ACTR3	7.927264	4.372321	0.000028	0.007904
EEF1A1	7.883471	4.339221	0.000033	0.008928
MRPS18B	7.881066	4.337403	0.000033	0.008928
SLAMF7	7.877667	4.334835	0.000033	0.008928
ATF7IP	7.858299	4.320195	0.000035	0.009385
TRAF1	7.845152	4.310258	0.000037	0.009667
GRAP2	7.834889	4.302502	0.000038	0.009854
HIST1H1C	7.831289	4.299780	0.000039	0.009854
SCIMP	7.821853	4.292649	0.000040	0.009963
IKZF2	7.819910	4.291180	0.000040	0.009963
LRMP	7.816265	4.288425	0.000040	0.009963
