g.name	raw.score	z.score	p.value	q.value
BMP7	30.168355	28.042980	0.000000	0.000000
PARD6B	27.971930	25.909269	0.000000	0.000000
ZNF217	27.348124	25.303274	0.000000	0.000000
BCAS4	24.768751	22.797548	0.000000	0.000000
TBX4	24.032720	22.082533	0.000000	0.000000
NACA2	23.932141	21.984826	0.000000	0.000000
TBX2	23.691081	21.750649	0.000000	0.000000
ZMYND8	23.287709	21.358794	0.000000	0.000000
BRIP1	22.286327	20.386004	0.000000	0.000000
CYP24A1	21.764705	19.879276	0.000000	0.000000
TUBD1	20.975243	19.112355	0.000000	0.000000
RPS6KB1	20.296314	18.452811	0.000000	0.000000
TRIM37	20.238193	18.396349	0.000000	0.000000
NCOA3	19.634889	17.810271	0.000000	0.000000
PSMD6	18.916149	17.112053	0.000000	0.000000
C17orf64	17.772661	16.001214	0.000000	0.000000
RIPOR3	16.992193	15.243031	0.000000	0.000000
PPM1D	16.955382	15.207271	0.000000	0.000000
APPBP2	16.905727	15.159034	0.000000	0.000000
BCAS3	16.645449	14.906187	0.000000	0.000000
PFDN4	16.351201	14.620341	0.000000	0.000000
BCAS1	15.587394	13.878343	0.000000	0.000000
TEX14	15.321570	13.620109	0.000000	0.000000
HEATR6	15.319576	13.618172	0.000000	0.000000
DOK5	15.308697	13.607603	0.000000	0.000000
CA4	15.300619	13.599756	0.000000	0.000000
AC011195.2	15.247342	13.548000	0.000000	0.000000
RAD51C	14.915523	13.225655	0.000000	0.000000
AC005702.1	14.692230	13.008738	0.000000	0.000000
USP32	14.347279	12.673636	0.000000	0.000000
RNFT1	11.883038	10.279756	0.000000	0.000000
PRICKLE2	11.010849	9.432470	0.000000	0.000000
ATXN7	9.304652	7.774989	0.000000	0.000000
ADAMTS9	9.072115	7.549092	0.000000	0.000000
PPM1E	8.992905	7.472143	0.000000	0.000000
SULF2	8.590870	7.081588	0.000000	0.000000
THOC7	8.563237	7.054743	0.000000	0.000000
PREX1	8.160532	6.663536	0.000000	0.000000
ATXN7	7.872084	6.383325	0.000000	0.000000
TRIM72	7.761641	6.276034	0.000000	0.000001
MARCH10	7.629482	6.147649	0.000000	0.000001
C3orf49	7.422839	5.946907	0.000000	0.000004
NTNG1	7.416714	5.940956	0.000000	0.000004
DENND2C	7.319389	5.846410	0.000000	0.000007
HIPK1	7.171768	5.703005	0.000000	0.000015
ATP9A	7.158327	5.689947	0.000000	0.000016
SYCP2	6.743193	5.286666	0.000000	0.000144
NBPF1	6.449479	5.001338	0.000001	0.000613
ATP5F1E	6.347798	4.902560	0.000002	0.000979
FAM217B	6.217047	4.775542	0.000004	0.001775
PRMT6	6.204703	4.763551	0.000005	0.001842
METTL2A	6.199441	4.758440	0.000005	0.001852
UBE2V1	6.146083	4.706605	0.000006	0.002322
RTEL1	6.067057	4.629836	0.000009	0.003261
CADPS	5.990563	4.555525	0.000012	0.004504
SMARCD2	5.926487	4.493279	0.000016	0.005862
