g.name	raw.score	z.score	p.value	q.value
STX5	4.880505	24.349871	0.000000	0.000000
A1BG	4.497140	22.337918	0.000000	0.000000
PARP16	4.227290	20.921702	0.000000	0.000000
CCDC116	3.568430	17.463908	0.000000	0.000000
HIST1H4I	3.420841	16.689340	0.000000	0.000000
LRRC73	2.794150	13.400370	0.000000	0.000000
EML3	2.650449	12.646206	0.000000	0.000000
SDCBP2	2.412243	11.396068	0.000000	0.000000
TEX54	2.411290	11.391065	0.000000	0.000000
MAPK1	2.396523	11.313569	0.000000	0.000000
HIST1H2BJ	2.396523	11.313569	0.000000	0.000000
VAMP2	2.341009	11.022223	0.000000	0.000000
CYGB	2.300411	10.809158	0.000000	0.000000
DDAH2	2.264785	10.622187	0.000000	0.000000
HIST1H3C	2.230879	10.444240	0.000000	0.000000
HIST1H1T	2.215570	10.363899	0.000000	0.000000
RELN	2.211645	10.343299	0.000000	0.000000
UAP1L1	2.178355	10.168590	0.000000	0.000000
DHCR7	2.169084	10.119934	0.000000	0.000000
HIST1H2BF	2.152598	10.033413	0.000000	0.000000
RPL23A	2.130860	9.919327	0.000000	0.000000
AL031777.3	1.991271	9.186745	0.000000	0.000000
HIST1H2AD	1.989009	9.174875	0.000000	0.000000
HIST1H4D	1.980037	9.127789	0.000000	0.000000
C12orf10	1.892374	8.667717	0.000000	0.000000
ZP3	1.883234	8.619748	0.000000	0.000000
HIST1H4A	1.859215	8.493695	0.000000	0.000000
HIST1H2BO	1.790822	8.134761	0.000000	0.000000
HIST1H3A	1.784710	8.102683	0.000000	0.000000
NADSYN1	1.743065	7.884125	0.000000	0.000000
RSPH14	1.737327	7.854009	0.000000	0.000000
H2AFX	1.700748	7.662035	0.000000	0.000000
RAD1	1.682523	7.566391	0.000000	0.000000
HIST1H1A	1.654019	7.416794	0.000000	0.000000
NUP214	1.650374	7.397666	0.000000	0.000000
POLG2	1.649570	7.393447	0.000000	0.000000
C15orf39	1.647850	7.384423	0.000000	0.000000
LY6G5B	1.616897	7.221975	0.000000	0.000000
NMB	1.603626	7.152327	0.000000	0.000000
HIST1H2AG	1.596935	7.117208	0.000000	0.000000
ZNF280B	1.594430	7.104064	0.000000	0.000000
ATP6V0B	1.559402	6.920231	0.000000	0.000000
RPS24	1.554897	6.896590	0.000000	0.000000
VEGFB	1.541888	6.828315	0.000000	0.000000
HIST1H2BM	1.540785	6.822527	0.000000	0.000000
