g.name	raw.score	z.score	p.value	q.value
ZNF792	2.122370	10.230469	0.000000	0.000000
SDF2L1	2.119407	10.213920	0.000000	0.000000
MAPK1	2.023481	9.678156	0.000000	0.000000
ZNF280B	1.936556	9.192658	0.000000	0.000000
PIGV	1.806667	8.467203	0.000000	0.000000
SNAP29	1.806111	8.464100	0.000000	0.000000
MRPL40	1.790556	8.377219	0.000000	0.000000
AIF1L	1.719722	7.981602	0.000000	0.000000
CDC45	1.673278	7.722200	0.000000	0.000000
SORT1	1.594296	7.281074	0.000000	0.000000
DGCR8	1.583389	7.220154	0.000000	0.000000
ZNF280A	1.571019	7.151063	0.000000	0.000000
YDJC	1.568370	7.136272	0.000000	0.000000
CLIC1	1.542870	6.993850	0.000000	0.000000
RSPH14	1.523685	6.886697	0.000000	0.000000
DHX16	1.512037	6.821640	0.000000	0.000000
UFD1	1.510093	6.810780	0.000000	0.000000
PI4KA	1.495074	6.726898	0.000000	0.000000
C6orf47	1.493370	6.717383	0.000000	0.000000
PPP1R10	1.490000	6.698559	0.000000	0.000000
QRFP	1.479185	6.638156	0.000000	0.000000
GNAZ	1.467426	6.572478	0.000000	0.000000
YPEL1	1.456833	6.513316	0.000000	0.000000
STXBP5	1.454889	6.502456	0.000000	0.000000
GPANK1	1.444593	6.444949	0.000000	0.000000
LAMC3	1.412481	6.265603	0.000000	0.000001
UBE2F	1.402426	6.209440	0.000000	0.000001
GPC5	1.359926	5.972070	0.000000	0.000005
CCDC71L	1.354259	5.940420	0.000000	0.000006
PRAME	1.340148	5.861607	0.000000	0.000009
BCR	1.328315	5.795516	0.000000	0.000013
FAM155A	1.306352	5.672848	0.000000	0.000025
EPC2	1.302648	5.652162	0.000000	0.000027
IRF2BP2	1.299167	5.632718	0.000000	0.000029
MSH5-SAPCD1	1.297704	5.624547	0.000000	0.000030
TXNDC2	1.278556	5.517601	0.000000	0.000053
IGLL5	1.270333	5.471678	0.000000	0.000066
SNX25	1.268778	5.462990	0.000000	0.000067
AC010327.1	1.266111	5.448096	0.000000	0.000071
FIBCD1	1.260463	5.416550	0.000000	0.000083
ARVCF	1.245185	5.331221	0.000000	0.000127
DDAH2	1.233685	5.266991	0.000000	0.000175
MSH5	1.229889	5.245788	0.000000	0.000191
HLA-DMA	1.224111	5.213518	0.000000	0.000218
RNF181	1.223907	5.212380	0.000001	0.000218
CLCN6	1.217759	5.178042	0.000001	0.000255
GNB1L	1.214981	5.162527	0.000001	0.000266
NUP214	1.214852	5.161803	0.000001	0.000266
AL662899.2	1.182093	4.978836	0.000002	0.000659
RTL10	1.155426	4.829898	0.000003	0.001338
SEPT5	1.154704	4.825864	0.000003	0.001338
IMMP2L	1.154074	4.822347	0.000004	0.001338
GPC6	1.137778	4.731330	0.000005	0.002028
TANGO2	1.125130	4.660687	0.000008	0.002774
SERPIND1	1.122574	4.646414	0.000008	0.002912
HEMGN	1.114944	4.603801	0.000010	0.003484
GP1BB	1.107833	4.564084	0.000012	0.004057
C22orf39	1.107648	4.563050	0.000012	0.004057
TXNRD2	1.105056	4.548570	0.000013	0.004213
ANXA2R	1.104852	4.547432	0.000013	0.004213
PXT1	1.096519	4.500889	0.000016	0.005117
P2RX6	1.077870	4.396735	0.000025	0.008003
HIST1H2AM	1.075111	4.381324	0.000027	0.008430
G0S2	1.073648	4.373153	0.000028	0.008602
BMP10	1.067685	4.339849	0.000032	0.009788
LRRC74B	1.067093	4.336539	0.000033	0.009788
