g.name	raw.score	z.score	p.value	q.value
LYRM1	6.028916	11.100406	0.000000	0.000000
LIAS	5.701273	10.409283	0.000000	0.000000
MOB4	5.234554	9.424795	0.000000	0.000000
PAPOLA	5.128831	9.201783	0.000000	0.000000
BABAM2	4.889596	8.697146	0.000000	0.000000
ZNF76	4.837860	8.588014	0.000000	0.000000
UBAP2L	4.807428	8.523823	0.000000	0.000000
MRFAP1	4.747663	8.397755	0.000000	0.000000
AC011195.2	4.673479	8.241274	0.000000	0.000000
ATXN2L	4.642834	8.176632	0.000000	0.000000
BCL2L12	4.588687	8.062414	0.000000	0.000000
TEX14	4.502587	7.880798	0.000000	0.000000
UNK	4.485740	7.845259	0.000000	0.000000
PSMC5	4.323744	7.503548	0.000000	0.000000
RAB10	4.256619	7.361957	0.000000	0.000000
TCP1	4.233626	7.313456	0.000000	0.000000
MRPL18	4.108054	7.048575	0.000000	0.000000
DCAF11	4.038216	6.901261	0.000000	0.000000
ERI2	4.025423	6.874275	0.000000	0.000000
RPL9	4.021476	6.865951	0.000000	0.000000
RALGAPA2	4.014239	6.850685	0.000000	0.000000
WDR89	3.981884	6.782434	0.000000	0.000000
AMZ2	3.977549	6.773290	0.000000	0.000000
NUDT15	3.977429	6.773037	0.000000	0.000000
SRSF6	3.927211	6.667109	0.000000	0.000000
DCUN1D3	3.911530	6.634033	0.000000	0.000000
CTDP1	3.867963	6.542132	0.000000	0.000000
AURKA	3.783056	6.363032	0.000000	0.000000
SRRM2	3.725351	6.241310	0.000000	0.000001
RTF2	3.685986	6.158274	0.000000	0.000002
CSTF1	3.655952	6.094921	0.000000	0.000002
SEPT2	3.613295	6.004941	0.000000	0.000004
AP003108.2	3.573201	5.920367	0.000000	0.000006
INO80E	3.571410	5.916590	0.000000	0.000006
PPP1R21	3.562026	5.896794	0.000000	0.000006
CDK13	3.544659	5.860161	0.000000	0.000008
RPS5	3.516668	5.801116	0.000000	0.000011
APPBP2	3.508067	5.782974	0.000000	0.000011
EIF1	3.507279	5.781313	0.000000	0.000011
ANAPC11	3.493836	5.752957	0.000000	0.000013
FGFR1OP	3.470064	5.702811	0.000000	0.000017
SRCAP	3.466831	5.695992	0.000000	0.000017
ANKRD11	3.460174	5.681951	0.000000	0.000018
FAM228B	3.455518	5.672129	0.000000	0.000019
ZDHHC5	3.451884	5.664464	0.000000	0.000019
SF3B6	3.443431	5.646633	0.000000	0.000021
AL136531.2	3.437598	5.634329	0.000000	0.000022
RNASEH2A	3.426463	5.610841	0.000000	0.000024
SRP54	3.411908	5.580138	0.000000	0.000028
VPS37A	3.404236	5.563956	0.000000	0.000030
CCDC18	3.396512	5.547662	0.000000	0.000032
AC015813.2	3.381955	5.516955	0.000000	0.000037
CXorf40A	3.379698	5.512196	0.000000	0.000037
FKBP1A	3.379520	5.511821	0.000000	0.000037
IFT52	3.378096	5.508817	0.000000	0.000037
SPAST	3.373131	5.498342	0.000000	0.000039
UBE3C	3.355420	5.460984	0.000000	0.000047
CLTRN	3.353126	5.456145	0.000000	0.000047
SPHK2	3.328540	5.404283	0.000000	0.000061
PSMB5	3.323847	5.394383	0.000000	0.000064
ATRN	3.320061	5.386399	0.000000	0.000065
THRAP3	3.316504	5.378894	0.000000	0.000067
KIAA0391	3.306315	5.357402	0.000000	0.000074
RANBP2	3.297648	5.339121	0.000000	0.000080
H3F3B	3.294278	5.332012	0.000000	0.000082
