g.name	raw.score	z.score	p.value	q.value
PARD6B	39.944485	16.831384	0.000000	0.000000
HNRNPUL1	39.759381	16.749434	0.000000	0.000000
PPM1D	38.287911	16.097979	0.000000	0.000000
INO80B-WBP1	35.792401	14.993157	0.000000	0.000000
TBX2	35.473396	14.851926	0.000000	0.000000
CYP24A1	34.815787	14.560787	0.000000	0.000000
BMP7	33.458257	13.959776	0.000000	0.000000
ZMYND8	31.544817	13.112650	0.000000	0.000000
STX10	31.399327	13.048238	0.000000	0.000000
IER2	31.179361	12.950854	0.000000	0.000000
INO80B	31.029743	12.884615	0.000000	0.000000
ZNF217	30.417589	12.613600	0.000000	0.000000
AC005702.1	30.325980	12.573042	0.000000	0.000000
YIF1A	30.077158	12.462883	0.000000	0.000000
HIST2H2BE	30.018129	12.436749	0.000000	0.000000
TBX4	30.010267	12.433268	0.000000	0.000000
PFDN4	29.659802	12.278109	0.000000	0.000000
PREX1	29.417050	12.170637	0.000000	0.000000
ATP6AP2	29.222074	12.084316	0.000000	0.000000
C17orf64	28.767921	11.883252	0.000000	0.000000
NACA2	28.256916	11.657018	0.000000	0.000000
ALDOA	27.555054	11.346287	0.000000	0.000000
USP32	27.537609	11.338563	0.000000	0.000000
VIPR2	27.164515	11.173386	0.000000	0.000000
CDK5RAP3	26.126158	10.713680	0.000000	0.000000
GDE1	26.083099	10.694617	0.000000	0.000000
RFC5	25.274965	10.336837	0.000000	0.000000
BRICD5	25.214416	10.310030	0.000000	0.000000
TRIM37	25.189510	10.299004	0.000000	0.000000
KAT6B	24.567243	10.023511	0.000000	0.000000
BCAS3	24.282837	9.897598	0.000000	0.000000
PSMD6	23.824287	9.694587	0.000000	0.000000
GAL3ST3	23.310718	9.467218	0.000000	0.000000
FZD6	23.153752	9.397725	0.000000	0.000000
CA4	22.743025	9.215886	0.000000	0.000000
HMOX2	22.732431	9.211196	0.000000	0.000000
HIST2H2AC	22.579871	9.143654	0.000000	0.000000
RUSC1	22.552257	9.131429	0.000000	0.000000
KRI1	22.463965	9.092340	0.000000	0.000000
ARMC5	22.406609	9.066947	0.000000	0.000000
BCAS1	22.210554	8.980149	0.000000	0.000000
KDM6B	22.207832	8.978943	0.000000	0.000000
PTPN22	21.880163	8.833877	0.000000	0.000000
PRSS41	21.772520	8.786220	0.000000	0.000000
BRIP1	21.732663	8.768575	0.000000	0.000000
SF3B2	21.485183	8.659010	0.000000	0.000000
AC022826.2	21.357960	8.602685	0.000000	0.000000
UBE2W	20.934054	8.415012	0.000000	0.000000
VPS72	20.706381	8.314215	0.000000	0.000000
TNK2	20.644703	8.286909	0.000000	0.000000
TNFRSF11B	20.636252	8.283168	0.000000	0.000000
KAT8	20.546257	8.243325	0.000000	0.000000
RIPOR3	20.398079	8.177723	0.000000	0.000000
AC011195.2	20.370366	8.165454	0.000000	0.000000
SERPINA12	20.119252	8.054279	0.000000	0.000000
DIRAS1	19.999163	8.001113	0.000000	0.000000
MYOG	19.998832	8.000966	0.000000	0.000000
GAS2L3	19.887851	7.951833	0.000000	0.000000
SIX5	19.727059	7.880646	0.000000	0.000000
DNM1	19.343292	7.710743	0.000000	0.000000
PTPRE	19.267302	7.677101	0.000000	0.000000
RPS6KB1	19.153302	7.626630	0.000000	0.000000
HIPK1	18.967149	7.544215	0.000000	0.000000
TEX14	18.735510	7.441663	0.000000	0.000000
C1orf116	18.657688	7.407210	0.000000	0.000000
CD276	18.642119	7.400317	0.000000	0.000000
APPBP2	18.546480	7.357976	0.000000	0.000000
WDR31	18.446015	7.313497	0.000000	0.000000
ACTR6	18.305158	7.251137	0.000000	0.000000
BANP	17.994030	7.113392	0.000000	0.000000
HEATR6	17.870233	7.058585	0.000000	0.000000
NIP7	17.756450	7.008210	0.000000	0.000000
MYBPC3	17.701099	6.983705	0.000000	0.000000
RAD51C	17.623733	6.949453	0.000000	0.000000
NCOA3	17.570163	6.925737	0.000000	0.000000
IRF2BP2	17.513520	6.900659	0.000000	0.000000
TOB2	17.163658	6.745767	0.000000	0.000000
NDUFAF3	16.971569	6.660725	0.000000	0.000000
FLII	16.807842	6.588239	0.000000	0.000000
MFSD11	16.804188	6.586621	0.000000	0.000000
PACSIN3	16.763144	6.568450	0.000000	0.000000
SPATA2	16.742842	6.559462	0.000000	0.000000
BCL2L2	16.512441	6.457457	0.000000	0.000000
ADRM1	16.418589	6.415907	0.000000	0.000000
DOK5	16.404624	6.409724	0.000000	0.000000
VMP1	16.226569	6.330895	0.000000	0.000000
TUT7	16.159960	6.301406	0.000000	0.000000
BCAS4	16.081589	6.266709	0.000000	0.000000
UNC45A	16.081149	6.266514	0.000000	0.000000
TUBD1	16.014792	6.237137	0.000000	0.000000
PRKAR1A	16.003693	6.232223	0.000000	0.000000
SLC25A45	15.828550	6.154683	0.000000	0.000001
ZNF696	15.809025	6.146038	0.000000	0.000001
PLCB1	15.788371	6.136895	0.000000	0.000001
LRCH1	15.690149	6.093409	0.000000	0.000001
RAI1	15.673792	6.086168	0.000000	0.000001
TTLL5	15.577079	6.043351	0.000000	0.000001
PTRH2	15.462252	5.992514	0.000000	0.000001
SELENOM	15.362752	5.948463	0.000000	0.000002
CEBPB	15.328470	5.933286	0.000000	0.000002
HDGFL3	15.324401	5.931484	0.000000	0.000002
HIST1H1A	15.250109	5.898593	0.000000	0.000002
RNFT1	15.176401	5.865961	0.000000	0.000003
SULF2	15.144059	5.851642	0.000000	0.000003
MTRNR2L3	15.140564	5.850095	0.000000	0.000003
STAG2	15.135426	5.847820	0.000000	0.000003
CFDP1	15.048827	5.809481	0.000000	0.000003
C1QTNF1	14.825446	5.710584	0.000000	0.000006
CCDC187	14.771089	5.686520	0.000000	0.000007
MZF1	14.724332	5.665819	0.000000	0.000008
AGTPBP1	14.719817	5.663820	0.000000	0.000008
SCRT1	14.607990	5.614312	0.000000	0.000010
DUSP28	14.603510	5.612328	0.000000	0.000010
ZNF331	14.444926	5.542119	0.000000	0.000015
DBP	14.440990	5.540377	0.000000	0.000015
TRABD2A	14.408614	5.526043	0.000000	0.000016
MUC3A	14.298886	5.477464	0.000000	0.000020
KCTD2	14.271950	5.465539	0.000000	0.000022
TMEM219	14.087059	5.383683	0.000000	0.000033
TRIM33	14.024272	5.355886	0.000000	0.000038
INTS1	13.990079	5.340748	0.000000	0.000041
MTMR4	13.960198	5.327519	0.000000	0.000044
AC008403.1	13.872985	5.288907	0.000000	0.000054
ADGRE1	13.839337	5.274010	0.000000	0.000058
PHF23	13.680525	5.203701	0.000001	0.000083
LY6D	13.597327	5.166867	0.000001	0.000099
WTAP	13.557554	5.149259	0.000001	0.000108
TUBGCP2	13.553054	5.147266	0.000001	0.000108
ANKRD12	13.456327	5.104443	0.000001	0.000133
ULK1	13.348965	5.056911	0.000001	0.000169
PRMT1	13.310381	5.039829	0.000001	0.000182
APOBEC3B	13.305406	5.037626	0.000001	0.000183
HJV	13.264351	5.019451	0.000001	0.000199
CIRBP	13.228332	5.003504	0.000001	0.000214
BRMS1	13.185594	4.984583	0.000002	0.000234
CNOT8	13.157163	4.971996	0.000002	0.000247
BCL9L	13.121193	4.956071	0.000002	0.000265
PPARGC1B	13.093109	4.943638	0.000002	0.000280
MUC1	13.050871	4.924938	0.000002	0.000305
IL11RA	13.044426	4.922084	0.000002	0.000307
TUBA4A	12.975861	4.891729	0.000003	0.000354
DKKL1	12.936183	4.874163	0.000003	0.000383
AD000671.2	12.916074	4.865260	0.000003	0.000397
AC022506.1	12.888406	4.853011	0.000003	0.000419
U2AF1L4	12.820787	4.823074	0.000004	0.000481
DDX31	12.703802	4.771282	0.000005	0.000612
KPNA7	12.688153	4.764354	0.000005	0.000628
HIST1H3A	12.641995	4.743919	0.000005	0.000688
ECSIT	12.528658	4.693742	0.000007	0.000866
KDM5B	12.505698	4.683577	0.000007	0.000902
DDIAS	12.480188	4.672283	0.000007	0.000945
RNF139	12.446658	4.657438	0.000008	0.001003
RAB34	12.444649	4.656549	0.000008	0.001003
IL10RB	12.441856	4.655312	0.000008	0.001003
IGFL4	12.425748	4.648181	0.000008	0.001030
ID2	12.384995	4.630139	0.000009	0.001113
PDHX	12.354668	4.616712	0.000009	0.001177
ASB7	12.342708	4.611417	0.000010	0.001198
LYRM1	12.282990	4.584979	0.000011	0.001345
SHLD2	12.214441	4.554630	0.000012	0.001535
TSEN54	12.160406	4.530708	0.000014	0.001701
TSKS	12.141124	4.522171	0.000014	0.001757
ATP6V1E2	12.126129	4.515532	0.000015	0.001800
LRRC6	12.043228	4.478830	0.000018	0.002110
ULBP3	12.040168	4.477476	0.000018	0.002110
CHRNA4	12.014030	4.465903	0.000019	0.002209
GPR182	11.988772	4.454721	0.000020	0.002308
PPP1R37	11.887114	4.409715	0.000024	0.002801
BORCS6	11.861485	4.398368	0.000025	0.002928
SCOC	11.836663	4.387379	0.000026	0.003054
MADD	11.812842	4.376833	0.000028	0.003174
RNF11	11.810911	4.375978	0.000028	0.003174
NDUFB4	11.802030	4.372046	0.000028	0.003211
ADAMTS4	11.763906	4.355168	0.000030	0.003436
EEF1A2	11.751515	4.349682	0.000031	0.003500
PPM1E	11.697139	4.325608	0.000035	0.003863
NR1H2	11.666149	4.311888	0.000037	0.004076
AC187653.1	11.654757	4.306845	0.000037	0.004142
CHD2	11.629015	4.295448	0.000039	0.004326
SCN4A	11.620094	4.291499	0.000040	0.004360
HIST1H4E	11.619208	4.291106	0.000040	0.004360
TFAP2C	11.604248	4.284483	0.000041	0.004461
INTS2	11.561208	4.265428	0.000045	0.004813
HIST1H1E	11.556881	4.263513	0.000045	0.004827
FASTK	11.542797	4.257277	0.000046	0.004930
RAB32	11.509980	4.242749	0.000049	0.005216
AL034430.1	11.449584	4.216010	0.000055	0.005810
FOXN4	11.307262	4.153001	0.000072	0.007523
CD209	11.271089	4.136986	0.000077	0.007997
MBD6	11.261000	4.132519	0.000078	0.008103
TNNI3	11.250114	4.127700	0.000080	0.008224
MAZ	11.176594	4.095151	0.000091	0.009328
MYC	11.175243	4.094552	0.000091	0.009328
TBC1D30	11.162985	4.089126	0.000093	0.009488
GPR37L1	11.145738	4.081490	0.000096	0.009739
