g.name	raw.score	z.score	p.value	q.value
GPX4	8.743930	6.231202	0.000000	0.000029
AJUBA	8.329702	5.857931	0.000000	0.000124
MZT2A	8.276025	5.809562	0.000000	0.000124
PNN	8.115862	5.665234	0.000000	0.000213
AL132780.3	8.061581	5.616321	0.000000	0.000225
ID1	8.024417	5.582831	0.000000	0.000226
DCAF11	7.844949	5.421109	0.000000	0.000472
IRF2BP1	7.643369	5.239460	0.000000	0.000929
HECTD1	7.639913	5.236346	0.000000	0.000929
EMC9	7.629351	5.226828	0.000000	0.000929
PCK2	7.475025	5.087761	0.000001	0.001730
RBM39	7.357791	4.982119	0.000002	0.002561
MGME1	7.344258	4.969924	0.000002	0.002561
NFKBIA	7.335109	4.961679	0.000002	0.002561
SNX5	7.231829	4.868611	0.000003	0.003406
SRP54	7.229894	4.866868	0.000003	0.003406
ZNF668	7.226852	4.864126	0.000003	0.003406
ZMYND8	7.173479	4.816031	0.000004	0.004060
TM9SF1	7.121137	4.768864	0.000005	0.004822
NRL	7.109138	4.758052	0.000005	0.004823
THAP11	7.066479	4.719611	0.000006	0.005511
ZNF646	7.036993	4.693040	0.000007	0.005961
TINF2	6.983919	4.645214	0.000008	0.007129
NBPF1	6.939489	4.605177	0.000010	0.008222
RNF31	6.918180	4.585975	0.000011	0.008621
CEBPA	6.899696	4.569319	0.000012	0.008908
BPIFB2	6.891570	4.561996	0.000012	0.008908
TTC6	6.846727	4.521587	0.000015	0.009604
THTPA	6.844802	4.519852	0.000015	0.009604
ZFHX2	6.842587	4.517856	0.000015	0.009604
ROMO1	6.839379	4.514966	0.000015	0.009604
TRAPPC6B	6.830229	4.506721	0.000016	0.009657
NFS1	6.812596	4.490831	0.000017	0.009846
FOXA1	6.810470	4.488915	0.000017	0.009846
HEATR5A	6.699732	4.389126	0.000026	0.014896
MDP1	6.675629	4.367407	0.000029	0.015564
PPP1R3E	6.674517	4.366404	0.000029	0.015564
ASXL1	6.665291	4.358091	0.000030	0.015715
AHCY	6.656415	4.350092	0.000031	0.015854
NEDD8	6.646186	4.340875	0.000032	0.016090
GMPR2	6.615080	4.312845	0.000036	0.017721
IPO4	6.599695	4.298981	0.000039	0.018363
AL136295.1	6.559474	4.262736	0.000045	0.020610
NEDD8-MDP1	6.557713	4.261150	0.000046	0.020610
ATP6V0B	6.527703	4.234107	0.000051	0.022605
BCL2L1	6.512494	4.220402	0.000054	0.023432
APOB	6.480947	4.191974	0.000061	0.025847
CBLN3	6.463814	4.176535	0.000065	0.026997
TBP	6.432183	4.148032	0.000073	0.028656
BCL2L2-PABPN1	6.428730	4.144920	0.000074	0.028656
AL049697.1	6.426885	4.143257	0.000075	0.028656
PSME1	6.426554	4.142959	0.000075	0.028656
IGFBP1	6.412772	4.130540	0.000079	0.029561
DHRS2	6.405735	4.124198	0.000081	0.029561
STRN3	6.403135	4.121855	0.000082	0.029561
CHMP4A	6.396987	4.116316	0.000083	0.029704
AP4S1	6.382134	4.102931	0.000088	0.030710
DHRS1	6.378505	4.099661	0.000089	0.030710
NOP9	6.360692	4.083609	0.000095	0.031914
CFAP206	6.358876	4.081973	0.000096	0.031914
PSME2	6.298984	4.028002	0.000120	0.039071
CTDSP1	6.284642	4.015079	0.000126	0.040491
PABPN1	6.267685	3.999798	0.000134	0.042365
PRMT5	6.262087	3.994754	0.000137	0.042552
POLR3E	6.252066	3.985724	0.000142	0.043435
