g.name	raw.score	z.score	p.value	q.value
TTC26	27.673653	14.253877	0.000000	0.000000
EIF1	27.641149	14.235908	0.000000	0.000000
UBAC1	26.448317	13.576473	0.000000	0.000000
LY6G5C	26.102554	13.385325	0.000000	0.000000
SLC29A1	25.899030	13.272810	0.000000	0.000000
SEPT5-GP1BB	25.430158	13.013603	0.000000	0.000000
COQ5	25.242069	12.909621	0.000000	0.000000
TP53I3	23.671064	12.041121	0.000000	0.000000
PRCC	22.214589	11.235935	0.000000	0.000000
ZNF669	21.969089	11.100215	0.000000	0.000000
CR1L	21.815421	11.015263	0.000000	0.000000
ZDHHC3	21.524317	10.854331	0.000000	0.000000
PRKAR2B	20.939233	10.530878	0.000000	0.000000
PNPLA2	20.760743	10.432203	0.000000	0.000000
MBD1	20.436866	10.253154	0.000000	0.000000
PIM1	20.352510	10.206520	0.000000	0.000000
SUMO2	20.216688	10.131433	0.000000	0.000000
MYCL	19.961228	9.990207	0.000000	0.000000
EFHB	19.922559	9.968829	0.000000	0.000000
RAB5A	19.577896	9.778289	0.000000	0.000000
COMT	18.617480	9.247341	0.000000	0.000000
LRRC14	18.451292	9.155467	0.000000	0.000000
HSPA1B	18.392010	9.122694	0.000000	0.000000
RASIP1	18.329891	9.088352	0.000000	0.000000
NUPR2	18.087114	8.954138	0.000000	0.000000
LENEP	18.038599	8.927317	0.000000	0.000000
C6orf89	17.982406	8.896252	0.000000	0.000000
PDZK1IP1	17.972084	8.890546	0.000000	0.000000
MYL6B	17.580891	8.674282	0.000000	0.000000
GPC2	17.407366	8.578352	0.000000	0.000000
EFHD2	17.209475	8.468951	0.000000	0.000000
ACOX1	17.198866	8.463086	0.000000	0.000000
NDUFB2	17.175817	8.450344	0.000000	0.000000
ARVCF	17.139847	8.430458	0.000000	0.000000
SPEM3	16.837604	8.263369	0.000000	0.000000
SDF2L1	16.753797	8.217038	0.000000	0.000000
RAB11FIP1	16.619257	8.142660	0.000000	0.000000
NR4A2	16.210698	7.916796	0.000000	0.000000
TANGO2	16.197985	7.909768	0.000000	0.000000
CCL26	15.949475	7.772384	0.000000	0.000000
DNMT3B	15.910817	7.751012	0.000000	0.000000
TMEM244	15.722470	7.646888	0.000000	0.000000
GNG8	15.689173	7.628481	0.000000	0.000000
SIRT4	15.218782	7.368434	0.000000	0.000000
PPP1R15A	14.998634	7.246729	0.000000	0.000000
H2AFX	14.927292	7.207289	0.000000	0.000000
VPS37B	14.905064	7.195001	0.000000	0.000000
HDHD5	14.856223	7.168000	0.000000	0.000000
LLGL2	14.682658	7.072048	0.000000	0.000000
ALS2	14.643688	7.050504	0.000000	0.000000
MFSD11	14.503520	6.973014	0.000000	0.000000
MDM4	14.424762	6.929475	0.000000	0.000000
SAMD1	14.217609	6.814954	0.000000	0.000000
SERTAD3	14.161678	6.784034	0.000000	0.000000
AP4S1	14.157396	6.781666	0.000000	0.000000
ALDH16A1	14.017203	6.704163	0.000000	0.000000
AIF1L	13.962980	6.674187	0.000000	0.000000
MAPK1	13.956688	6.670709	0.000000	0.000000
KCNQ4	13.713277	6.536143	0.000000	0.000000
EPHX2	13.692955	6.524909	0.000000	0.000000
CLDN15	13.593767	6.470075	0.000000	0.000000
EPHA2	13.565465	6.454428	0.000000	0.000000
ATP5PB	13.552639	6.447337	0.000000	0.000000
FOXH1	13.529163	6.434360	0.000000	0.000000
SERTAD1	13.511396	6.424537	0.000000	0.000000
ABCA7	13.430084	6.379585	0.000000	0.000000
CCL24	13.411530	6.369328	0.000000	0.000000
HNRNPF	13.393203	6.359196	0.000000	0.000000
PRODH2	13.362787	6.342382	0.000000	0.000000
MYBL2	13.316965	6.317050	0.000000	0.000000
AC010327.1	13.207292	6.256419	0.000000	0.000000
HIST1H2AG	13.137307	6.217729	0.000000	0.000000
BTG2	13.072733	6.182030	0.000000	0.000001
HSPA1A	13.057218	6.173453	0.000000	0.000001
KRTAP2-3	13.011822	6.148357	0.000000	0.000001
MOB3A	12.996000	6.139610	0.000000	0.000001
LRRC61	12.950728	6.114582	0.000000	0.000001
CYGB	12.938757	6.107965	0.000000	0.000001
TMEM165	12.724827	5.989697	0.000000	0.000002
