g.name	raw.score	z.score	p.value	q.value
MSANTD3	4.751352	18.023398	0.000000	0.000000
MTMR11	4.692889	17.791629	0.000000	0.000000
IL20	4.545963	17.209159	0.000000	0.000000
ENAH	4.451537	16.834820	0.000000	0.000000
TMPRSS11D	4.208019	15.869422	0.000000	0.000000
VPS37B	3.748074	14.046030	0.000000	0.000000
PLEKHG2	3.729944	13.974158	0.000000	0.000000
USP33	3.710630	13.897587	0.000000	0.000000
TBPL2	3.637556	13.607894	0.000000	0.000000
SPATC1	3.558074	13.292799	0.000000	0.000000
MAPRE2	3.520630	13.144356	0.000000	0.000000
C1orf116	3.435370	12.806356	0.000000	0.000000
SCGN	3.361852	12.514901	0.000000	0.000000
TMEM247	3.148981	11.671004	0.000000	0.000000
AL355916.2	3.140574	11.637674	0.000000	0.000000
PXK	3.016648	11.146385	0.000000	0.000000
PF4V1	2.972296	10.970558	0.000000	0.000000
STAMBP	2.918852	10.758684	0.000000	0.000000
PABPC1	2.894907	10.663760	0.000000	0.000000
TMCO3	2.875130	10.585353	0.000000	0.000000
CLMP	2.843537	10.460108	0.000000	0.000000
GNPDA1	2.821944	10.374507	0.000000	0.000000
SEPT9	2.733926	10.025569	0.000000	0.000000
CELSR1	2.718444	9.964195	0.000000	0.000000
CD109	2.585981	9.439062	0.000000	0.000000
LCE3D	2.568000	9.367777	0.000000	0.000000
CLU	2.548352	9.289884	0.000000	0.000000
SDR16C5	2.513759	9.152746	0.000000	0.000000
CDKAL1	2.507389	9.127492	0.000000	0.000000
PRKCH	2.491056	9.062740	0.000000	0.000000
BACH1	2.447907	8.891685	0.000000	0.000000
BCAS1	2.422352	8.790373	0.000000	0.000000
ARFRP1	2.374500	8.600670	0.000000	0.000000
FAM193B	2.355000	8.523365	0.000000	0.000000
OR6J1	2.349500	8.501561	0.000000	0.000000
CLDN6	2.342185	8.472563	0.000000	0.000000
ATXN1	2.336407	8.449657	0.000000	0.000000
IL4R	2.329759	8.423302	0.000000	0.000000
C10orf142	2.307130	8.333589	0.000000	0.000000
FBXL20	2.306333	8.330432	0.000000	0.000000
WTAP	2.305537	8.327276	0.000000	0.000000
ST6GALNAC4	2.304741	8.324119	0.000000	0.000000
RPRD1A	2.304000	8.321182	0.000000	0.000000
SPRR2D	2.303648	8.319787	0.000000	0.000000
MAP1LC3C	2.300000	8.305325	0.000000	0.000000
DCUN1D2	2.264537	8.164736	0.000000	0.000000
TSHR	2.260315	8.147998	0.000000	0.000000
KANK4	2.248741	8.102114	0.000000	0.000000
LTBP2	2.225593	8.010346	0.000000	0.000000
PAQR8	2.224074	8.004326	0.000000	0.000000
NABP1	2.212778	7.959543	0.000000	0.000000
KIFC3	2.203741	7.923717	0.000000	0.000000
PLAA	2.198204	7.901766	0.000000	0.000000
SLAMF8	2.194315	7.886349	0.000000	0.000000
NUP153	2.190574	7.871520	0.000000	0.000000
AP5S1	2.177093	7.818074	0.000000	0.000000
PLA2G4D	2.153148	7.723149	0.000000	0.000000
ITPRIP	2.152704	7.721387	0.000000	0.000000
AC008878.3	2.150407	7.712284	0.000000	0.000000
THY1	2.141444	7.676751	0.000000	0.000000
OR52H1	2.131889	7.638870	0.000000	0.000000
TOM1	2.117963	7.583662	0.000000	0.000000
FBXO46	2.098926	7.508192	0.000000	0.000000
ANKRD46	2.084981	7.452911	0.000000	0.000000
NEGR1	2.060093	7.354242	0.000000	0.000000
FAT1	2.033667	7.249480	0.000000	0.000000
SEMA6A	2.033481	7.248746	0.000000	0.000000
SPATA6L	2.013407	7.169165	0.000000	0.000000
BTG1	2.011593	7.161970	0.000000	0.000000
HSPA5	2.002093	7.124309	0.000000	0.000000
EIF2AK4	1.996611	7.102578	0.000000	0.000000
LETMD1	1.996426	7.101844	0.000000	0.000000
RHOBTB3	1.970778	7.000165	0.000000	0.000000
MYPN	1.964296	6.974470	0.000000	0.000000
CRLS1	1.961000	6.961402	0.000000	0.000000
BCL10	1.960093	6.957805	0.000000	0.000000
LYZL2	1.957722	6.948408	0.000000	0.000000
ZNF367	1.947463	6.907736	0.000000	0.000000
DISP1	1.931667	6.845114	0.000000	0.000000
PPP2R2B	1.925741	6.821621	0.000000	0.000000
EFNA1	1.909796	6.758412	0.000000	0.000000
SLC16A5	1.905019	6.739471	0.000000	0.000000
CATSPER4	1.897111	6.708123	0.000000	0.000000
RHOA	1.896685	6.706434	0.000000	0.000000
CYR61	1.874852	6.619879	0.000000	0.000000
ADGRF1	1.873556	6.614740	0.000000	0.000000
PCED1A	1.859833	6.560340	0.000000	0.000000
TTC13	1.852019	6.529359	0.000000	0.000000
TLR9	1.849370	6.518861	0.000000	0.000000
FAM208A	1.839222	6.478630	0.000000	0.000000
RABGGTA	1.809130	6.359332	0.000000	0.000000
DRGX	1.806352	6.348319	0.000000	0.000000
SUCNR1	1.801222	6.327984	0.000000	0.000000
DDX47	1.794852	6.302729	0.000000	0.000000
PLB1	1.779889	6.243410	0.000000	0.000000
NUS1	1.778833	6.239226	0.000000	0.000000
TRIB1	1.762944	6.176236	0.000000	0.000000
OSER1	1.758722	6.159498	0.000000	0.000000
GUK1	1.754963	6.144595	0.000000	0.000001
PLEK2	1.750426	6.126608	0.000000	0.000001
ABCC12	1.746037	6.109209	0.000000	0.000001
SH3BP5L	1.735815	6.068684	0.000000	0.000001
MAFK	1.734741	6.064426	0.000000	0.000001
SMG9	1.723370	6.019350	0.000000	0.000001
TSPAN1	1.717167	5.994756	0.000000	0.000001
EDN2	1.714981	5.986093	0.000000	0.000001
GLRX3	1.705167	5.947184	0.000000	0.000002
REN	1.702889	5.938154	0.000000	0.000002
MFSD4A	1.701907	5.934263	0.000000	0.000002
ROBO4	1.699648	5.925306	0.000000	0.000002
ATXN7L3	1.688685	5.881845	0.000000	0.000002
GLRX5	1.687741	5.878101	0.000000	0.000002
HACL1	1.687019	5.875238	0.000000	0.000002
ANGPTL2	1.685593	5.869585	0.000000	0.000002
ANKRD2	1.680500	5.849396	0.000000	0.000003
IRF6	1.668648	5.802411	0.000000	0.000003
SFN	1.666963	5.795730	0.000000	0.000003
ADAM9	1.665722	5.790811	0.000000	0.000004
GRIP1	1.658481	5.762106	0.000000	0.000004
GPR87	1.654704	5.747130	0.000000	0.000004
CRYBA1	1.654648	5.746909	0.000000	0.000004
TRAF4	1.654019	5.744413	0.000000	0.000004
SYNGR2	1.638870	5.684360	0.000000	0.000006
ABRA	1.637278	5.678047	0.000000	0.000006
CDK14	1.634519	5.667108	0.000000	0.000007
TPD52L2	1.632000	5.657124	0.000000	0.000007
CHRNB2	1.631704	5.655949	0.000000	0.000007
S100G	1.626870	5.636788	0.000000	0.000008
FABP12	1.626537	5.635466	0.000000	0.000008
ZC3HAV1	1.624722	5.628272	0.000000	0.000008
AC010542.3	1.613259	5.582828	0.000000	0.000010
GNE	1.609685	5.568659	0.000000	0.000011
AKNA	1.609352	5.567338	0.000000	0.000011
HYPM	1.606778	5.557133	0.000000	0.000012
DCT	1.606111	5.554490	0.000000	0.000012
UBE2J2	1.598889	5.525859	0.000000	0.000014
VPS13D	1.597556	5.520573	0.000000	0.000014
AC099489.1	1.597444	5.520132	0.000000	0.000014
B9D1	1.591259	5.495612	0.000000	0.000016
CLDN9	1.591167	5.495245	0.000000	0.000016
FEM1C	1.586148	5.475350	0.000000	0.000017
KISS1	1.585704	5.473588	0.000000	0.000017
YWHAH	1.584519	5.468889	0.000000	0.000018
NKIRAS1	1.584093	5.467201	0.000000	0.000018
CCT8	1.579685	5.449728	0.000000	0.000019
RIN1	1.574037	5.427337	0.000000	0.000022
SLC2A8	1.573815	5.426456	0.000000	0.000022
LRRFIP2	1.563574	5.385858	0.000000	0.000027
ETS2	1.558852	5.367137	0.000000	0.000030
OR9I1	1.558259	5.364788	0.000000	0.000030
DCAF17	1.557981	5.363687	0.000000	0.000030
MATR3	1.551500	5.337992	0.000000	0.000034
ANTXR2	1.526704	5.239690	0.000000	0.000057
RSAD1	1.524315	5.230219	0.000000	0.000059
SFTPD	1.522426	5.222731	0.000000	0.000061
S100A6	1.521222	5.217959	0.000000	0.000062
PLEKHA2	1.519389	5.210691	0.000001	0.000064
DNHD1	1.515019	5.193365	0.000001	0.000070
ZNRD1	1.511667	5.180077	0.000001	0.000075
AC093827.5	1.508778	5.168625	0.000001	0.000079
FOPNL	1.508259	5.166569	0.000001	0.000079
TM2D2	1.504259	5.150712	0.000001	0.000085
TGFBR2	1.494148	5.110627	0.000001	0.000104
GPX3	1.483352	5.067827	0.000001	0.000128
SST	1.482259	5.063495	0.000001	0.000130
TNFRSF12A	1.472722	5.025687	0.000001	0.000157
PCBP3	1.468185	5.007701	0.000001	0.000171
RPTN	1.464685	4.993825	0.000002	0.000182
COL5A2	1.464315	4.992357	0.000002	0.000182
METTL21A	1.464000	4.991109	0.000002	0.000182
OTOP3	1.459593	4.973636	0.000002	0.000196
COL14A1	1.459444	4.973049	0.000002	0.000196
CTXND2	1.459315	4.972535	0.000002	0.000196
LRCH3	1.457981	4.967249	0.000002	0.000200
TPM3	1.456963	4.963212	0.000002	0.000203
SERINC5	1.454611	4.953888	0.000002	0.000212
UTRN	1.454111	4.951906	0.000002	0.000213
PTPRB	1.447296	4.924889	0.000002	0.000242
TUBG2	1.442833	4.907196	0.000002	0.000262
PTK2	1.437185	4.884805	0.000003	0.000291
SLFN5	1.434056	4.872398	0.000003	0.000307
CDCP1	1.430019	4.856394	0.000003	0.000330
ARV1	1.424167	4.833195	0.000003	0.000366
LEPROT	1.424148	4.833121	0.000003	0.000366
KRTAP4-5	1.417444	4.806545	0.000004	0.000413
TRIM38	1.408204	4.769912	0.000005	0.000490
EPHA2	1.404667	4.755890	0.000005	0.000521
GRAMD2B	1.402111	4.745758	0.000005	0.000544
GRAMD1C	1.398907	4.733058	0.000005	0.000575
VPS16	1.398630	4.731956	0.000005	0.000575
METTL27	1.392852	4.709051	0.000006	0.000637
TMEM150B	1.390056	4.697966	0.000006	0.000665
PTPRK	1.389852	4.697158	0.000006	0.000665
ZNF696	1.389685	4.696497	0.000006	0.000665
PLIN3	1.387630	4.688348	0.000007	0.000688
RSPRY1	1.385833	4.681227	0.000007	0.000707
INTU	1.381333	4.663387	0.000008	0.000765
CPE	1.375500	4.640262	0.000008	0.000847
OSBPL11	1.374611	4.636738	0.000009	0.000857
GTPBP1	1.373167	4.631012	0.000009	0.000876
PDZK1IP1	1.372833	4.629690	0.000009	0.000877
PCNT	1.371481	4.624331	0.000009	0.000894
CREG1	1.369185	4.615228	0.000009	0.000928
LDLR	1.368370	4.611997	0.000010	0.000937
GMDS	1.360889	4.582338	0.000011	0.001069
NSL1	1.358944	4.574630	0.000011	0.001102
SLC13A1	1.357870	4.570372	0.000012	0.001118
