g.name	raw.score	z.score	p.value	q.value
REPIN1	15.890504	13.851813	0.000000	0.000000
AC073111.3	13.220182	11.126438	0.000000	0.000000
RFTN1	11.193567	9.058042	0.000000	0.000000
JUNB	10.893405	8.751692	0.000000	0.000000
PCBP3	10.871204	8.729034	0.000000	0.000000
ZFP36	10.339801	8.186675	0.000000	0.000000
DNAJC18	10.213015	8.057275	0.000000	0.000000
HIST1H4I	9.697951	7.531592	0.000000	0.000000
BBC3	8.823490	6.639103	0.000000	0.000000
PLEKHG2	8.748290	6.562353	0.000000	0.000000
SHISA7	8.572304	6.382739	0.000000	0.000001
EMILIN1	7.874351	5.670397	0.000000	0.000069
CRB2	7.811699	5.606453	0.000000	0.000091
GIT2	7.767748	5.561596	0.000000	0.000103
ZFP36L2	7.766119	5.559934	0.000000	0.000103
IZUMO4	7.637959	5.429132	0.000000	0.000198
AGER	7.610153	5.400752	0.000000	0.000217
P2RY11	7.595343	5.385636	0.000000	0.000222
HLA-DRA	7.557558	5.347073	0.000000	0.000259
MOB3A	7.530836	5.319800	0.000000	0.000284
RHOH	7.445433	5.232636	0.000000	0.000429
DUSP22	7.429236	5.216105	0.000000	0.000447
SLC35B2	7.401972	5.188279	0.000001	0.000494
UBC	7.219463	5.002008	0.000001	0.001222
BCL2	6.948928	4.725895	0.000006	0.004494
GCSAM	6.935239	4.711923	0.000006	0.004516
HIST1H4G	6.931948	4.708564	0.000006	0.004516
PNKP	6.871549	4.646921	0.000008	0.005810
IRF2BP2	6.810022	4.584125	0.000011	0.007495
LCP2	6.788704	4.562368	0.000012	0.008003
ZC3H12A	6.780726	4.554225	0.000013	0.008038
SCIMP	6.762686	4.535813	0.000014	0.008466
HIST1H1D	6.740827	4.513504	0.000015	0.009067
ISCU	6.734693	4.507243	0.000015	0.009067
KIF2C	6.686233	4.457784	0.000019	0.010994
CD83	6.667271	4.438431	0.000021	0.011650
NBPF1	6.659081	4.430072	0.000022	0.011763
PSMB8	6.634020	4.404495	0.000024	0.012823
ALPK1	6.621348	4.391562	0.000026	0.013226
MACC1	6.593370	4.363007	0.000029	0.014612
SLC16A11	6.587221	4.356731	0.000030	0.014651
HIST1H2AG	6.578875	4.348213	0.000031	0.014843
EHD4	6.573308	4.342531	0.000032	0.014860
NAPSA	6.502342	4.270102	0.000044	0.019837
RGS1	6.460189	4.227080	0.000053	0.023287
ETV6	6.446297	4.212901	0.000056	0.024185
VASP	6.404208	4.169945	0.000067	0.027830
HIST1H4B	6.403530	4.169253	0.000067	0.027830
LAPTM5	6.380386	4.145632	0.000074	0.030075
KCNN4	6.364045	4.128954	0.000079	0.031579
ASB2	6.346862	4.111416	0.000085	0.032336
GPR15	6.346578	4.111127	0.000085	0.032336
GPR183	6.344553	4.109060	0.000086	0.032336
PMAIP1	6.288989	4.052350	0.000108	0.039567
PDE4A	6.286446	4.049755	0.000110	0.039567
MSC	6.282828	4.046063	0.000111	0.039567
DDIAS	6.269491	4.032450	0.000117	0.041070
FOXJ2	6.263420	4.026254	0.000120	0.041382
NEK8	6.249235	4.011777	0.000128	0.042900
TIFA	6.246368	4.008851	0.000129	0.042900
MLEC	6.238506	4.000827	0.000133	0.043574
PDLIM1	6.229321	3.991452	0.000138	0.044508
SAR1A	6.195907	3.957350	0.000159	0.048526
CD69	6.195456	3.956889	0.000159	0.048526
FGR	6.192823	3.954201	0.000161	0.048526
TNFSF14	6.192585	3.953959	0.000161	0.048526
