g.name	raw.score	z.score	p.value	q.value
PTP4A1	4.188689	12.545304	0.000000	0.000000
C6orf141	3.907233	11.639710	0.000000	0.000000
GSAP	3.831478	11.395964	0.000000	0.000000
ANXA2	3.684156	10.921949	0.000000	0.000000
SLC26A9	3.629211	10.745163	0.000000	0.000000
SCYGR1	3.574300	10.568485	0.000000	0.000000
GRHL3	3.353744	9.858839	0.000000	0.000000
ZNF281	3.275233	9.606227	0.000000	0.000000
SEPT10	3.264589	9.571978	0.000000	0.000000
ENKUR	3.239111	9.490002	0.000000	0.000000
OSBPL9	3.199311	9.361944	0.000000	0.000000
CTSE	3.187300	9.323298	0.000000	0.000000
KIF13A	3.079767	8.977305	0.000000	0.000000
ANXA5	3.070456	8.947346	0.000000	0.000000
WDR26	3.025533	8.802807	0.000000	0.000000
PPP1R15B	2.993744	8.700526	0.000000	0.000000
CAPN2	2.978433	8.651261	0.000000	0.000000
SOWAHC	2.949900	8.559454	0.000000	0.000000
RFFL	2.929211	8.492887	0.000000	0.000000
B4GALT1	2.904333	8.412842	0.000000	0.000000
CRCT1	2.903211	8.409231	0.000000	0.000000
SLC22A5	2.881289	8.338696	0.000000	0.000000
ITGBL1	2.869322	8.300192	0.000000	0.000000
ETS2	2.840289	8.206777	0.000000	0.000000
PHLDA3	2.810178	8.109893	0.000000	0.000000
LIFR	2.797344	8.068601	0.000000	0.000000
TNFRSF1A	2.756344	7.936682	0.000000	0.000000
MMP3	2.743811	7.896356	0.000000	0.000000
BCL9	2.714533	7.802153	0.000000	0.000000
G0S2	2.712178	7.794574	0.000000	0.000000
IGFL4	2.698056	7.749136	0.000000	0.000000
ANXA10	2.672444	7.666731	0.000000	0.000000
S100A10	2.627744	7.522907	0.000000	0.000000
FAM186A	2.623400	7.508929	0.000000	0.000000
PKM	2.621178	7.501778	0.000000	0.000000
TNFAIP8	2.619611	7.496738	0.000000	0.000000
DOCK5	2.611333	7.470104	0.000000	0.000000
CDC73	2.600067	7.433853	0.000000	0.000000
KSR1	2.535167	7.225035	0.000000	0.000000
NCOA4	2.493078	7.089612	0.000000	0.000000
ANXA1	2.481633	7.052789	0.000000	0.000000
GPRC5A	2.477389	7.039132	0.000000	0.000000
SH3BP4	2.474589	7.030123	0.000000	0.000000
FGF7	2.460467	6.984684	0.000000	0.000000
CLCA2	2.440311	6.919833	0.000000	0.000000
HIPK2	2.423222	6.864849	0.000000	0.000000
PFKFB2	2.384867	6.741439	0.000000	0.000000
TMEM270	2.382211	6.732894	0.000000	0.000000
CNIH3	2.369522	6.692067	0.000000	0.000000
C10orf99	2.365300	6.678482	0.000000	0.000000
USP3	2.361189	6.665255	0.000000	0.000000
SPDL1	2.360322	6.662466	0.000000	0.000000
PDCD4	2.352567	6.637512	0.000000	0.000000
MEGF10	2.339467	6.595362	0.000000	0.000000
GRK5	2.339222	6.594576	0.000000	0.000000
NFIL3	2.291144	6.439884	0.000000	0.000000
EFHC1	2.290544	6.437953	0.000000	0.000000
UBE2F-SCLY	2.286378	6.424547	0.000000	0.000000
KPRP	2.281489	6.408817	0.000000	0.000000
DOCK4	2.278200	6.398235	0.000000	0.000000
LARP4	2.261767	6.345360	0.000000	0.000000
RXFP4	2.253356	6.318297	0.000000	0.000000
C6orf10	2.231289	6.247296	0.000000	0.000000
SMAD5	2.228311	6.237715	0.000000	0.000000
CCDC33	2.215800	6.197460	0.000000	0.000001
LAMC2	2.214644	6.193742	0.000000	0.000001
ZNF474	2.198556	6.141976	0.000000	0.000001
FAM184A	2.180567	6.084096	0.000000	0.000001
STOM	2.174011	6.063003	0.000000	0.000001
FAM174B	2.173811	6.062360	0.000000	0.000001
ZC3H3	2.171200	6.053958	0.000000	0.000001
NQO2	2.161822	6.023785	0.000000	0.000001
PSCA	2.145756	5.972090	0.000000	0.000002
CNIH1	2.124811	5.904700	0.000000	0.000003
KLHL5	2.107867	5.850181	0.000000	0.000004
ZFYVE9	2.105589	5.842852	0.000000	0.000004
ITPRIPL2	2.103800	5.837096	0.000000	0.000004
IGF2R	2.089433	5.790871	0.000000	0.000005
LDLR	2.081400	5.765023	0.000000	0.000006
DDAH1	2.069978	5.728272	0.000000	0.000007
TATDN3	2.068756	5.724339	0.000000	0.000007
TTC7A	2.063100	5.706142	0.000000	0.000008
IL13RA2	2.059522	5.694631	0.000000	0.000009
DNAJB1	2.053978	5.676791	0.000000	0.000009
SPTLC3	2.046500	5.652731	0.000000	0.000011
ZNF277	2.044211	5.645367	0.000000	0.000011
GUCA1C	2.041767	5.637502	0.000000	0.000011
GEMIN8	2.026656	5.588881	0.000000	0.000015
SPCS2	2.017367	5.558994	0.000000	0.000017
FAM71D	2.013300	5.545909	0.000000	0.000018
RAB7B	2.006578	5.524280	0.000000	0.000020
FFAR2	1.997956	5.496538	0.000000	0.000024
TNC	1.997033	5.493571	0.000000	0.000024
TRPC6	1.995644	5.489102	0.000000	0.000024
PSEN2	1.994678	5.485991	0.000000	0.000024
EFCAB13	1.989456	5.469189	0.000000	0.000026
RABGAP1L	1.981056	5.442161	0.000000	0.000030
BACH1	1.980433	5.440159	0.000000	0.000030
IFNGR1	1.974211	5.420139	0.000000	0.000033
SH3D21	1.973856	5.418995	0.000000	0.000033
PDE6A	1.967244	5.397724	0.000000	0.000037
C1orf43	1.964467	5.388786	0.000000	0.000038
YWHAG	1.960389	5.375666	0.000000	0.000041
KIAA0319L	1.950956	5.345314	0.000000	0.000047
LAMB3	1.936056	5.297372	0.000000	0.000060
UBE2H	1.933167	5.288077	0.000000	0.000063
