g.name	raw.score	z.score	p.value	q.value
DUSP1	7.962446	21.108547	0.000000	0.000000
ZFP36	6.551216	17.084923	0.000000	0.000000
FTH1	5.293100	13.497849	0.000000	0.000000
ITGB1	5.275027	13.446319	0.000000	0.000000
AMIGO2	5.194259	13.216039	0.000000	0.000000
PLEKHG2	4.870545	12.293082	0.000000	0.000000
PCED1B	4.840285	12.206805	0.000000	0.000000
BCL3	4.548753	11.375607	0.000000	0.000000
ALDH3A1	4.465313	11.137706	0.000000	0.000000
AC010542.3	4.445045	11.079920	0.000000	0.000000
ID1	4.282129	10.615422	0.000000	0.000000
GDF15	4.270277	10.581629	0.000000	0.000000
MT2A	4.234205	10.478784	0.000000	0.000000
JRK	4.185045	10.338622	0.000000	0.000000
PON2	4.132875	10.189878	0.000000	0.000000
UBC	4.127477	10.174485	0.000000	0.000000
RHOBTB2	4.116554	10.143343	0.000000	0.000000
NFKBIA	3.929502	9.610030	0.000000	0.000000
RHCG	3.898426	9.521427	0.000000	0.000000
ZFAND5	3.775562	9.171124	0.000000	0.000000
STOM	3.735445	9.056745	0.000000	0.000000
FKBP5	3.714910	8.998197	0.000000	0.000000
TRIB1	3.610696	8.701067	0.000000	0.000000
UPK2	3.606539	8.689216	0.000000	0.000000
KYNU	3.554565	8.541031	0.000000	0.000000
BCL9L	3.502386	8.392260	0.000000	0.000000
CLCF1	3.416467	8.147291	0.000000	0.000000
BHLHE40	3.404435	8.112988	0.000000	0.000000
ABCC3	3.360775	7.988507	0.000000	0.000000
FAM129B	3.355569	7.973663	0.000000	0.000000
TNS4	3.326383	7.890449	0.000000	0.000000
NRP1	3.304628	7.828422	0.000000	0.000000
SERPINE1	3.283328	7.767692	0.000000	0.000000
LDHA	3.266300	7.719143	0.000000	0.000000
CXCL2	3.245606	7.660142	0.000000	0.000000
AKR1B10	3.186299	7.491050	0.000000	0.000000
SLC22A5	3.174725	7.458049	0.000000	0.000000
TGFBR2	3.174408	7.457146	0.000000	0.000000
PER2	3.171664	7.449324	0.000000	0.000000
IRF2BP2	3.057398	7.123534	0.000000	0.000000
HTR1D	3.056062	7.119724	0.000000	0.000000
STXBP1	3.035507	7.061120	0.000000	0.000000
TCIM	3.016833	7.007878	0.000000	0.000000
LAMA5	2.973666	6.884801	0.000000	0.000000
UGT1A6	2.966607	6.864674	0.000000	0.000000
TRIB3	2.922755	6.739647	0.000000	0.000000
RBCK1	2.908233	6.698243	0.000000	0.000000
DOCK5	2.892336	6.652919	0.000000	0.000000
KLF9	2.863000	6.569277	0.000000	0.000000
FOSL2	2.862398	6.567561	0.000000	0.000000
AP003419.1	2.833831	6.486111	0.000000	0.000000
IL1R1	2.825122	6.461282	0.000000	0.000000
IRF2BPL	2.789224	6.358931	0.000000	0.000000
B4GALT1	2.782247	6.339039	0.000000	0.000000
ANXA2	2.765631	6.291663	0.000000	0.000000
ALDH3B1	2.753917	6.258264	0.000000	0.000000
PDE10A	2.742108	6.224595	0.000000	0.000001
S100A10	2.723891	6.172655	0.000000	0.000001
SCYGR1	2.669739	6.018262	0.000000	0.000002
AVPI1	2.655409	5.977403	0.000000	0.000002
FAM174B	2.621106	5.879600	0.000000	0.000004
ZNF281	2.618163	5.871210	0.000000	0.000004
TM4SF1	2.617501	5.869322	0.000000	0.000004
CCDC80	2.567251	5.726052	0.000000	0.000009
MTHFD2L	2.536244	5.637646	0.000000	0.000015
SUPT5H	2.536005	5.636965	0.000000	0.000015
ABCC2	2.534909	5.633840	0.000000	0.000015
RFESD	2.528257	5.614876	0.000000	0.000017
TNS3	2.515843	5.579481	0.000000	0.000020
TXNRD1	2.515313	5.577970	0.000000	0.000020
CSNK1D	2.509356	5.560987	0.000000	0.000022
ELL2	2.502569	5.541635	0.000000	0.000024
RPS16	2.502181	5.540529	0.000000	0.000024
DDIT4	2.493254	5.515076	0.000000	0.000027
CHMP1B	2.486764	5.496572	0.000000	0.000029
ZMYND8	2.476547	5.467443	0.000000	0.000034
UNC93B1	2.467365	5.441262	0.000000	0.000038
TM4SF20	2.453736	5.402404	0.000000	0.000047
AKR1C2	2.447605	5.384923	0.000000	0.000051
RHOB	2.441543	5.367641	0.000000	0.000055
TNIP1	2.415549	5.293528	0.000000	0.000081
ITGA3	2.413100	5.286545	0.000000	0.000083
ITPKC	2.398588	5.245170	0.000000	0.000102
GSAP	2.397774	5.242848	0.000000	0.000102
TRAM1	2.389994	5.220668	0.000000	0.000113
ANKRD1	2.385046	5.206560	0.000001	0.000119
IGFL4	2.384684	5.205527	0.000001	0.000119
IKBKG	2.382453	5.199167	0.000001	0.000122
MYC	2.381110	5.195338	0.000001	0.000123
AXL	2.376664	5.182662	0.000001	0.000130
AL135905.2	2.374045	5.175194	0.000001	0.000134
HGD	2.369585	5.162476	0.000001	0.000141
USP3	2.363913	5.146307	0.000001	0.000152
FGL1	2.361299	5.138854	0.000001	0.000156
HAVCR1	2.358767	5.131634	0.000001	0.000159
MAFK	2.358280	5.130244	0.000001	0.000159
ENAH	2.357944	5.129289	0.000001	0.000159
TSKU	2.355609	5.122630	0.000001	0.000163
PER1	2.340041	5.078245	0.000001	0.000202
NR2E3	2.336796	5.068992	0.000001	0.000209
LTBR	2.325041	5.035476	0.000001	0.000245
DNAJC5B	2.321126	5.024313	0.000001	0.000257
CAPN2	2.310146	4.993009	0.000002	0.000298
KPNA7	2.294775	4.949182	0.000002	0.000367
MYEOV	2.290176	4.936072	0.000002	0.000388
CEBPB	2.251029	4.824458	0.000004	0.000662
ACP7	2.247365	4.814010	0.000004	0.000690
AMPD3	2.246320	4.811032	0.000004	0.000693
PAQR5	2.236803	4.783897	0.000004	0.000782
SEPT9	2.219300	4.733994	0.000005	0.000983
MSI2	2.218500	4.731713	0.000005	0.000985
TRNP1	2.144371	4.520359	0.000015	0.002594
SRGN	2.119398	4.449158	0.000020	0.003539
WISP1	2.116547	4.441028	0.000021	0.003637
TRIM55	2.114789	4.436018	0.000021	0.003686
C11orf91	2.112835	4.430446	0.000022	0.003721
SCNN1A	2.112681	4.430005	0.000022	0.003721
AL355916.2	2.103657	4.404278	0.000024	0.004134
CUEDC1	2.099045	4.391129	0.000026	0.004343
GPRC5A	2.095812	4.381911	0.000027	0.004473
ID2	2.095345	4.380579	0.000027	0.004473
GSG1	2.093443	4.375158	0.000028	0.004543
DUSP4	2.089237	4.363163	0.000029	0.004749
RHPN2	2.083046	4.345513	0.000032	0.005087
MED29	2.078325	4.332053	0.000034	0.005349
TM2D2	2.073083	4.317107	0.000036	0.005661
ADAM9	2.067707	4.301781	0.000038	0.006000
CD109	2.066456	4.298213	0.000039	0.006045
PAPPA	2.062996	4.288348	0.000041	0.006224
KRT86	2.062815	4.287831	0.000041	0.006224
COQ8B	2.062040	4.285621	0.000041	0.006235
IGFBP1	2.060637	4.281621	0.000042	0.006295
LURAP1L	2.053156	4.260291	0.000046	0.006843
SH2D6	2.039584	4.221597	0.000054	0.008003
MTUS1	2.038279	4.217876	0.000055	0.008070
AHNAK	2.036482	4.212752	0.000056	0.008185
PAF1	2.032307	4.200850	0.000059	0.008543
CYP24A1	2.029970	4.194187	0.000060	0.008722
