g.name	raw.score	z.score	p.value	q.value
TTI1	2.731287	12.163270	0.000000	0.000000
RPRD1B	2.632087	11.642581	0.000000	0.000000
PPIP5K2	2.486653	10.879207	0.000000	0.000000
GIN1	2.484783	10.869392	0.000000	0.000000
AC008481.3	2.300826	9.903819	0.000000	0.000000
ZNF653	2.275878	9.772871	0.000000	0.000000
NUBP1	2.146501	9.093781	0.000000	0.000000
CCT5	2.124617	8.978911	0.000000	0.000000
FAM173B	2.102360	8.862089	0.000000	0.000000
RALGAPB	2.063731	8.659327	0.000000	0.000000
SF3A2	1.795038	7.248979	0.000000	0.000000
RBM39	1.722629	6.868913	0.000000	0.000000
QTRT1	1.693133	6.714089	0.000000	0.000000
GMEB2	1.671678	6.601475	0.000000	0.000000
ABCB10	1.566220	6.047934	0.000000	0.000006
ATG2A	1.561173	6.021446	0.000000	0.000007
RPS11	1.502871	5.715423	0.000000	0.000038
CDK12	1.477193	5.580639	0.000000	0.000076
MPDU1	1.473457	5.561032	0.000000	0.000081
CYB5D1	1.396012	5.154527	0.000001	0.000676
PATL1	1.377173	5.055645	0.000001	0.001066
ERCC6L2	1.372226	5.029680	0.000001	0.001160
PTPN4	1.364733	4.990345	0.000002	0.001304
PIN1	1.364476	4.988997	0.000002	0.001304
SCFD2	1.341746	4.869689	0.000003	0.002254
ID1	1.330694	4.811682	0.000004	0.002870
UTP20	1.328373	4.799495	0.000004	0.002931
BCKDHA	1.303801	4.670522	0.000007	0.005205
PPP2R5B	1.284928	4.571456	0.000012	0.007943
EXOSC5	1.282251	4.557406	0.000012	0.007982
C6orf52	1.281938	4.555762	0.000012	0.007982
PLEKHJ1	1.274800	4.518297	0.000015	0.009165
SLC25A11	1.272688	4.507209	0.000015	0.009343
