g.name	raw.score	z.score	p.value	q.value
PIP4P1	14.579299	6.639769	0.000000	0.000002
HIST1H3C	14.219151	6.443133	0.000000	0.000004
HIST1H3D	13.489152	6.044564	0.000000	0.000031
WDR89	12.976310	5.764560	0.000000	0.000121
MRPL18	12.845415	5.693094	0.000000	0.000146
HIST1H2BB	12.764349	5.648833	0.000000	0.000156
TCP1	12.663278	5.593649	0.000000	0.000182
ASF1B	12.603872	5.561215	0.000000	0.000191
ZMYND8	12.560400	5.537480	0.000000	0.000194
SWSAP1	12.366337	5.431524	0.000000	0.000312
HIST2H2AC	12.298343	5.394400	0.000000	0.000346
ID1	12.270012	5.378932	0.000000	0.000346
CDS2	12.183208	5.331538	0.000000	0.000411
HIST1H2AI	12.068589	5.268958	0.000000	0.000532
CEP57	12.043988	5.255526	0.000000	0.000533
PCNA	11.949194	5.203770	0.000001	0.000647
CSTF1	11.932134	5.194456	0.000001	0.000647
AURKA	11.797317	5.120847	0.000001	0.000853
HIST1H3H	11.794178	5.119134	0.000001	0.000853
APEX1	11.769416	5.105614	0.000001	0.000869
CUTA	11.723789	5.080703	0.000001	0.000899
IDI1	11.722652	5.080082	0.000001	0.000899
OSGEP	11.598450	5.012269	0.000001	0.001211
COQ10B	11.582305	5.003454	0.000001	0.001213
HIST1H2BL	11.545855	4.983553	0.000002	0.001286
FBRS	11.478843	4.946965	0.000002	0.001483
AGFG2	11.449072	4.930711	0.000002	0.001548
TRAF7	11.417352	4.913392	0.000002	0.001625
HIST1H2BC	11.333214	4.867454	0.000003	0.001965
HIST1H3B	11.236701	4.814760	0.000004	0.002450
PPP2R1A	11.224114	4.807887	0.000004	0.002450
AL451062.3	11.205256	4.797591	0.000004	0.002450
KDM4A	11.198020	4.793640	0.000004	0.002450
HIST1H2AC	11.189103	4.788772	0.000004	0.002450
HEXIM1	10.942437	4.654096	0.000008	0.004402
HIST1H2BM	10.939624	4.652560	0.000008	0.004402
HIST2H2BE	10.868171	4.613548	0.000010	0.005131
RNF31	10.829439	4.592400	0.000011	0.005396
DCAF11	10.827177	4.591165	0.000011	0.005396
HIST1H2AD	10.794564	4.573359	0.000011	0.005709
BAHCC1	10.642868	4.490535	0.000017	0.007879
MRPS18B	10.640593	4.489293	0.000017	0.007879
TRAPPC6A	10.635029	4.486256	0.000017	0.007879
AL031777.3	10.550485	4.440096	0.000021	0.009321
DHRS2	10.547373	4.438396	0.000021	0.009321
HIST2H2AB	10.497898	4.411384	0.000024	0.010276
PSME2	10.462230	4.391910	0.000026	0.010857
SRSF6	10.453201	4.386980	0.000026	0.010857
STAT3	10.448700	4.384523	0.000027	0.010857
PCK2	10.420298	4.369015	0.000029	0.011387
BLOC1S3	10.398996	4.357385	0.000030	0.011612
NBR1	10.393839	4.354569	0.000030	0.011612
RAB40C	10.381031	4.347576	0.000031	0.011612
BOLA1	10.379731	4.346867	0.000031	0.011612
HIST1H2BF	10.367797	4.340351	0.000032	0.011728
SIVA1	10.326776	4.317954	0.000036	0.012525
SDR39U1	10.324853	4.316904	0.000036	0.012525
FAM76B	10.286016	4.295700	0.000039	0.013486
COX14	10.273135	4.288666	0.000040	0.013664
TUBB	10.257617	4.280194	0.000042	0.013933
CBX5	10.226511	4.263211	0.000045	0.014736
MDC1	10.191200	4.243931	0.000049	0.015737
SLC2A8	10.182591	4.239231	0.000050	0.015799
SNRPA	10.161202	4.227553	0.000052	0.016341
HIST1H2BG	10.133944	4.212670	0.000056	0.017132
BCL2L1	10.111998	4.200688	0.000059	0.017593
CNNM2	10.109199	4.199160	0.000059	0.017593
QPCTL	10.076267	4.181179	0.000064	0.018439
SNRPD2	10.075800	4.180925	0.000064	0.018439
HIST1H1C	10.019413	4.150138	0.000073	0.020502
HIST1H4E	10.016602	4.148604	0.000073	0.020502
ZBTB5	10.008230	4.144032	0.000074	0.020604
HIST1H2AJ	9.974670	4.125709	0.000080	0.021597
WDR37	9.972103	4.124307	0.000081	0.021597
CDCA3	9.969279	4.122766	0.000081	0.021597
HNRNPA1	9.958647	4.116961	0.000083	0.021829
WDR81	9.934309	4.103672	0.000088	0.022755
PHF1	9.916607	4.094007	0.000091	0.023371
HIST1H2AE	9.905933	4.088180	0.000094	0.023505
CARS2	9.902703	4.086416	0.000094	0.023505
CDCA2	9.869248	4.068150	0.000102	0.025010
BRCA1	9.823376	4.043105	0.000113	0.027346
NXT1	9.798381	4.029458	0.000119	0.028086
USP5	9.796015	4.028166	0.000120	0.028086
PC	9.794954	4.027587	0.000120	0.028086
PPP1R7	9.772259	4.015196	0.000126	0.029091
PRPF40A	9.768343	4.013058	0.000127	0.029091
HIST1H2AG	9.712265	3.982440	0.000144	0.032505
DCAKD	9.656427	3.951953	0.000162	0.035654
HIST1H4B	9.648848	3.947815	0.000165	0.035654
HLA-DMA	9.645523	3.946000	0.000166	0.035654
TINF2	9.644833	3.945623	0.000166	0.035654
ZDHHC5	9.644005	3.945171	0.000166	0.035654
BRD2	9.632832	3.939071	0.000170	0.036133
ARL6IP6	9.619307	3.931686	0.000175	0.036807
UBFD1	9.577700	3.908969	0.000192	0.039816
XPO1	9.568761	3.904089	0.000196	0.040164
RPL13A	9.526227	3.880866	0.000214	0.043486
GTF3C5	9.521761	3.878427	0.000216	0.043486
PTMA	9.510902	3.872499	0.000221	0.044051
SLC25A28	9.480969	3.856155	0.000235	0.046459
LSM4	9.449726	3.839098	0.000251	0.049124
PCNT	9.442800	3.835316	0.000255	0.049358
