g.name	raw.score	z.score	p.value	q.value
CYGB	17.680871	9.867282	0.000000	0.000000
LYPD5	14.837343	7.981918	0.000000	0.000000
COQ8B	14.561182	7.798812	0.000000	0.000000
ZNF283	14.503647	7.760665	0.000000	0.000000
DPF1	14.291828	7.620221	0.000000	0.000000
CCER2	13.678079	7.213283	0.000000	0.000000
ASGR1	13.541746	7.122889	0.000000	0.000000
TMEM107	13.251370	6.930359	0.000000	0.000000
DBP	13.015696	6.774099	0.000000	0.000000
CEP170B	12.985036	6.753770	0.000000	0.000000
AC008982.1	12.903802	6.699909	0.000000	0.000000
FBXO24	12.471287	6.413135	0.000000	0.000001
PPP6R2	12.402432	6.367482	0.000000	0.000001
FXYD1	12.137277	6.191675	0.000000	0.000003
GPATCH1	11.646581	5.866325	0.000000	0.000017
NBPF1	11.545881	5.799557	0.000000	0.000023
HNRNPL	11.398261	5.701679	0.000000	0.000039
PAK4	11.267337	5.614872	0.000000	0.000060
DEGS1	11.170498	5.550665	0.000000	0.000081
PRRT2	11.052944	5.472722	0.000000	0.000119
IFI6	10.821267	5.319111	0.000000	0.000260
MAST1	10.713102	5.247394	0.000000	0.000363
NTN5	10.698030	5.237400	0.000000	0.000366
AC008537.1	10.614439	5.181977	0.000001	0.000469
SHC1	10.524066	5.122056	0.000001	0.000614
ZNF226	10.431462	5.060656	0.000001	0.000809
DEDD2	10.271201	4.954397	0.000002	0.001328
HOXB8	10.183076	4.895967	0.000002	0.001709
UBC	10.135007	4.864095	0.000003	0.001859
ZNF385A	10.128231	4.859603	0.000003	0.001859
CEBPA	10.126686	4.858579	0.000003	0.001859
ZNF45	10.084013	4.830285	0.000003	0.002067
IRF2BP2	10.071353	4.821891	0.000004	0.002090
JMJD8	9.891013	4.702319	0.000006	0.003587
FAM166A	9.852967	4.677093	0.000007	0.003926
CDC37	9.812924	4.650543	0.000008	0.004323
CKS1B	9.777673	4.627170	0.000009	0.004691
DMKN	9.721921	4.590204	0.000011	0.005412
ZNF526	9.714102	4.585020	0.000011	0.005412
LGI4	9.690254	4.569208	0.000012	0.005676
ZNF771	9.630521	4.529603	0.000014	0.006498
USF2	9.629607	4.528997	0.000014	0.006498
CGB3	9.588901	4.502007	0.000016	0.007174
KDM6B	9.574548	4.492491	0.000017	0.007321
NFKBID	9.563627	4.485250	0.000017	0.007398
AC010616.1	9.529650	4.462722	0.000019	0.008009
MARCH9	9.450620	4.410322	0.000024	0.009665
HCST	9.445749	4.407092	0.000024	0.009665
PSENEN	9.444690	4.406390	0.000024	0.009665
GSTO1	9.435934	4.400584	0.000025	0.009721
