g.name	raw.score	z.score	p.value	q.value
SLC25A11	4.675833	17.185453	0.000000	0.000000
ORAI3	4.328833	15.850961	0.000000	0.000000
CLDN9	4.133944	15.101458	0.000000	0.000000
KISS1R	4.101222	14.975615	0.000000	0.000000
AGBL5	3.981833	14.516470	0.000000	0.000000
MGRN1	3.922722	14.289140	0.000000	0.000000
LENEP	3.795278	13.799015	0.000000	0.000000
AC037459.1	3.740556	13.588565	0.000000	0.000000
CLP1	3.723000	13.521049	0.000000	0.000000
RAB34	3.703278	13.445202	0.000000	0.000000
PANK4	3.400278	12.279926	0.000000	0.000000
CIRBP	3.379722	12.200873	0.000000	0.000000
PROB1	3.366111	12.148527	0.000000	0.000000
ZNF444	3.280444	11.819071	0.000000	0.000000
FOSB	3.147778	11.308862	0.000000	0.000000
COL1A1	3.094556	11.104180	0.000000	0.000000
ZNF580	3.033500	10.869373	0.000000	0.000000
RTP5	3.032333	10.864886	0.000000	0.000000
SFTPC	2.964111	10.602517	0.000000	0.000000
OVCA2	2.925722	10.454881	0.000000	0.000000
CTDSP1	2.904167	10.371983	0.000000	0.000000
DVL2	2.869500	10.238662	0.000000	0.000000
TEX54	2.861500	10.207896	0.000000	0.000000
WDR38	2.824444	10.065388	0.000000	0.000000
STOML2	2.783222	9.906855	0.000000	0.000000
B9D1	2.766056	9.840836	0.000000	0.000000
LY6E	2.742444	9.750032	0.000000	0.000000
PPP1R42	2.741833	9.747682	0.000000	0.000000
RNF167	2.736667	9.727812	0.000000	0.000000
FASTK	2.685222	9.529967	0.000000	0.000000
CLCF1	2.664000	9.448351	0.000000	0.000000
ZNF575	2.663556	9.446642	0.000000	0.000000
EPHA2	2.618833	9.274649	0.000000	0.000000
ELK1	2.573056	9.098597	0.000000	0.000000
PRR7	2.540333	8.972754	0.000000	0.000000
COX6A1	2.538333	8.965063	0.000000	0.000000
RASSF7	2.489500	8.777260	0.000000	0.000000
ZNRD1	2.427111	8.537325	0.000000	0.000000
EFNA1	2.289889	8.009596	0.000000	0.000000
CRB2	2.280389	7.973061	0.000000	0.000000
LGI3	2.276056	7.956396	0.000000	0.000000
SPHK1	2.244222	7.833971	0.000000	0.000000
SERPINE1	2.238000	7.810042	0.000000	0.000000
AC068580.4	2.230667	7.781839	0.000000	0.000000
SLC9A5	2.224111	7.756628	0.000000	0.000000
TUFT1	2.170333	7.549810	0.000000	0.000000
PGP	2.125000	7.375467	0.000000	0.000000
ABHD14A-ACY1	2.115000	7.337009	0.000000	0.000000
RPL35	2.107111	7.306670	0.000000	0.000000
ATP1B2	2.099389	7.276972	0.000000	0.000000
COL16A1	2.076500	7.188946	0.000000	0.000000
CKS1B	2.057556	7.116089	0.000000	0.000000
RDH5	2.057167	7.114594	0.000000	0.000000
PIK3R2	2.057167	7.114594	0.000000	0.000000
PRR14	2.031778	7.016953	0.000000	0.000000
AL021546.1	2.023222	6.984050	0.000000	0.000000
KCNN3	2.015833	6.955634	0.000000	0.000000
RTF1	1.986278	6.841969	0.000000	0.000000
MAGI1	1.956056	6.725741	0.000000	0.000000
ATXN7L3	1.949722	6.701384	0.000000	0.000000
AC007192.1	1.944278	6.680446	0.000000	0.000000
CTSW	1.943778	6.678523	0.000000	0.000000
ANGPTL2	1.934333	6.642202	0.000000	0.000000
TMEM139	1.879444	6.431110	0.000000	0.000000
GALT	1.864833	6.374919	0.000000	0.000000
BBC3	1.858167	6.349280	0.000000	0.000000
LARP4	1.839278	6.276637	0.000000	0.000000
MAP1LC3B	1.837889	6.271296	0.000000	0.000000
SCX	1.812889	6.175151	0.000000	0.000001
ILK	1.808389	6.157845	0.000000	0.000001
GADD45GIP1	1.805556	6.146948	0.000000	0.000001
POLG2	1.800000	6.125583	0.000000	0.000001
AC120114.4	1.777333	6.038412	0.000000	0.000001
UNC93B1	1.771944	6.017687	0.000000	0.000001
SF3B6	1.767833	6.001876	0.000000	0.000002
CRIP2	1.766611	5.997176	0.000000	0.000002
MAPKAPK2	1.741389	5.900177	0.000000	0.000003
HIST1H2BG	1.724500	5.835225	0.000000	0.000004
DKK4	1.716611	5.804886	0.000000	0.000005
WDR46	1.710833	5.782666	0.000000	0.000005
CABP1	1.710111	5.779889	0.000000	0.000005
PPM1N	1.704944	5.760019	0.000000	0.000006
LYPLA2	1.704611	5.758737	0.000000	0.000006
NTMT1	1.701778	5.747840	0.000000	0.000006
RARA	1.694889	5.721347	0.000000	0.000007
RRP8	1.682389	5.673275	0.000000	0.000009
Z84492.1	1.679389	5.661737	0.000000	0.000010
EIF3E	1.675611	5.647209	0.000000	0.000011
GGA3	1.673444	5.638876	0.000000	0.000011
STEAP3	1.668056	5.618151	0.000000	0.000012
KIAA2013	1.659556	5.585462	0.000000	0.000015
COL8A2	1.655000	5.567942	0.000000	0.000016
METTL27	1.652944	5.560037	0.000000	0.000016
RBPJ	1.629389	5.469447	0.000000	0.000027
NCKIPSD	1.626667	5.458978	0.000000	0.000028
CARMIL2	1.622444	5.442740	0.000000	0.000030
NPRL2	1.614611	5.412615	0.000000	0.000035
BCL2L2	1.610611	5.397232	0.000000	0.000038
COL11A2	1.599167	5.353219	0.000000	0.000048
COL27A1	1.592222	5.326512	0.000000	0.000054
LSM2	1.583722	5.293823	0.000000	0.000064
PDLIM4	1.576722	5.266902	0.000000	0.000073
FAM228B	1.573667	5.255151	0.000000	0.000077
EIF5A	1.570111	5.241477	0.000000	0.000082
ARPC5L	1.569278	5.238272	0.000000	0.000083
GPR19	1.566333	5.226949	0.000000	0.000087
F2RL3	1.561778	5.209429	0.000001	0.000094
FAF1	1.556278	5.188277	0.000001	0.000104
CDH16	1.542944	5.137000	0.000001	0.000134
CD68	1.542111	5.133795	0.000001	0.000135
TUBG2	1.537722	5.116916	0.000001	0.000146
NKIRAS2	1.534944	5.106233	0.000001	0.000153
NDUFS8	1.533667	5.101319	0.000001	0.000156
NAT14	1.522500	5.058374	0.000001	0.000192
HOXA3	1.513167	5.022480	0.000001	0.000228
MED22	1.511833	5.017353	0.000001	0.000232
RPL7A	1.511167	5.014789	0.000001	0.000233
SLC23A3	1.509111	5.006883	0.000001	0.000241
PRELID1	1.506833	4.998124	0.000002	0.000247
ARFGAP2	1.506778	4.997910	0.000002	0.000247
CFAP157	1.503833	4.986586	0.000002	0.000260
STX5	1.497778	4.963298	0.000002	0.000289
SRP14	1.494167	4.949410	0.000002	0.000307
EDN2	1.493333	4.946205	0.000002	0.000310
PROCA1	1.491889	4.940650	0.000002	0.000316
CYB561D2	1.490611	4.935736	0.000002	0.000321
C11orf52	1.487778	4.924840	0.000002	0.000336
SNRPG	1.478389	4.888732	0.000003	0.000398
MRGBP	1.476389	4.881040	0.000003	0.000410
ANKRD60	1.472167	4.864803	0.000003	0.000441
TMEM265	1.462000	4.825704	0.000004	0.000528
FPGS	1.453389	4.792587	0.000004	0.000615
ANKRD52	1.448556	4.773999	0.000004	0.000667
RAB24	1.447778	4.771008	0.000005	0.000672
TBC1D10B	1.447056	4.768230	0.000005	0.000676
PPP1R10	1.442611	4.751138	0.000005	0.000728
SH3GLB2	1.441944	4.748574	0.000005	0.000731
HIST1H2AE	1.438667	4.735968	0.000005	0.000767
APOM	1.438556	4.735541	0.000005	0.000767
TIMP2	1.428667	4.697511	0.000006	0.000911
REN	1.426167	4.687896	0.000007	0.000946
TEX264	1.414833	4.644310	0.000008	0.001151
CYC1	1.412778	4.636405	0.000009	0.001186
TBX3	1.391778	4.555643	0.000012	0.001707
C19orf81	1.391389	4.554148	0.000013	0.001707
CERCAM	1.388889	4.544533	0.000013	0.001771
PEX12	1.368167	4.464840	0.000019	0.002519
ARRDC5	1.364111	4.449243	0.000020	0.002683
GSK3A	1.352722	4.405444	0.000024	0.003235
ACBD7	1.351556	4.400957	0.000025	0.003278
UHRF1	1.350778	4.397966	0.000025	0.003299
