g.name	raw.score	z.score	p.value	q.value
PDE4A	9.363802	18.999383	0.000000	0.000000
SEPT5	8.788035	17.769322	0.000000	0.000000
VGF	8.496451	17.146385	0.000000	0.000000
ARVCF	8.096044	16.290961	0.000000	0.000000
EGR1	8.068099	16.231261	0.000000	0.000000
GP1BB	8.021817	16.132382	0.000000	0.000000
TMC6	6.467940	12.812699	0.000000	0.000000
C6orf47	6.370535	12.604604	0.000000	0.000000
TGFBR3L	6.327600	12.512879	0.000000	0.000000
DCDC2B	6.052744	11.925680	0.000000	0.000000
LIN7B	6.039633	11.897671	0.000000	0.000000
CCDC116	6.023941	11.864145	0.000000	0.000000
TANGO2	5.956497	11.720060	0.000000	0.000000
MIDN	5.837634	11.466122	0.000000	0.000000
CALML6	5.828923	11.447513	0.000000	0.000000
GPR84	5.632359	11.027574	0.000000	0.000000
PTPN7	5.629331	11.021107	0.000000	0.000000
P2RX6	5.336488	10.395481	0.000000	0.000000
EHMT2	5.274309	10.262642	0.000000	0.000000
MUC12	5.172098	10.044279	0.000000	0.000000
TMEM91	5.138953	9.973469	0.000000	0.000000
TSC22D4	5.068788	9.823568	0.000000	0.000000
AC011462.1	5.030828	9.742471	0.000000	0.000000
RCC1	4.900250	9.463508	0.000000	0.000000
MEF2D	4.811529	9.273965	0.000000	0.000000
C2	4.760912	9.165827	0.000000	0.000000
HIST1H4B	4.755538	9.154345	0.000000	0.000000
PRRT2	4.689659	9.013602	0.000000	0.000000
SNX11	4.662358	8.955276	0.000000	0.000000
SEPT5-GP1BB	4.655476	8.940574	0.000000	0.000000
HIVEP1	4.633729	8.894114	0.000000	0.000000
SDF2L1	4.494003	8.595605	0.000000	0.000000
CTNNB1	4.453541	8.509163	0.000000	0.000000
TMUB1	4.285603	8.150382	0.000000	0.000000
AP3D1	4.261512	8.098916	0.000000	0.000000
CDC37	4.102669	7.759565	0.000000	0.000000
LRRC24	4.096018	7.745356	0.000000	0.000000
ICAM4	4.084660	7.721091	0.000000	0.000000
DDAH2	4.028823	7.601800	0.000000	0.000000
CXXC5	4.003922	7.548602	0.000000	0.000000
CLIC1	3.998875	7.537820	0.000000	0.000000
SCGB3A1	3.937092	7.405827	0.000000	0.000000
FCN3	3.801554	7.116266	0.000000	0.000000
SEPT1	3.793932	7.099982	0.000000	0.000000
MSH5	3.781629	7.073699	0.000000	0.000000
RHOF	3.765582	7.039415	0.000000	0.000000
FIBCD1	3.755666	7.018232	0.000000	0.000000
FAM89B	3.738980	6.982584	0.000000	0.000000
FTH1	3.700402	6.900166	0.000000	0.000000
HSD17B1	3.696075	6.890923	0.000000	0.000000
ZFP36	3.682919	6.862815	0.000000	0.000000
MYADM	3.673375	6.842427	0.000000	0.000000
TMEM120A	3.665715	6.826062	0.000000	0.000000
FAM83E	3.629066	6.747766	0.000000	0.000000
TNFRSF12A	3.622071	6.732820	0.000000	0.000000
RANBP1	3.620207	6.728838	0.000000	0.000000
UNC45A	3.590494	6.665361	0.000000	0.000000
BRD2	3.585738	6.655199	0.000000	0.000000
MSH5-SAPCD1	3.575747	6.633856	0.000000	0.000000
C17orf53	3.574280	6.630722	0.000000	0.000000
PAQR7	3.560720	6.601752	0.000000	0.000000
KCNN1	3.555653	6.590927	0.000000	0.000000
FLNA	3.551211	6.581436	0.000000	0.000000
CIRBP	3.546392	6.571142	0.000000	0.000000
FKBP5	3.525048	6.525542	0.000000	0.000000
BCR	3.484654	6.439246	0.000000	0.000000
CUTA	3.483988	6.437823	0.000000	0.000000
CDK4	3.464475	6.396134	0.000000	0.000000
PARP16	3.462558	6.392040	0.000000	0.000000
CHMP2A	3.460371	6.387366	0.000000	0.000000
NAB1	3.441424	6.346890	0.000000	0.000000
SSBP4	3.420322	6.301806	0.000000	0.000000
RTN2	3.413904	6.288097	0.000000	0.000000
C19orf24	3.406430	6.272128	0.000000	0.000000
CDKN1A	3.398731	6.255679	0.000000	0.000000
HIST1H3D	3.376056	6.207237	0.000000	0.000000
FOXP3	3.374186	6.203242	0.000000	0.000000
STX10	3.373004	6.200718	0.000000	0.000000
ID1	3.355469	6.163255	0.000000	0.000001
ZBTB22	3.351695	6.155194	0.000000	0.000001
LY6G5B	3.314917	6.076620	0.000000	0.000001
RBMX	3.305583	6.056680	0.000000	0.000001
MUS81	3.296023	6.036256	0.000000	0.000001
SH3BGRL3	3.264713	5.969365	0.000000	0.000002
FAM78A	3.251971	5.942144	0.000000	0.000002
RASSF1	3.241716	5.920235	0.000000	0.000002
IER2	3.234945	5.905771	0.000000	0.000002
HOXB4	3.228231	5.891427	0.000000	0.000003
ABCC11	3.220430	5.874760	0.000000	0.000003
SPDEF	3.201123	5.833513	0.000000	0.000004
BIN3	3.182459	5.793639	0.000000	0.000004
USP15	3.181105	5.790746	0.000000	0.000005
HSPA1B	3.156763	5.738743	0.000000	0.000006
BCL2L2	3.136354	5.695142	0.000000	0.000008
DKKL1	3.131932	5.685695	0.000000	0.000008
BCL7B	3.130966	5.683631	0.000000	0.000008
UBC	3.123338	5.667333	0.000000	0.000009
CBARP	3.119382	5.658883	0.000000	0.000009
CPSF1	3.113844	5.647052	0.000000	0.000010
FSTL3	3.100432	5.618398	0.000000	0.000011
CYSRT1	3.084114	5.583537	0.000000	0.000013
AGAP2	3.067072	5.547128	0.000000	0.000016
KDM6B	3.057357	5.526372	0.000000	0.000018
SP6	3.056075	5.523635	0.000000	0.000018
UTP11	3.042021	5.493609	0.000000	0.000021
PPIL2	3.040206	5.489732	0.000000	0.000021
MCEMP1	3.031019	5.470105	0.000000	0.000024
AC073111.5	3.030433	5.468853	0.000000	0.000024
PRCC	3.008724	5.422474	0.000000	0.000030
DNAJC4	3.003905	5.412179	0.000000	0.000032
PTX4	2.992501	5.387817	0.000000	0.000036
ZNF394	2.981039	5.363329	0.000000	0.000040
HADHB	2.978784	5.358511	0.000000	0.000041
SLC52A2	2.972151	5.344340	0.000000	0.000044
RAD1	2.962725	5.324202	0.000000	0.000048
MANF	2.946577	5.289703	0.000000	0.000058
HIST1H4I	2.938864	5.273226	0.000000	0.000062
E2F3	2.937554	5.270427	0.000000	0.000063
PPP1R14B	2.927116	5.248128	0.000000	0.000070
GAS2L1	2.923731	5.240896	0.000000	0.000072
VAMP2	2.922627	5.238537	0.000000	0.000072
HOMEZ	2.885264	5.158716	0.000001	0.000108
PNRC2	2.878536	5.144342	0.000001	0.000116
SLC2A1	2.877496	5.142120	0.000001	0.000116
FXYD1	2.873736	5.134087	0.000001	0.000120
EPAS1	2.869864	5.125816	0.000001	0.000124
SSUH2	2.869229	5.124459	0.000001	0.000124
LRRC14	2.863652	5.112544	0.000001	0.000130
ARID1B	2.863301	5.111795	0.000001	0.000130
STRIP2	2.857539	5.099484	0.000001	0.000138
JADE1	2.849899	5.083163	0.000001	0.000149
NBEAL2	2.832743	5.046511	0.000001	0.000178
POLR3G	2.828526	5.037501	0.000001	0.000183
GPR108	2.828508	5.037464	0.000001	0.000183
B3GNT9	2.811582	5.001302	0.000001	0.000218
YDJC	2.809097	4.995994	0.000002	0.000222
KLF16	2.787185	4.949181	0.000002	0.000278
AC074143.1	2.785760	4.946136	0.000002	0.000281
LAMC3	2.778821	4.931312	0.000002	0.000300
TNFSF14	2.771090	4.914796	0.000002	0.000322
CFD	2.770638	4.913830	0.000002	0.000322
SCARF1	2.764159	4.899990	0.000002	0.000342
MAST1	2.743685	4.856247	0.000003	0.000421
HIST1H2AG	2.730225	4.827492	0.000003	0.000480
ZFC3H1	2.726652	4.819859	0.000004	0.000494
CTRL	2.726147	4.818781	0.000004	0.000494
MAZ	2.725345	4.817067	0.000004	0.000495
POLR2E	2.710537	4.785432	0.000004	0.000572
SLC4A2	2.708135	4.780299	0.000004	0.000582
FSCN1	2.704080	4.771636	0.000005	0.000603
HIST1H2BO	2.697218	4.756976	0.000005	0.000641
TUBGCP2	2.696717	4.755906	0.000005	0.000641
HIST1H2AC	2.695294	4.752865	0.000005	0.000646
EGFL8	2.686431	4.733930	0.000005	0.000702
JUNB	2.679787	4.719737	0.000006	0.000746
CHRM4	2.678963	4.717977	0.000006	0.000748
HIST1H3B	2.658152	4.673516	0.000007	0.000915
CD68	2.653244	4.663032	0.000008	0.000955
CNN2	2.640399	4.635590	0.000009	0.001073
POLR3A	2.640218	4.635202	0.000009	0.001073
AIF1L	2.639169	4.632962	0.000009	0.001078
ISYNA1	2.637343	4.629060	0.000009	0.001091
BSDC1	2.636644	4.627566	0.000009	0.001092
CLDN9	2.621509	4.595233	0.000010	0.001259
CBX4	2.616344	4.584198	0.000011	0.001317
HIST1H2BJ	2.615006	4.581340	0.000011	0.001326
USP41	2.609207	4.568951	0.000012	0.001395
LLGL2	2.589090	4.525972	0.000014	0.001686
AL603832.3	2.585615	4.518550	0.000015	0.001733
AC009133.6	2.578941	4.504290	0.000016	0.001838
IGF2BP3	2.577455	4.501116	0.000016	0.001853
JSRP1	2.572995	4.491588	0.000017	0.001923
VCL	2.572063	4.489597	0.000017	0.001929
FARSA	2.571189	4.487729	0.000017	0.001934
IL17C	2.568866	4.482766	0.000017	0.001967
JADE2	2.566326	4.477342	0.000018	0.002003
ANKRD13B	2.558962	4.461608	0.000019	0.002137
MLLT10	2.555856	4.454973	0.000020	0.002189
DDX39B	2.542244	4.425892	0.000022	0.002477
TBX1	2.535423	4.411319	0.000024	0.002627
ADAMTSL4	2.530025	4.399787	0.000025	0.002749
CDK5	2.520416	4.379260	0.000027	0.002991
PDGFA	2.515393	4.368527	0.000029	0.003118
SMIM24	2.507214	4.351055	0.000031	0.003346
AC005837.2	2.499019	4.333547	0.000033	0.003591
JARID2	2.497943	4.331247	0.000034	0.003608
TRPM4	2.477461	4.287491	0.000041	0.004333
ZNF696	2.473816	4.279704	0.000042	0.004456
TCAP	2.471554	4.274870	0.000043	0.004517
FIZ1	2.471184	4.274080	0.000043	0.004517
HLA-DMA	2.470071	4.271702	0.000044	0.004539
GPANK1	2.467827	4.266909	0.000044	0.004608
PDXK	2.462983	4.256561	0.000046	0.004791
TRPT1	2.462268	4.255033	0.000047	0.004798
HIST1H2BC	2.458579	4.247152	0.000048	0.004936
CBX8	2.455102	4.239722	0.000050	0.005052
GABARAP	2.454883	4.239254	0.000050	0.005052
SMAD3	2.452781	4.234764	0.000051	0.005123
U2AF2	2.435443	4.197724	0.000060	0.005959
NR4A2	2.430501	4.187166	0.000062	0.006198
MOV10	2.422646	4.170385	0.000067	0.006615
RNPEPL1	2.412942	4.149654	0.000073	0.007175
AC007731.5	2.409319	4.141913	0.000075	0.007372
CASS4	2.407861	4.138797	0.000076	0.007431
WDR46	2.405176	4.133061	0.000078	0.007573
THSD8	2.397087	4.115781	0.000084	0.008093
CCDC153	2.392536	4.106059	0.000087	0.008382
HIST1H3E	2.390138	4.100935	0.000089	0.008519
JUND	2.383393	4.086525	0.000094	0.008993
KAZALD1	2.379030	4.077205	0.000098	0.009297
LIME1	2.375005	4.068605	0.000101	0.009583
PAGR1	2.370417	4.058804	0.000106	0.009926
