g.name	raw.score	z.score	p.value	q.value
HIST1H3C	8.120390	7.337548	0.000000	0.000000
VAMP2	7.846901	7.020277	0.000000	0.000000
RASSF4	6.971247	6.004440	0.000000	0.000039
CFLAR	6.580170	5.550756	0.000000	0.000405
NINJ2	6.399246	5.340869	0.000000	0.001017
IRF8	6.323642	5.253161	0.000000	0.001349
NXPE4	6.199634	5.109300	0.000001	0.002436
SLC39A1	6.101262	4.995180	0.000002	0.003482
ERAP2	6.095716	4.988746	0.000002	0.003482
NBPF1	6.003498	4.881765	0.000003	0.005313
TRMT11	5.972089	4.845328	0.000003	0.005767
SART3	5.799368	4.644956	0.000008	0.013645
SPRR2F	5.769676	4.610511	0.000010	0.013645
TAPBPL	5.765802	4.606017	0.000010	0.013645
STAT1	5.758226	4.597227	0.000010	0.013645
MMADHC	5.723439	4.556872	0.000012	0.014768
TOM1	5.719737	4.552577	0.000013	0.014768
SMG9	5.708196	4.539188	0.000013	0.014823
AMPD3	5.689527	4.517531	0.000015	0.015467
SLC35B2	5.680010	4.506490	0.000016	0.015467
SUPT5H	5.656090	4.478741	0.000018	0.016686
LGALS2	5.641937	4.462322	0.000019	0.017141
DNAJC18	5.624079	4.441605	0.000021	0.017979
AFTPH	5.582166	4.392983	0.000026	0.021358
RPS16	5.538485	4.342308	0.000032	0.025584
PRRT2	5.515049	4.315120	0.000036	0.027199
DDX39B	5.510774	4.310162	0.000037	0.027199
RBM38	5.503674	4.301925	0.000038	0.027199
LAMC1	5.496437	4.293530	0.000040	0.027225
AC022167.5	5.487187	4.282799	0.000041	0.027557
FCRL5	5.467865	4.260383	0.000046	0.029167
CCNB1IP1	5.462688	4.254377	0.000047	0.029167
PAOX	5.440835	4.229026	0.000052	0.031494
