g.name	raw.score	z.score	p.value	q.value
BMP7	57.449420	34.404098	0.000000	0.000000
RASEF	34.776185	20.407536	0.000000	0.000000
NACA2	33.642741	19.707842	0.000000	0.000000
FBLIM1	33.042812	19.337496	0.000000	0.000000
TBX2	32.881678	19.238025	0.000000	0.000000
NBPF1	32.483643	18.992312	0.000000	0.000000
ZNF217	32.445309	18.968647	0.000000	0.000000
RIPOR3	30.074137	17.504884	0.000000	0.000000
PFDN4	29.572939	17.195486	0.000000	0.000000
BCAS4	28.824899	16.733709	0.000000	0.000000
HEATR6	28.362492	16.448257	0.000000	0.000000
PARD6B	28.046298	16.253065	0.000000	0.000000
APPBP2	27.795235	16.098080	0.000000	0.000000
USP32	27.752772	16.071867	0.000000	0.000000
CYP24A1	25.579958	14.730553	0.000000	0.000000
BRIP1	25.112317	14.441871	0.000000	0.000000
PPM1D	23.617821	13.519294	0.000000	0.000000
TUBD1	23.548529	13.476518	0.000000	0.000000
RPS6KB1	22.989334	13.131318	0.000000	0.000000
LURAP1L	22.786511	13.006112	0.000000	0.000000
TBX4	22.744899	12.980424	0.000000	0.000000
RNFT1	22.376606	12.753071	0.000000	0.000000
PDCD6IP	22.264030	12.683576	0.000000	0.000000
SELPLG	21.011658	11.910466	0.000000	0.000000
PSMD6	19.102484	10.731902	0.000000	0.000000
ZNF91	18.959891	10.643877	0.000000	0.000000
RALGAPA2	18.577303	10.407698	0.000000	0.000000
SULF2	18.089094	10.106319	0.000000	0.000000
BCAS1	17.074272	9.479853	0.000000	0.000000
DOK5	16.592772	9.182615	0.000000	0.000000
SMS	16.443465	9.090446	0.000000	0.000000
RAD51C	16.405925	9.067271	0.000000	0.000000
KCNQ2	16.189969	8.933958	0.000000	0.000000
TRIM37	16.124490	8.893537	0.000000	0.000000
AC005702.1	15.747896	8.661059	0.000000	0.000000
C17orf64	15.554989	8.541974	0.000000	0.000000
NCOA3	15.408932	8.451811	0.000000	0.000000
CA4	15.204139	8.325389	0.000000	0.000000
PPM1E	15.155857	8.295583	0.000000	0.000000
BHLHE23	15.104459	8.263855	0.000000	0.000000
MPO	14.873973	8.121572	0.000000	0.000000
SMIM15	14.862424	8.114442	0.000000	0.000000
PRICKLE2	14.690697	8.008432	0.000000	0.000000
BCAS3	14.436682	7.851625	0.000000	0.000000
ACTR8	13.935346	7.542142	0.000000	0.000000
ZMYND8	13.876444	7.505781	0.000000	0.000000
RSBN1	13.781443	7.447135	0.000000	0.000000
NUPL2	13.609510	7.340998	0.000000	0.000000
PSAP	13.486650	7.265154	0.000000	0.000000
DCLRE1B	13.202972	7.090035	0.000000	0.000000
CORT	12.828884	6.859105	0.000000	0.000000
ATXN7	12.480381	6.643968	0.000000	0.000000
THOC7	12.387899	6.586877	0.000000	0.000000
TM4SF1	11.707894	6.167099	0.000000	0.000001
OR1C1	11.686438	6.153854	0.000000	0.000001
AP4B1	11.649067	6.130784	0.000000	0.000001
TRIM33	11.607510	6.105131	0.000000	0.000001
STX5	11.547808	6.068276	0.000000	0.000001
SCNM1	11.543136	6.065391	0.000000	0.000001
C3orf14	11.507380	6.043319	0.000000	0.000002
BCAS2	11.462034	6.015326	0.000000	0.000002
LAMTOR1	11.367565	5.957008	0.000000	0.000002
PREX1	11.358403	5.951353	0.000000	0.000003
NTNG1	11.320742	5.928104	0.000000	0.000003
TNFAIP8L2	11.220246	5.866066	0.000000	0.000004
NRARP	10.745584	5.573049	0.000000	0.000021
GALK1	10.499787	5.421315	0.000000	0.000049
ADAMTS9	10.487394	5.413665	0.000000	0.000050
SALL4	10.409391	5.365512	0.000000	0.000064
OLFML3	10.279753	5.285484	0.000000	0.000096
NRAS	10.261887	5.274455	0.000000	0.000100
LAMB1	10.201642	5.237265	0.000000	0.000120
AADACL4	10.193277	5.232101	0.000000	0.000122
TEX14	10.096781	5.172533	0.000001	0.000164
C3orf49	10.089156	5.167826	0.000001	0.000166
CD63	10.079201	5.161680	0.000001	0.000169
HIPK1	9.892758	5.046586	0.000001	0.000301
SNTN	9.864120	5.028907	0.000001	0.000324
AC011195.2	9.825123	5.004834	0.000001	0.000361
THEM5	9.789619	4.982916	0.000002	0.000398
SYNPR	9.749459	4.958125	0.000002	0.000445
ZBP1	9.311667	4.687869	0.000007	0.001619
LIMD2	9.260660	4.656381	0.000008	0.001853
INTS1	9.173493	4.602572	0.000010	0.002349
NCR1	9.084085	4.547378	0.000013	0.002989
EPB41L5	8.950900	4.465162	0.000019	0.004280
DENND2C	8.928405	4.451274	0.000020	0.004501
LAMA5	8.850160	4.402973	0.000025	0.005512
PRMT6	8.807224	4.376467	0.000028	0.006123
PTPN22	8.770402	4.353737	0.000031	0.006688
ALAD	8.677378	4.296311	0.000039	0.008480
CADPS	8.587373	4.240750	0.000050	0.010634
DLGAP2	8.510108	4.193053	0.000061	0.012865
MYL12A	8.499748	4.186657	0.000062	0.013075
CA5A	8.462533	4.163684	0.000069	0.014242
SPIRE2	8.453103	4.157863	0.000070	0.014398
BAZ2A	8.450259	4.156107	0.000071	0.014398
HIST1H3C	8.400642	4.125478	0.000080	0.016163
ATXN7	8.397094	4.123288	0.000081	0.016163
FUT8	8.391900	4.120082	0.000082	0.016216
EVL	8.364101	4.102921	0.000088	0.017231
FEZF2	8.144205	3.967175	0.000153	0.029509
GPD1L	8.057102	3.913405	0.000189	0.036121
INTS8	7.964913	3.856495	0.000235	0.044630
