g.name	raw.score	z.score	p.value	q.value
PEX16	3.861134	15.273395	0.000000	0.000000
YDJC	3.059690	11.750465	0.000000	0.000000
SDF2L1	3.027213	11.607706	0.000000	0.000000
NUP214	2.992301	11.454242	0.000000	0.000000
PUS10	2.981069	11.404871	0.000000	0.000000
BCR	2.954023	11.285983	0.000000	0.000000
NDUFA5	2.530102	9.422541	0.000000	0.000000
PCNX3	2.528366	9.414910	0.000000	0.000000
ZNF280A	2.437269	9.014471	0.000000	0.000000
TMEM167B	2.417963	8.929609	0.000000	0.000000
GNAZ	2.386333	8.790574	0.000000	0.000000
C8G	2.381963	8.771363	0.000000	0.000000
ZNF280B	2.293583	8.382871	0.000000	0.000000
AIF1L	2.257991	8.226415	0.000000	0.000000
PI4KA	2.172838	7.852107	0.000000	0.000000
RSPH14	2.147264	7.739690	0.000000	0.000000
PPIL2	2.136069	7.690483	0.000000	0.000000
SNAP29	2.084019	7.461681	0.000000	0.000000
CRKL	2.038921	7.263446	0.000000	0.000000
RAB36	2.015167	7.159027	0.000000	0.000000
DGCR8	2.005000	7.114337	0.000000	0.000000
PRAME	1.984148	7.022678	0.000000	0.000000
RASAL2	1.955972	6.898825	0.000000	0.000000
KLHDC10	1.952523	6.883663	0.000000	0.000000
IGLL5	1.940250	6.829714	0.000000	0.000000
GORASP1	1.932458	6.795464	0.000000	0.000000
TOP3B	1.927111	6.771959	0.000000	0.000000
CDC45	1.893269	6.623196	0.000000	0.000000
RTL10	1.887356	6.597209	0.000000	0.000000
GNB1L	1.880032	6.565014	0.000000	0.000000
COMT	1.875148	6.543544	0.000000	0.000000
MAPK1	1.855560	6.457441	0.000000	0.000000
YPEL1	1.838671	6.383202	0.000000	0.000000
TXNRD2	1.836125	6.372009	0.000000	0.000000
THAP7	1.822731	6.313135	0.000000	0.000000
ARVCF	1.800338	6.214699	0.000000	0.000001
CCDC12	1.793986	6.186778	0.000000	0.000001
VPS72	1.792954	6.182240	0.000000	0.000001
IKZF4	1.784171	6.143635	0.000000	0.000001
SEPT5-GP1BB	1.779856	6.124668	0.000000	0.000001
HSPA1B	1.749111	5.989520	0.000000	0.000003
FAM78A	1.745431	5.973341	0.000000	0.000003
RANBP1	1.737907	5.940271	0.000000	0.000004
CCDC116	1.729176	5.901890	0.000000	0.000005
TANGO2	1.723421	5.876594	0.000000	0.000005
KLHL22	1.710519	5.819877	0.000000	0.000007
CLTCL1	1.689639	5.728096	0.000000	0.000012
DYNLRB1	1.663403	5.612770	0.000000	0.000023
MED15	1.661699	5.605281	0.000000	0.000024
SLC25A1	1.650009	5.553895	0.000000	0.000031
LY6G5B	1.646426	5.538144	0.000000	0.000033
PPM1F	1.639222	5.506478	0.000000	0.000039
C6orf47	1.623079	5.435516	0.000000	0.000057
UFD1	1.615032	5.400147	0.000000	0.000067
CCDC59	1.605630	5.358815	0.000000	0.000082
PSMD5	1.604088	5.352038	0.000000	0.000084
TRMT2A	1.598602	5.327922	0.000000	0.000094
QRFP	1.596519	5.318765	0.000000	0.000097
TPK1	1.593227	5.304295	0.000000	0.000103
ESRP2	1.556282	5.141898	0.000001	0.000237
CSNK2B	1.554278	5.133086	0.000001	0.000243
LAMC3	1.548088	5.105877	0.000001	0.000275
HIRA	1.535921	5.052396	0.000001	0.000356
USP41	1.516583	4.967391	0.000002	0.000536
C22orf39	1.495782	4.875956	0.000003	0.000819
CARF	1.495611	4.875203	0.000003	0.000819
GP1BB	1.490171	4.851291	0.000003	0.000906
ST7	1.486227	4.833953	0.000003	0.000971
SSMEM1	1.483301	4.821091	0.000004	0.001019
WDR60	1.470889	4.766531	0.000005	0.001305
SERPIND1	1.462741	4.730714	0.000006	0.001525
PSD	1.454477	4.694388	0.000007	0.001785
DDAH2	1.451139	4.679716	0.000007	0.001886
KMT2E	1.444449	4.650309	0.000008	0.002135
MRPL40	1.439782	4.629796	0.000009	0.002317
ZNF74	1.426241	4.570270	0.000012	0.003008
CDK5	1.422389	4.553338	0.000013	0.003208
GPANK1	1.416713	4.528389	0.000014	0.003547
GPC6	1.398935	4.450242	0.000020	0.004974
SEPT5	1.394778	4.431968	0.000022	0.005328
DGCR2	1.387495	4.399956	0.000025	0.006062
SLC27A4	1.381972	4.375678	0.000028	0.006663
CALU	1.377130	4.354391	0.000030	0.007224
HIST1H4B	1.374472	4.342710	0.000032	0.007511
LZTR1	1.360944	4.283246	0.000041	0.009595
