g.name	raw.score	z.score	p.value	q.value
CD74	11.254755	20.459189	0.000000	0.000000
HIST1H4I	10.855357	19.690807	0.000000	0.000000
DUSP2	10.822930	19.628423	0.000000	0.000000
PARP16	9.703042	17.473929	0.000000	0.000000
CCR7	8.846175	15.825447	0.000000	0.000000
PTPN6	7.444804	13.129423	0.000000	0.000000
TMEM107	6.913720	12.107699	0.000000	0.000000
CNN2	6.732119	11.758325	0.000000	0.000000
UNK	6.426832	11.171000	0.000000	0.000000
TSPOAP1	6.331622	10.987831	0.000000	0.000000
PKM	6.323825	10.972830	0.000000	0.000000
ZFP36	6.250909	10.832551	0.000000	0.000000
RFTN1	5.742035	9.853554	0.000000	0.000000
AD000671.1	5.611545	9.602512	0.000000	0.000000
H2AFJ	5.583497	9.548550	0.000000	0.000000
CFL1	5.580196	9.542200	0.000000	0.000000
PLEKHG2	5.490993	9.370588	0.000000	0.000000
ENO3	5.299189	9.001586	0.000000	0.000000
MUS81	5.054042	8.529960	0.000000	0.000000
PFKFB4	5.050531	8.523207	0.000000	0.000000
U2AF1L4	5.046343	8.515148	0.000000	0.000000
TYMP	5.034000	8.491403	0.000000	0.000000
AD000671.2	5.009448	8.444168	0.000000	0.000000
UQCC3	5.000084	8.426153	0.000000	0.000000
HIST1H3I	4.912587	8.257823	0.000000	0.000000
PDE2A	4.809105	8.058739	0.000000	0.000000
RPL35	4.395867	7.263732	0.000000	0.000000
PFN1	4.348294	7.172208	0.000000	0.000000
HIST1H2BM	4.317790	7.113524	0.000000	0.000000
CREBL2	4.282524	7.045678	0.000000	0.000000
DUSP22	4.273804	7.028902	0.000000	0.000000
CBX8	4.271434	7.024341	0.000000	0.000000
MTERF4	4.244944	6.973379	0.000000	0.000000
SLC35G6	4.242196	6.968092	0.000000	0.000000
HIST1H3B	4.242161	6.968025	0.000000	0.000000
LY6G5B	4.232413	6.949270	0.000000	0.000000
ARPC5L	4.175692	6.840149	0.000000	0.000000
IRF5	4.168392	6.826104	0.000000	0.000000
C12orf57	4.111825	6.717279	0.000000	0.000000
ARHGDIA	4.086427	6.668416	0.000000	0.000000
ACTR3	4.076049	6.648451	0.000000	0.000000
RHOH	4.072587	6.641791	0.000000	0.000000
ZFP36L1	4.066545	6.630167	0.000000	0.000000
UBC	4.064399	6.626037	0.000000	0.000000
NDUFV1	4.046343	6.591300	0.000000	0.000000
HIST1H2AJ	4.025336	6.550886	0.000000	0.000000
IL21R	3.961629	6.428325	0.000000	0.000000
CSK	3.890035	6.290588	0.000000	0.000000
