g.name	raw.score	z.score	p.value	q.value
DUSP1	11.944107	35.896810	0.000000	0.000000
ZFP36	6.963010	20.304021	0.000000	0.000000
ID1	6.587862	19.129659	0.000000	0.000000
DDIT4	5.796746	16.653157	0.000000	0.000000
KRT86	5.703098	16.360000	0.000000	0.000000
PLEKHG2	5.582569	15.982700	0.000000	0.000000
FTH1	5.556706	15.901737	0.000000	0.000000
KRT7	4.310831	12.001661	0.000000	0.000000
AKR1B10	4.148567	11.493708	0.000000	0.000000
NFKBIA	4.052799	11.193919	0.000000	0.000000
ERRFI1	3.937276	10.832286	0.000000	0.000000
ZFAND5	3.882848	10.661903	0.000000	0.000000
KRT8	3.807642	10.426481	0.000000	0.000000
PYGB	3.647252	9.924395	0.000000	0.000000
CEBPB	3.638132	9.895848	0.000000	0.000000
KRT18	3.603438	9.787240	0.000000	0.000000
MT2A	3.497854	9.456722	0.000000	0.000000
AMIGO2	3.481621	9.405907	0.000000	0.000000
MAT2A	3.478202	9.395203	0.000000	0.000000
RHOB	3.404516	9.164536	0.000000	0.000000
PCED1B	3.399394	9.148505	0.000000	0.000000
KLF6	3.375636	9.074131	0.000000	0.000000
WDR74	3.252055	8.687273	0.000000	0.000000
IGFBP4	3.191902	8.498973	0.000000	0.000000
ANXA2	3.040518	8.025080	0.000000	0.000000
ALDH3A1	3.028133	7.986310	0.000000	0.000000
RPS16	2.918365	7.642694	0.000000	0.000000
UBC	2.880715	7.524836	0.000000	0.000000
SUPT5H	2.850878	7.431432	0.000000	0.000000
TSKU	2.840282	7.398263	0.000000	0.000000
MTUS1	2.730059	7.053221	0.000000	0.000000
PON2	2.663542	6.844998	0.000000	0.000000
ZFP36L2	2.662275	6.841031	0.000000	0.000000
TCIM	2.654982	6.818203	0.000000	0.000000
RCC1	2.617583	6.701128	0.000000	0.000000
ZC3H12A	2.613407	6.688054	0.000000	0.000000
ZFP36L1	2.577524	6.575729	0.000000	0.000000
TRABD2A	2.566501	6.541223	0.000000	0.000000
TMSB10	2.539122	6.455516	0.000000	0.000000
SAT1	2.491832	6.307478	0.000000	0.000000
LDHA	2.457730	6.200726	0.000000	0.000001
