g.name	raw.score	z.score	p.value	q.value
SHARPIN	6.207286	28.770224	0.000000	0.000000
AL928654.3	5.450837	25.204926	0.000000	0.000000
ING1	4.150536	19.076342	0.000000	0.000000
TSKS	3.909531	17.940436	0.000000	0.000000
ATG9B	3.748679	17.182307	0.000000	0.000000
TANGO2	3.457010	15.807615	0.000000	0.000000
THRA	3.253036	14.846241	0.000000	0.000000
KLF5	3.214459	14.664422	0.000000	0.000000
STIP1	3.135862	14.293979	0.000000	0.000000
SNX11	3.072740	13.996470	0.000000	0.000000
TTC9B	3.055051	13.913099	0.000000	0.000000
PITX3	3.039026	13.837567	0.000000	0.000000
SFXN5	3.027668	13.784039	0.000000	0.000000
RBM15	2.975628	13.538760	0.000000	0.000000
BRICD5	2.951821	13.426557	0.000000	0.000000
JOSD1	2.851602	12.954202	0.000000	0.000000
INO80B-WBP1	2.754643	12.497214	0.000000	0.000000
FBXO31	2.747332	12.462755	0.000000	0.000000
MIA-RAB4B	2.743607	12.445200	0.000000	0.000000
MIA	2.743607	12.445200	0.000000	0.000000
DGLUCY	2.673097	12.112871	0.000000	0.000000
HIST1H4G	2.669173	12.094379	0.000000	0.000000
INO80B	2.615872	11.843161	0.000000	0.000000
DNAJC8	2.591867	11.730020	0.000000	0.000000
SPAG8	2.581684	11.682022	0.000000	0.000000
IGF2BP3	2.548546	11.525837	0.000000	0.000000
FBXO24	2.494087	11.269160	0.000000	0.000000
GZF1	2.440699	11.017533	0.000000	0.000000
CREB3L4	2.425077	10.943901	0.000000	0.000000
RING1	2.399413	10.822945	0.000000	0.000000
G3BP1	2.365398	10.662623	0.000000	0.000000
RXRB	2.362878	10.650744	0.000000	0.000000
GSK3B	2.350898	10.594282	0.000000	0.000000
KLF1	2.350811	10.593873	0.000000	0.000000
HIST4H4	2.300311	10.355856	0.000000	0.000000
OVOL3	2.292066	10.316997	0.000000	0.000000
SLC51B	2.267480	10.201114	0.000000	0.000000
HYLS1	2.265474	10.191664	0.000000	0.000000
KAT7	2.259990	10.165813	0.000000	0.000000
CHD2	2.215270	9.955042	0.000000	0.000000
APEX1	2.158724	9.688529	0.000000	0.000000
SRF	2.130755	9.556704	0.000000	0.000000
ZNF143	2.111194	9.464508	0.000000	0.000000
IL11RA	2.107571	9.447434	0.000000	0.000000
P2RX7	2.103276	9.427187	0.000000	0.000000
ARVCF	2.082781	9.330590	0.000000	0.000000
MXI1	2.080638	9.320491	0.000000	0.000000
NOSIP	2.077291	9.304716	0.000000	0.000000
CDK5RAP3	2.038760	9.123113	0.000000	0.000000
SPESP1	2.010010	8.987609	0.000000	0.000000
BCL2L11	2.006429	8.970728	0.000000	0.000000
CIC	1.970699	8.802327	0.000000	0.000000
TBC1D10B	1.954847	8.727613	0.000000	0.000000
OSBPL2	1.953704	8.722226	0.000000	0.000000
FSD2	1.941418	8.664321	0.000000	0.000000
AGAP2	1.934913	8.633661	0.000000	0.000000
CSK	1.905847	8.496666	0.000000	0.000000
AL136295.5	1.904673	8.491135	0.000000	0.000000
TLCD2	1.903883	8.487408	0.000000	0.000000
AC008403.1	1.874944	8.351013	0.000000	0.000000
CORO7-PAM16	1.815352	8.070145	0.000000	0.000000
OSGEP	1.809801	8.043982	0.000000	0.000000
PER1	1.784755	7.925935	0.000000	0.000000
PPM1B	1.779398	7.900686	0.000000	0.000000
STUB1	1.772638	7.868824	0.000000	0.000000
FZD3	1.771250	7.862283	0.000000	0.000000
TMEM150B	1.737097	7.701313	0.000000	0.000000
ETV2	1.721786	7.629148	0.000000	0.000000
CNTD2	1.719939	7.620443	0.000000	0.000000
RASSF7	1.719883	7.620178	0.000000	0.000000
