g.name	raw.score	z.score	p.value	q.value
SEPT5	14.333250	23.789089	0.000000	0.000000
RPL10	14.254306	23.655350	0.000000	0.000000
RAB34	12.905306	21.370030	0.000000	0.000000
CARM1	11.808972	19.512748	0.000000	0.000000
PTPRH	11.230778	18.533238	0.000000	0.000000
PHF1	11.091917	18.297995	0.000000	0.000000
ALAD	10.762889	17.740594	0.000000	0.000000
PMM2	10.226028	16.831106	0.000000	0.000000
MYO1G	9.880361	16.245518	0.000000	0.000000
RPL23A	9.267806	15.207796	0.000000	0.000000
YPEL4	8.977694	14.716324	0.000000	0.000000
ZNF768	8.956083	14.679713	0.000000	0.000000
CCDC116	8.925917	14.628608	0.000000	0.000000
LMOD1	8.844222	14.490210	0.000000	0.000000
UAP1L1	8.832861	14.470964	0.000000	0.000000
PDF	8.470667	13.857376	0.000000	0.000000
SKIDA1	8.377972	13.700343	0.000000	0.000000
CCNL2	8.324972	13.610557	0.000000	0.000000
AC008982.1	8.199778	13.398467	0.000000	0.000000
RDH5	8.126806	13.274846	0.000000	0.000000
ENG	7.871139	12.841725	0.000000	0.000000
LRRC45	7.388083	12.023388	0.000000	0.000000
RPS9	7.328056	11.921695	0.000000	0.000000
ALG9	6.928444	11.244720	0.000000	0.000000
DNLZ	6.912861	11.218321	0.000000	0.000000
SHC1	6.758667	10.957102	0.000000	0.000000
ARVCF	6.744528	10.933150	0.000000	0.000000
AP2S1	6.719139	10.890139	0.000000	0.000000
COL11A2	6.631139	10.741060	0.000000	0.000000
GP1BB	6.605139	10.697013	0.000000	0.000000
CRTC2	6.572750	10.642144	0.000000	0.000000
A1BG	6.385000	10.324079	0.000000	0.000000
SHANK1	6.372333	10.302621	0.000000	0.000000
CUTA	6.339944	10.247751	0.000000	0.000000
TESK2	6.268694	10.127048	0.000000	0.000000
PRR7	6.265500	10.121636	0.000000	0.000000
SYNGAP1	6.184000	9.983568	0.000000	0.000000
NAGA	6.135389	9.901217	0.000000	0.000000
CASKIN1	6.038083	9.736373	0.000000	0.000000
TRIP6	6.034028	9.729503	0.000000	0.000000
CDT1	5.984056	9.644846	0.000000	0.000000
ZBTB11	5.983972	9.644704	0.000000	0.000000
DDAH2	5.976972	9.632846	0.000000	0.000000
SENP3-EIF4A1	5.930750	9.554541	0.000000	0.000000
DIMT1	5.922056	9.539812	0.000000	0.000000
WDR60	5.902333	9.506401	0.000000	0.000000
ITGB2	5.717889	9.193937	0.000000	0.000000
POLR1C	5.670000	9.112809	0.000000	0.000000
TMEM265	5.619444	9.027163	0.000000	0.000000
TBL2	5.555306	8.918507	0.000000	0.000000
IPO11	5.553639	8.915683	0.000000	0.000000
GGA3	5.539750	8.892154	0.000000	0.000000
FAM173A	5.427028	8.701193	0.000000	0.000000
FBXO46	5.423528	8.695264	0.000000	0.000000
CDKN2C	5.383694	8.627783	0.000000	0.000000
DGAT2	5.285611	8.461621	0.000000	0.000000
STX5	5.263944	8.424916	0.000000	0.000000
HNRNPF	5.208806	8.331506	0.000000	0.000000
NR1D1	5.100083	8.147322	0.000000	0.000000
BAZ2A	5.057111	8.074523	0.000000	0.000000
TMEM150A	4.887972	7.787987	0.000000	0.000000
TMEM190	4.839667	7.706154	0.000000	0.000000
NDUFAF3	4.838083	7.703471	0.000000	0.000000
NBPF1	4.788000	7.618626	0.000000	0.000000
